代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10903909.279999999329448
真實報酬,903909.279999999329448

夏普值報酬,0.081690928000000
夏普值風險,0.026487799952079
夏普值,3.084096382024615

預期報酬,44961.423667984156054
風險,63806.306566705010482
趨勢值,0.704654854469286
找到最佳解世代,2551
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](4),TRV[22](1),V[25](2),
Stock#,DIS[6](4),TRV[22](1),V[25](2),
張數,29203,34485,49640,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,102.580000000074506,12.899999999906868,6.999999999534339,
20150701,3362243.969999999739230,3424373.399999999906868,3368080.999999999068677,10154699.369999997317791
20150702,3357571.490000000223517,3421959.450000000186265,3387440.599999999161810,10166972.539999999105930
20150706,3378889.680000000167638,3411958.799999999813735,3381483.799999999813735,10172333.280000001192093
20150707,3419773.879999999888241,3449547.449999999720603,3364109.799999999348074,10233432.129999998956919
20150708,3363996.149999999906868,3405751.500000000000000,3312484.199999999720603,10082232.849999999627471
20150709,3375969.379999999888241,3450926.849999999627471,3328368.999999999534339,10155266.229999998584390
20150710,3400499.899999999906868,3482997.899999999906868,3396375.799999999813735,10279874.599999999627471
20150713,3447516.729999999981374,3528862.949999999720603,3450979.799999999348074,10427360.479999998584390
20150714,3441676.129999999888241,3530587.199999999720603,3479770.999999999068677,10452035.329999998211861
20150715,3454817.479999999981374,3531966.600000000093132,3475799.799999999348074,10462584.879999998956919
20150716,3477303.790000000037253,3561968.550000000279397,3503101.799999999348074,10542375.139999998733401
20150717,3471171.160000000149012,3549898.799999999813735,3518490.199999999254942,10539561.160000000149012
20150720,3492197.319999999832362,3538518.750000000000000,3608834.999999999534339,10639552.070000000298023
20150721,3484312.510000000242144,3603005.700000000186265,3575079.799999999348074,10662399.009999999776483
20150722,3484896.569999999832362,3631283.399999999906868,3572597.799999999348074,10688778.769999999552965
20150723,3469418.979999999981374,3631283.399999999906868,3561676.999999999534339,10662380.379999998956919
20150724,3472631.310000000055879,3630248.849999999627471,3713078.999999999534339,10815960.160000000149012
20150727,3453357.330000000074506,3641284.049999999813735,3666417.399999999441206,10761059.779999999329448
20150728,3459489.959999999962747,3653353.799999999813735,3710100.599999999161810,10822945.359999999403954
20150729,3499790.100000000093132,3670251.450000000186265,3773143.399999999906868,10943185.950000001117587
20150730,3505338.669999999925494,3672665.399999999906868,3791510.199999999254942,10969515.269999999552965
20150731,3504462.580000000074506,3659561.100000000093132,3739884.599999999627471,10903909.279999999329448
