代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11044322.519999999552965
真實報酬,1044322.519999999552965

夏普值報酬,0.095732252000000
夏普值風險,0.034307964903877
夏普值,2.790379792803821

預期報酬,44967.241679000951990
風險,99686.947325785789872
趨勢值,0.451084549033727
找到最佳解世代,2343
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),UNH[23](2),V[25](3),
Stock#,AAPL[0](1),UNH[23](2),V[25](3),
張數,14882,15338,19378,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,211.459999999962747,78.840000000316650,123.220000000204891,
20191001,3342559.839999999850988,3331645.820000000298023,3377514.839999999850988,10051721.500000000000000
20191002,3258774.180000000167638,3324590.340000000316650,3291088.960000000428408,9874454.480000000447035
20191003,3286454.699999999720603,3303270.520000000484288,3349998.080000000074506,9939724.300000000745058
20191004,3378574.279999999795109,3371371.240000000689179,3410263.660000000149012,10160210.179999999701977
20191007,3379318.379999999888241,3393457.960000000428408,3389335.420000000391155,10162112.759999999776483
20191008,3339732.260000000242144,3376126.020000000484288,3341277.979999999981374,10057137.260000001639128
20191009,3378871.919999999925494,3406341.880000000353903,3388947.860000000335276,10174162.660000000149012
20191010,3424410.839999999850988,3431649.580000000074506,3388947.860000000335276,10245009.280000001192093
20191011,3515488.680000000167638,3406188.500000000000000,3431191.900000000372529,10352870.080000000074506
20191014,3510428.799999999813735,3383488.260000000242144,3437005.300000000279397,10330923.360000001266599
20191015,3502243.699999999720603,3659572.260000000242144,3463940.720000000204891,10625757.679999999701977
20191016,3488105.799999999813735,3635031.460000000428408,3446888.080000000074506,10570026.339999999850988
20191017,3501648.419999999925494,3737489.300000000279397,3448244.540000000037253,10687383.260000001639128
20191018,3518465.080000000074506,3763103.760000000242144,3405031.600000000558794,10686601.440000001341105
20191021,3579481.279999999795109,3741323.800000000279397,3418983.760000000242144,10739789.839999999850988
20191022,3571296.180000000167638,3826603.080000000074506,3311048.300000000279397,10708948.560000000521541
20191023,3619216.220000000204891,3800835.240000000689179,3319962.180000000167638,10740014.640000000596046
20191024,3625169.020000000018626,3750373.220000000204891,3413751.700000000186265,10789294.940000001341105
20191025,3669815.020000000018626,3756508.420000000391155,3446500.520000000018626,10872824.960000000894070
20191028,3706573.560000000055879,3789331.740000000689179,3485062.740000000223517,10980969.040000000968575
20191029,3620853.239999999757856,3869702.860000000335276,3442237.360000000335276,10932794.460000000894070
20191030,3620406.779999999795109,3908201.240000000689179,3473629.720000000204891,11002238.740000000223517
20191031,3702257.779999999795109,3875991.439999999944121,3466072.300000000279397,11044322.519999999552965
