代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10687654.509999999776483
真實報酬,687654.509999999776483

夏普值報酬,0.060065451000000
夏普值風險,0.020227939427194
夏普值,2.969430040869524

預期報酬,36324.686090592331311
風險,27158.279822678265191
趨勢值,1.337517925574202
找到最佳解世代,2197
找到最佳解實驗#,2
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
AXP[1](10),BA[2](7),CSCO[4](13),CVX[5](2),HD[9](6),XOM[29](3),
Stock#,AXP[1](10),BA[2](7),CSCO[4](13),CVX[5](2),HD[9](6),XOM[29](3),
張數,19357,6954,51743,15486,11120,21835,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,28.300000000046566,70.360000000102445,23.969999999972060,62.679999999934807,111.599999999860302,0.449999999953434,
20170901,1667440.280000000027940,1671325.180000000167638,1671322.869999999878928,1684320.040000000037253,1676785.199999999953434,1671906.399999999906868,10043103.970000000670552
20170905,1651373.970000000204891,1648168.360000000102445,1636137.630000000121072,1694850.519999999785796,1700693.199999999953434,1685225.750000000000000,10016453.429999999701977
20170906,1649825.410000000149012,1631617.840000000083819,1649073.380000000121072,1731242.620000000111759,1741058.799999999813735,1720161.750000000000000,10122983.800000000745058
20170907,1633952.669999999925494,1643370.100000000093132,1643381.650000000139698,1731397.479999999981374,1756293.199999999953434,1725620.500000000000000,10134019.599999999627471
20170908,1630855.550000000046566,1660546.480000000214204,1628893.610000000102445,1715601.760000000009313,1775530.799999999813735,1721035.149999999906868,10132467.349999999627471
20170911,1658729.629999999888241,1673133.220000000204891,1665631.139999999897555,1742547.399999999906868,1761186.000000000000000,1730424.199999999953434,10231655.589999999850988
20170912,1675376.649999999906868,1673063.680000000167638,1677014.599999999860302,1742082.819999999832362,1778310.799999999813735,1735882.949999999953434,10281735.500000000000000
20170913,1677118.780000000027940,1682451.580000000074506,1665113.709999999962747,1768254.160000000149012,1779534.000000000000000,1741778.399999999906868,10314254.630000000819564
20170914,1668408.129999999888241,1705399.780000000027940,1665631.139999999897555,1772435.379999999888241,1772417.199999999720603,1748765.600000000093132,10333061.229999998584390
20170915,1683893.729999999981374,1731616.360000000102445,1678566.889999999897555,1775222.859999999869615,1761519.599999999860302,1748328.899999999906868,10379152.339999999850988
20170918,1700927.890000000130385,1759988.680000000167638,1682706.330000000074506,1783895.019999999785796,1754958.799999999813735,1748765.600000000093132,10431246.319999998435378
20170919,1722801.300000000046566,1755677.200000000186265,1681154.040000000037253,1801703.919999999925494,1753290.799999999813735,1751604.149999999906868,10466235.410000000149012
20170920,1711767.810000000288710,1776539.200000000186265,1686845.770000000018626,1802168.500000000000000,1764633.199999999953434,1758809.699999999953434,10500768.179999999701977
20170921,1711574.239999999990687,1780572.520000000251457,1692020.070000000065193,1803717.099999999860302,1770304.399999999906868,1744398.599999999860302,10502590.929999999701977
20170922,1711187.100000000093132,1783423.659999999916181,1726687.879999999888241,1816415.620000000111759,1778977.999999999767169,1745053.649999999906868,10561749.910000000149012
20170925,1707509.270000000018626,1768611.640000000130385,1744797.929999999934807,1827255.819999999832362,1791543.599999999860302,1768198.750000000000000,10607921.009999999776483
20170926,1716800.629999999888241,1764300.159999999916181,1746867.649999999906868,1819977.399999999906868,1793322.799999999813735,1766233.599999999860302,10607506.240000000223517
20170927,1732286.229999999981374,1775287.480000000214204,1732379.609999999869615,1818893.379999999888241,1789541.999999999767169,1778024.500000000000000,10626417.199999999254942
20170928,1744868.280000000027940,1768263.940000000176951,1725653.020000000018626,1821526.000000000000000,1805554.800000000046566,1794619.099999999860302,10660489.140000000596046
20170929,1751062.520000000018626,1767846.700000000186265,1740141.060000000055879,1819667.679999999934807,1818898.799999999813735,1790033.750000000000000,10687654.509999999776483
