代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10441176.230000000447035
真實報酬,441176.230000000447035

夏普值報酬,0.035417623000000
夏普值風險,0.014347983357737
夏普值,2.468473939294092

預期報酬,23158.254983388746041
風險,37160.435071266168961
趨勢值,0.623196551358344
找到最佳解世代,2055
找到最佳解實驗#,13
找到最佳解次數,9

stock[index](rank)
投資組合檔數,6
CAT[3](2),CSCO[4](5),CVX[5](4),DIS[6](1),KO[14](17),VZ[26](6),
Stock#,CAT[3](2),CSCO[4](5),CVX[5](4),DIS[6](1),KO[14](17),VZ[26](6),
張數,20825,60539,15876,15889,41101,34272,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,41.250000000000000,27.329999999841675,3.520000000018626,68.790000000037253,20.450000000186265,18.639999999897555,
20150401,1658544.250000000000000,1649715.079999999841675,1663649.560000000055879,1675404.949999999953434,1672009.130000000121072,1676604.879999999888241,9995931.850000001490116
20150402,1671039.250000000000000,1642450.399999999674037,1671428.800000000046566,1684302.790000000037253,1672009.130000000121072,1695454.479999999748543,10036688.849999999627471
20150406,1697070.500000000000000,1647898.909999999683350,1697465.439999999944121,1678423.859999999869615,1692148.620000000344589,1700938.000000000000000,10113949.330000000074506
20150407,1677286.750000000232831,1658190.539999999804422,1723184.560000000055879,1675246.060000000055879,1685572.460000000195578,1688600.080000000074506,10108084.450000001117587
20150408,1675204.250000000000000,1667876.779999999795109,1693337.679999999934807,1690022.830000000074506,1680640.340000000316650,1683802.000000000000000,10090887.880000000819564
20150409,1680202.250000000232831,1672719.899999999674037,1697941.719999999972060,1696537.320000000065193,1687216.500000000000000,1679689.359999999869615,10114311.050000000745058
20150410,1720186.249999999767169,1697540.889999999897555,1697306.679999999934807,1699397.340000000083819,1680229.330000000307336,1686886.479999999748543,10181550.970000000670552
20150413,1710606.750000000000000,1693908.549999999813735,1690797.520000000018626,1692406.180000000167638,1672831.150000000372529,1680717.519999999785796,10141271.669999999925494
20150414,1728516.250000000000000,1683616.919999999692664,1727947.360000000102445,1694789.530000000027940,1665021.960000000195578,1685515.599999999860302,10185411.620000001043081
20150415,1773498.250000000000000,1710254.079999999841675,1752872.679999999934807,1699874.010000000009313,1660500.850000000093132,1692712.719999999972060,10289716.589999999850988
20150416,1756421.750000000000000,1731442.729999999981374,1748903.679999999934807,1717669.689999999944121,1668721.050000000279397,1688600.080000000074506,10311762.980000000447035
20150417,1734347.250000000000000,1690276.209999999962747,1732233.880000000121072,1695266.199999999953434,1656390.750000000000000,1675919.439999999944121,10184437.729999998584390
20150420,1761836.249999999767169,1724178.049999999813735,1750967.560000000055879,1719576.370000000111759,1671187.110000000102445,1692370.000000000000000,10320119.339999999850988
20150421,1747675.250000000000000,1736891.239999999990687,1742077.000000000000000,1710996.310000000055879,1676119.230000000214204,1685172.879999999888241,10298935.910000000149012
20150422,1767459.000000000000000,1732653.510000000009313,1738425.520000000018626,1715127.449999999953434,1697902.760000000242144,1698881.679999999934807,10350453.919999999925494
20150423,1765793.000000000232831,1736285.849999999860302,1745887.239999999990687,1731969.790000000037253,1683106.400000000372529,1715332.239999999757856,10378378.520000001415610
20150424,1761836.249999999767169,1744761.309999999823049,1744299.640000000130385,1740390.959999999962747,1680640.340000000316650,1714646.800000000046566,10386579.300000000745058
20150427,1777038.500000000000000,1748999.039999999804422,1741600.719999999972060,1750401.030000000027940,1678174.280000000027940,1716360.399999999906868,10412577.970000000670552
20150428,1795156.250000000000000,1775030.809999999823049,1764144.640000000130385,1746587.670000000158325,1675708.220000000204891,1732468.239999999757856,10489099.830000000074506
20150429,1822228.750000000000000,1758685.279999999795109,1773829.000000000000000,1744839.880000000121072,1664199.940000000176951,1729726.479999999748543,10493513.330000000074506
20150430,1809317.250000000000000,1745366.699999999720603,1763192.080000000074506,1727520.870000000111759,1667077.010000000242144,1728698.319999999832362,10441176.230000000447035
