代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10697296.070000000298023
真實報酬,697296.070000000298023

夏普值報酬,0.061029607000000
夏普值風險,0.019929776604840
夏普值,3.062232367681404

預期報酬,34520.409554677215056
風險,42334.518004540725087
趨勢值,0.815419926381933
找到最佳解世代,3105
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
AXP[1](1),BA[2](3),JPM[13](2),PFE[20](10),UNH[23](4),
Stock#,AXP[1](1),BA[2](3),JPM[13](2),PFE[20](10),UNH[23](4),
張數,25994,10659,24345,61255,11416,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,21.640000000130385,51.830000000074506,58.249999999767169,24.250000000000000,145.119999999878928,
20170601,2034831.960000000195578,1996695.709999999962747,2022153.949999999720603,2003675.300000000046566,2050230.399999999906868,10107587.319999998435378
20170602,2040290.699999999953434,2027713.399999999906868,2011929.049999999813735,1993261.949999999953434,2048061.359999999636784,10121256.459999999031425
20170605,2052767.820000000065193,2014069.879999999888241,2015580.799999999813735,1981623.500000000000000,2047833.040000000037253,10111875.039999999105930
20170606,2049648.540000000037253,1990620.080000000074506,2019719.449999999720603,1964472.100000000093132,2064386.239999999757856,10088846.410000000149012
20170607,2074602.780000000260770,2005009.729999999981374,2042847.199999999720603,1960184.250000000000000,2091670.479999999981374,10174314.439999999478459
20170608,2078241.940000000176951,2024515.700000000186265,2068165.999999999767169,1944870.500000000000000,2074318.159999999916181,10190112.300000000745058
20170609,2087599.780000000260770,2025581.600000000093132,2117099.449999999254942,2007350.600000000093132,2071692.479999999981374,10309323.910000000149012
20170612,2083960.620000000111759,2025261.830000000074506,2117586.349999999627471,2003062.750000000232831,2046463.119999999878928,10276334.669999999925494
20170613,2094878.100000000325963,2036880.140000000130385,2124646.399999999441206,1995712.149999999906868,2067011.919999999925494,10319128.709999999031425
20170614,2101376.600000000093132,2050630.250000000000000,2120264.299999999813735,2002450.199999999953434,2081966.880000000121072,10356688.230000000447035
20170615,2097737.440000000409782,2083353.379999999888241,2107604.899999999441206,2009800.800000000046566,2059363.199999999720603,10357859.719999998807907
20170616,2117232.940000000409782,2093905.790000000037253,2098110.349999999627471,2019601.599999999860302,2073633.199999999720603,10402483.879999998956919
20170619,2128410.359999999869615,2122045.550000000279397,2144122.399999999441206,2034915.349999999860302,2089501.439999999944121,10518995.099999999627471
20170620,2144786.580000000074506,2114051.300000000279397,2130732.649999999441206,2055742.050000000046566,2092355.439999999944121,10537668.019999999552965
20170621,2136988.379999999888241,2123004.859999999869615,2120994.649999999441206,2075343.650000000139698,2111191.839999999850988,10567523.379999998956919
20170622,2138028.140000000130385,2125882.790000000037253,2118560.149999999441206,2086369.550000000046566,2129229.120000000111759,10598069.750000000000000
20170623,2137248.320000000298023,2155621.399999999906868,2114664.950000000186265,2093107.600000000093132,2114959.120000000111759,10615601.390000000596046
20170626,2156483.879999999888241,2131638.649999999906868,2123916.049999999813735,2085144.449999999953434,2113475.040000000037253,10610658.070000000298023
20170627,2159603.160000000149012,2120020.339999999850988,2143635.500000000000000,2068605.600000000093132,2107538.719999999739230,10599403.320000000298023
20170628,2182737.820000000298023,2127801.410000000149012,2186726.149999999441206,2067380.500000000000000,2120096.319999999366701,10684742.199999999254942
20170629,2173899.859999999869615,2104777.970000000204891,2219105.000000000000000,2060029.900000000139698,2115187.440000000409782,10673000.170000001788139
20170630,2189756.200000000186265,2107869.080000000074506,2225191.250000000000000,2057579.700000000186265,2116899.839999999850988,10697296.070000000298023
