代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10354960.360000001266599
真實報酬,354960.360000001266599

夏普值報酬,0.026796036000000
夏普值風險,0.010602319584506
夏普值,2.527374862304679

預期報酬,19224.528662020900811
風險,33282.546732987968426
趨勢值,0.577615914318435
找到最佳解世代,1726
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](8),CVX[5](16),MRK[17](29),NKE[19](6),PG[21](11),VZ[26](2),WMT[28](1),
Stock#,BA[2](8),CVX[5](16),MRK[17](29),NKE[19](6),PG[21](11),VZ[26](2),WMT[28](1),
張數,3923,12135,16521,16906,11881,24562,12502,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,245.930000000167638,38.800000000046566,0.130000000121072,14.000000000000000,118.369999999878928,45.080000000074506,92.479999999981374,
20190903,1390635.590000000316650,1410975.250000000000000,1431544.780000000260770,1431445.020000000018626,1441996.529999999795109,1425623.560000000055879,1433321.760000000009313,9965545.490000000223517
20190904,1398913.120000000111759,1422867.550000000046566,1421632.180000000167638,1459847.099999999860302,1463976.379999999888241,1429062.239999999990687,1449199.300000000046566,10045500.869999999180436
20190905,1413702.830000000307336,1427600.199999999953434,1422458.229999999981374,1494842.520000000018626,1458629.929999999934807,1439132.660000000149012,1443323.359999999869615,10099692.729999998584390
20190906,1424294.930000000167638,1435123.900000000139698,1430223.100000000093132,1499407.139999999897555,1459936.839999999850988,1450676.800000000046566,1434446.939999999944121,10134112.649999998509884
20190909,1407739.870000000111759,1448836.449999999953434,1379008.000000000000000,1499069.020000000018626,1451620.139999999897555,1440852.000000000000000,1454450.139999999897555,10081578.620000001043081
20190910,1449755.200000000186265,1478688.550000000046566,1349600.620000000111759,1467961.979999999981374,1424412.649999999906868,1466642.100000000093132,1450949.579999999841675,10088013.679999999701977
20190911,1502519.550000000046566,1471771.600000000093132,1369921.450000000186265,1466609.500000000000000,1440927.239999999757856,1476958.140000000130385,1450574.520000000018626,10179285.000000000000000
20190912,1473842.420000000158325,1473470.500000000000000,1376364.640000000130385,1482163.020000000018626,1458748.739999999757856,1484326.739999999990687,1461826.320000000065193,10210745.380000000819564
20190913,1490044.410000000149012,1474441.300000000046566,1364799.940000000176951,1476245.919999999925494,1451026.089999999850988,1472782.600000000093132,1468202.340000000083819,10197545.599999999627471
20190916,1486474.480000000214204,1506235.000000000000000,1355217.760000000242144,1475400.619999999878928,1422868.119999999878928,1461484.080000000074506,1444948.619999999878928,10152631.679999999701977
20190917,1507462.530000000027940,1503443.949999999953434,1363147.840000000316650,1480810.540000000037253,1439620.329999999841675,1470572.020000000018626,1456700.500000000000000,10221760.710000000894070
20190918,1516132.360000000335276,1506963.100000000093132,1371573.550000000046566,1489094.479999999981374,1442590.579999999841675,1472045.739999999990687,1464826.800000000046566,10263229.610000001266599
20190919,1508404.050000000046566,1500652.899999999906868,1387268.500000000000000,1482670.199999999953434,1448412.270000000018626,1473273.840000000083819,1464201.699999999953434,10264886.459999999031425
20190920,1488592.900000000139698,1508662.000000000000000,1406928.489999999990687,1465426.080000000074506,1452451.809999999823049,1480888.060000000055879,1462576.439999999944121,10265528.779999999329448
20190923,1479334.620000000111759,1515700.300000000046566,1393711.690000000176951,1482501.139999999897555,1464095.189999999944121,1478923.100000000093132,1470577.719999999972060,10284846.759999999776483
20190924,1497458.880000000121072,1501623.699999999953434,1381155.729999999981374,1473879.080000000074506,1468728.779999999795109,1486291.699999999953434,1480329.280000000027940,10289470.149999998509884
20190925,1515308.530000000027940,1498832.650000000139698,1372895.229999999981374,1535247.860000000102445,1461718.989999999757856,1480396.820000000065193,1481204.419999999925494,10345607.500000000000000
20190926,1518015.400000000139698,1458180.399999999906868,1385781.610000000102445,1558240.020000000018626,1477045.479999999981374,1484572.360000000102445,1479079.079999999841675,10360917.349999999627471
20190927,1502205.710000000195578,1439249.800000000046566,1369756.239999999990687,1560606.860000000102445,1480134.539999999804422,1481133.679999999934807,1480954.380000000121072,10314044.210000000894070
20190930,1492829.740000000223517,1439249.800000000046566,1390737.910000000149012,1587825.520000000018626,1477877.149999999906868,1482607.400000000139698,1483829.840000000083819,10354960.360000001266599
