代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10942016.280000001192093
真實報酬,942016.280000001192093

夏普值報酬,0.085501628000000
夏普值風險,0.026093672859074
夏普值,3.276718783966296

預期報酬,50296.690668989547703
風險,61898.197109708919015
趨勢值,0.812571173597241
找到最佳解世代,2009
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](3),UNH[23](2),UTX[24](8),XOM[29](1),
Stock#,IBM[10](3),UNH[23](2),UTX[24](8),XOM[29](1),
張數,17034,69232,31758,34190,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,90.160000000149012,32.479999999981374,10.240000000223517,27.199999999720603,
20110103,2512264.479999999981374,2570616.640000000130385,2508574.660000000149012,2548891.699999999720603,10140347.480000000447035
20110104,2514989.919999999925494,2594155.520000000018626,2512703.200000000186265,2560858.199999999720603,10182706.839999999850988
20110105,2504939.860000000335276,2602463.360000000335276,2516196.580000000540167,2554020.199999999720603,10177620.000000000000000
20110106,2532364.600000000093132,2656464.319999999832362,2513655.940000000409782,2570431.399999999906868,10272916.259999999776483
20110107,2519929.780000000260770,2662002.880000000353903,2511432.880000000353903,2584449.299999999813735,10277814.839999999850988
20110110,2514989.919999999925494,2662002.880000000353903,2491742.919999999925494,2568721.899999999441206,10237457.620000001043081
20110111,2508857.680000000167638,2705619.040000000037253,2506351.600000000093132,2587868.299999999813735,10308696.620000001043081
20110112,2539859.560000000055879,2690388.000000000000000,2522548.180000000633299,2618297.399999999441206,10371093.140000000596046
20110113,2535090.040000000037253,2741619.680000000167638,2524771.240000000223517,2622742.099999999627471,10424223.060000000521541
20110114,2555190.160000000149012,2822621.120000000111759,2511432.880000000353903,2661376.799999999813735,10550620.960000000894070
20110118,2566262.260000000242144,2830236.640000000130385,2526994.299999999813735,2691122.099999999627471,10614615.300000000745058
20110119,2652113.620000000111759,2808082.399999999906868,2537792.020000000018626,2675052.799999999348074,10673040.839999997988343
20110120,2653987.360000000335276,2790774.399999999906868,2526359.140000000130385,2658299.699999999720603,10629420.599999999627471
20110121,2648877.160000000149012,2797697.599999999627471,2547001.840000000316650,2700353.399999999906868,10693930.000000000000000
20110124,2719227.580000000074506,2756158.399999999906868,2588922.399999999906868,2687019.299999999813735,10751327.679999999701977
20110125,2750059.120000000111759,2812236.319999999832362,2595591.580000000540167,2690096.399999999906868,10847983.419999999925494
20110126,2743245.520000000018626,2786620.479999999981374,2585429.020000000018626,2723602.599999999627471,10838897.619999999180436
20110127,2743756.540000000037253,2927853.759999999776483,2622903.460000000428408,2731124.399999999441206,11025638.160000000149012
20110128,2712073.300000000279397,2833698.239999999757856,2586064.180000000633299,2700695.299999999348074,10832531.019999999552965
20110131,2759598.160000000149012,2842006.079999999608845,2581935.640000000130385,2758476.399999999906868,10942016.280000001192093
