代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10429136.350000001490116
真實報酬,429136.350000001490116

夏普值報酬,0.034213635000000
夏普值風險,0.012908775595071
夏普值,2.650416745416415

預期報酬,21572.923739051704615
風險,23607.696723185999872
趨勢值,0.913808915456972
找到最佳解世代,2270
找到最佳解實驗#,3
找到最佳解次數,23

stock[index](rank)
投資組合檔數,4
CAT[3](1),PG[21](6),VZ[26](29),WMT[28](8),
Stock#,CAT[3](1),PG[21](6),VZ[26](29),WMT[28](8),
張數,24813,32333,49583,33976,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,90.250000000000000,12.440000000409782,25.140000000130385,45.919999999925494,
20140801,2494293.009999999776483,2575335.890000000596046,2470746.030000000260770,2498640.959999999962747,10039015.890000000596046
20140804,2526301.780000000260770,2561432.700000000186265,2489587.570000000298023,2498640.959999999962747,10075963.010000001639128
20140805,2518609.750000000000000,2567575.970000000204891,2462316.919999999925494,2491845.760000000242144,10040348.400000000372529
20140806,2518361.619999999646097,2621895.410000000614673,2436037.930000000167638,2521065.120000000111759,10097360.080000001937151
20140807,2529527.469999999739230,2591179.060000000521541,2412238.089999999850988,2512571.120000000111759,10045515.740000000223517
20140808,2562776.890000000130385,2617368.790000000502914,2414717.240000000223517,2537033.839999999850988,10131896.760000001639128
20140811,2593048.750000000000000,2634505.280000000726432,2413229.750000000000000,2526501.279999999795109,10167285.060000000521541
20140812,2588830.540000000037253,2632565.300000000279397,2421658.860000000335276,2521744.639999999664724,10164799.339999999850988
20140813,2609425.330000000074506,2634505.280000000726432,2425625.500000000000000,2515289.200000000186265,10184845.310000002384186
20140814,2621831.830000000074506,2649701.790000000502914,2429592.140000000130385,2527520.560000000055879,10228646.320000002160668
20140815,2623816.869999999646097,2644205.180000000633299,2419675.540000000037253,2510872.320000000298023,10198569.910000000149012
20140818,2654584.990000000223517,2665544.960000000428408,2418683.880000000353903,2530918.159999999683350,10269731.990000002086163
20140819,2662525.149999999906868,2673628.210000000428408,2414717.240000000223517,2544168.799999999813735,10295039.400000000372529
20140820,2672450.350000000093132,2677508.170000000391155,2420667.200000000186265,2546886.879999999888241,10317512.600000001490116
20140821,2679149.859999999869615,2692704.680000000633299,2423146.350000000093132,2566932.719999999739230,10361933.609999999403954
20140822,2662773.280000000260770,2696261.310000000521541,2411742.260000000242144,2573048.399999999906868,10343825.250000001862645
20140825,2679149.859999999869615,2701111.260000000707805,2437029.589999999850988,2571689.359999999869615,10388980.070000000298023
20140826,2681383.030000000260770,2695937.980000000447035,2441987.890000000130385,2565913.439999999944121,10385222.339999999850988
20140827,2693541.399999999906868,2693674.670000000391155,2450912.830000000074506,2577125.519999999552965,10415254.419999999925494
20140828,2696022.700000000186265,2684621.430000000633299,2449921.169999999925494,2578824.320000000298023,10409389.620000001043081
20140829,2706444.159999999683350,2687208.070000000298023,2470250.200000000186265,2565233.919999999925494,10429136.350000001490116
