代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10299316.980000000447035
真實報酬,299316.980000000447035

夏普值報酬,0.021231698000000
夏普值風險,0.015156137242576
夏普值,1.400864722995322

預期報酬,21193.259604743096133
風險,98209.849246134646819
趨勢值,0.215795663748840
找到最佳解世代,2506
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](2),UNH[23](1),
Stock#,PFE[20](2),UNH[23](1),
張數,123122,21452,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.580000000074506,182.360000000335276,
20190501,5019699.520000000484288,4975973.759999999776483,9995673.280000001192093
20190502,5049248.799999999813735,4986699.759999999776483,10035948.559999998658895
20190503,5096035.160000000149012,4975973.759999999776483,10072008.919999999925494
20190506,5128046.879999999888241,5159388.360000000335276,10287435.240000000223517
20190507,5027086.839999999850988,5106830.960000000894070,10133917.800000000745058
20190508,5041861.480000000447035,5130428.160000000149012,10172289.640000000596046
20190509,5003693.660000000149012,5105114.800000000745058,10108808.460000000894070
20190510,5013543.419999999925494,5161319.040000000037253,10174862.460000000894070
20190513,4995075.120000000111759,5139008.960000000894070,10134084.080000001937151
20190514,5006156.099999999627471,5072078.720000000670552,10078234.820000000298023
20190515,5066485.879999999888241,5064570.520000000484288,10131056.400000000372529
20190516,5126815.660000000149012,5079801.440000000409782,10206617.100000001490116
20190517,5105884.919999999925494,5178266.120000000111759,10284151.039999999105930
20190520,5120659.560000000521541,5277159.840000000782311,10397819.400000002235174
20190521,5130509.320000000298023,5361895.240000000223517,10492404.560000000521541
20190522,5169908.360000000335276,5349024.040000000037253,10518932.400000000372529
20190523,5161289.820000000298023,5288100.360000000335276,10449390.179999999701977
20190524,5164983.480000000447035,5312341.120000000111759,10477324.600000001490116
20190528,5158827.379999999888241,5192853.480000000447035,10351680.859999999403954
20190529,5136665.419999999925494,5200147.160000000149012,10336812.580000000074506
20190530,5158827.379999999888241,5223744.360000000335276,10382571.740000000223517
20190531,5112041.020000000484288,5187275.960000000894070,10299316.980000000447035
