代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10766483.609999999403954
真實報酬,766483.609999999403954

夏普值報酬,0.067948361000000
夏普值風險,0.023156081336567
夏普值,2.934363548494652

預期報酬,36278.898940795545059
風險,33883.625020273102564
趨勢值,1.070691194318474
找到最佳解世代,1436
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](10),DIS[6](4),JPM[13](7),MCD[15](6),NKE[19](11),UTX[24](3),VZ[26](2),WBA[27](28),WMT[28](22),
Stock#,AAPL[0](10),DIS[6](4),JPM[13](7),MCD[15](6),NKE[19](11),UTX[24](3),VZ[26](2),WBA[27](28),WMT[28](22),
張數,38012,35566,26473,17401,65746,16185,41076,31529,20549,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,20.239999999990687,29.160000000149012,39.189999999944121,57.149999999906868,3.600000000093132,10.750000000000000,5.199999999953434,29.040000000037253,26.570000000065193,
20100301,1135058.560000000055879,1121780.800000000046566,1107404.779999999795109,1113373.129999999888241,1121630.360000000102445,1127134.149999999906868,1113164.800000000046566,1116786.220000000204891,1107617.669999999925494,10063951.469999998807907
20100302,1134298.320000000065193,1133873.240000000223517,1101845.449999999953434,1114939.219999999739230,1118343.060000000288710,1128914.500000000000000,1123844.559999999823049,1111111.000000000000000,1101247.480000000214204,10068417.830000001937151
20100303,1136579.040000000037253,1125337.400000000139698,1099462.879999999888241,1107282.780000000027940,1111768.460000000195578,1126486.750000000000000,1118504.679999999934807,1114894.479999999981374,1102685.909999999916181,10043003.380000000819564
20100304,1144181.439999999944121,1158413.780000000260770,1109787.350000000093132,1103802.579999999841675,1111768.460000000195578,1138949.200000000186265,1124255.320000000065193,1103544.040000000037253,1108850.610000000102445,10103553.780000001192093
20100305,1189035.600000000093132,1181531.680000000167638,1133348.320000000065193,1107978.819999999832362,1122945.280000000027940,1153192.000000000000000,1122612.279999999795109,1103228.750000000000000,1112549.430000000167638,10226423.160000000149012
20100308,1189795.840000000083819,1180464.699999999953434,1127524.260000000009313,1133210.270000000018626,1130834.800000000046566,1145261.350000000093132,1137810.399999999906868,1095346.500000000000000,1112754.919999999925494,10253004.040000000968575
20100309,1211082.560000000055879,1184732.620000000344589,1123023.850000000093132,1132862.249999999767169,1132807.180000000167638,1161770.050000000046566,1148490.159999999916181,1084311.350000000093132,1110905.510000000009313,10289986.530000001192093
20100310,1220965.679999999934807,1185443.940000000176951,1136525.079999999841675,1130078.089999999850988,1136094.480000000214204,1161931.900000000139698,1142328.760000000009313,1080527.870000000111759,1102069.440000000176951,10295966.240000000223517
20100311,1224386.760000000009313,1202515.620000000344589,1143143.329999999841675,1134776.359999999869615,1146613.840000000083819,1165978.150000000139698,1146025.599999999860302,1070123.300000000046566,1109056.100000000093132,10342620.060000000521541
20100312,1230468.679999999934807,1198247.699999999953434,1142349.139999999897555,1140344.679999999934807,1149243.680000000167638,1157723.800000000046566,1141918.000000000000000,1069808.010000000009313,1107617.669999999925494,10337722.359999999403954
20100315,1215644.000000000000000,1199314.680000000167638,1140231.300000000046566,1147305.080000000074506,1157133.200000000186265,1162741.150000000139698,1146847.120000000111759,1077374.970000000204891,1138852.150000000139698,10385444.650000002235174
20100316,1218684.959999999962747,1200381.660000000149012,1144731.709999999962747,1149741.219999999739230,1157133.200000000186265,1171804.750000000000000,1149311.679999999934807,1088094.830000000074506,1150565.080000000074506,10430450.089999999850988
20100317,1217164.480000000214204,1200381.660000000149012,1159291.859999999869615,1155135.529999999795109,1165022.719999999972060,1168405.899999999906868,1157937.639999999897555,1087148.959999999962747,1149126.650000000139698,10459616.400000000372529
20100318,1219825.320000000065193,1201448.640000000130385,1155320.909999999916181,1160355.830000000074506,1227481.420000000158325,1173423.250000000000000,1163688.279999999795109,1097868.820000000065193,1149537.630000000121072,10548951.100000001490116
20100319,1206901.239999999990687,1196469.400000000139698,1150291.040000000037253,1157745.679999999934807,1208415.080000000074506,1185400.149999999906868,1167795.879999999888241,1088725.410000000149012,1137208.230000000214204,10498953.109999999403954
20100322,1220585.560000000055879,1207494.860000000335276,1157968.209999999962747,1166098.159999999916181,1214332.219999999972060,1175203.600000000093132,1177243.359999999869615,1113948.609999999869615,1142961.949999999953434,10575837.529999997466803
20100323,1239971.679999999934807,1209628.820000000065193,1180205.529999999795109,1172014.499999999767169,1224194.120000000111759,1182972.400000000139698,1189566.159999999916181,1132235.429999999934807,1148510.180000000167638,10679299.819999998435378
20100324,1245673.480000000214204,1223143.900000000139698,1189735.809999999823049,1162443.949999999953434,1206442.700000000186265,1182163.150000000139698,1169849.679999999934807,1116155.639999999897555,1142139.989999999990687,10637749.300000000745058
20100325,1230848.800000000046566,1248040.100000000325963,1189735.809999999823049,1164184.050000000046566,1209072.540000000037253,1185885.699999999953434,1164099.040000000037253,1145477.609999999869615,1142756.459999999962747,10680101.109999999403954
20100326,1254036.120000000111759,1255864.620000000344589,1191853.650000000139698,1170448.409999999916181,1214332.219999999972060,1191550.450000000186265,1166152.840000000083819,1159980.949999999953434,1140701.560000000055879,10744921.820000000298023
20100329,1262018.640000000130385,1250529.719999999972060,1187617.969999999972060,1167142.219999999739230,1215647.139999999897555,1197700.750000000000000,1169438.919999999925494,1182051.250000000000000,1145427.830000000074506,10777575.439999999478459
20100330,1280644.520000000018626,1248395.760000000242144,1180205.529999999795109,1170100.389999999897555,1213017.300000000046566,1199804.799999999813735,1199424.399999999906868,1179844.220000000204891,1148921.159999999916181,10820359.080000000074506
20100331,1276083.080000000074506,1241638.219999999972060,1184705.939999999944121,1161051.869999999878928,1208415.080000000074506,1191388.600000000093132,1191209.199999999953434,1169439.650000000139698,1142550.970000000204891,10766483.609999999403954
