代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10868104.970000000670552
真實報酬,868104.970000000670552

夏普值報酬,0.078110497000000
夏普值風險,0.023854165093370
夏普值,3.274501400248562

預期報酬,42121.118052700949193
風險,60606.364403819250583
趨勢值,0.694994964094012
找到最佳解世代,2415
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](9),VZ[26](1),
Stock#,CSCO[4](9),VZ[26](1),
張數,260960,156201,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.400000000372529,5.990000000223517,
20101201,5041753.600000000558794,5053108.340000000782311,10094861.940000001341105
20101202,5015657.599999999627471,5114026.730000000447035,10129684.330000000074506
20101203,4976513.600000000558794,5139018.889999999664724,10115532.490000000223517
20101206,5070459.200000000186265,5137456.879999999888241,10207916.080000000074506
20101207,5060020.800000000745058,5146828.940000000409782,10206849.740000002086163
20101208,5049582.400000000372529,5151514.969999999739230,10201097.370000001043081
20101209,5140918.400000000372529,5242111.550000000745058,10383029.950000001117587
20101210,5140918.400000000372529,5317088.030000000260770,10458006.429999999701977
20101213,5109603.200000000186265,5328022.100000000558794,10437625.300000000745058
20101214,5099164.799999999813735,5415494.660000000149012,10514659.460000000894070
20101215,5080897.599999999627471,5409246.620000001043081,10490144.220000000670552
20101216,5153966.400000000372529,5429552.750000000000000,10583519.150000000372529
20101217,5101774.400000000372529,5410808.629999999888241,10512583.030000001192093
20101220,5120041.600000000558794,5426428.730000000447035,10546470.330000001937151
20101221,5096555.200000001117587,5457668.929999999701977,10554224.130000000819564
20101222,5104384.000000000000000,5495157.169999999925494,10599541.169999999925494
20101223,5138308.800000000745058,5535769.429999999701977,10674078.230000000447035
20101227,5260960.000000000000000,5545141.490000000223517,10806101.490000000223517
20101228,5310542.400000000372529,5563885.609999999403954,10874428.009999999776483
20101229,5284446.400000000372529,5557637.570000000298023,10842083.970000000670552
20101230,5279227.200000000186265,5554513.550000000745058,10833740.750000000000000
20101231,5279227.200000000186265,5588877.770000000484288,10868104.970000000670552
