代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10623009.720000000670552
真實報酬,623009.720000000670552

夏普值報酬,0.053600972000000
夏普值風險,0.018559652369473
夏普值,2.888037498383470

預期報酬,30309.788335850174917
風險,27864.053080973546457
趨勢值,1.087773851412401
找到最佳解世代,2410
找到最佳解實驗#,4
找到最佳解次數,38

stock[index](rank)
投資組合檔數,6
DIS[6](3),HD[9](23),JPM[13](5),KO[14](4),MRK[17](6),VZ[26](21),
Stock#,DIS[6](3),HD[9](23),JPM[13](5),KO[14](4),MRK[17](6),VZ[26](21),
張數,15901,8542,15994,37999,27457,33127,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,82.189999999944121,121.800000000046566,91.199999999953434,29.860000000102445,26.099999999860302,46.629999999888241,
20180702,1674934.520000000018626,1657440.640000000130385,1680740.719999999972060,1662486.110000000102445,1660076.319999999832362,1670309.969999999972060,10005992.280000001192093
20180703,1654422.229999999981374,1654023.840000000083819,1657229.540000000037253,1671605.870000000111759,1666940.569999999832362,1679585.530000000027940,9983811.580000000074506
20180705,1675093.530000000027940,1660772.020000000018626,1658988.879999999888241,1697065.199999999953434,1692475.579999999841675,1698799.189999999944121,10083198.400000000372529
20180706,1666188.969999999972060,1661369.959999999962747,1664426.840000000083819,1696305.220000000204891,1707851.500000000000000,1705424.589999999850988,10101571.080000000074506
20180709,1685906.209999999962747,1675037.160000000149012,1715927.520000000018626,1687185.459999999962747,1702909.239999999990687,1680910.609999999869615,10147880.199999999254942
20180710,1686065.219999999972060,1688106.420000000158325,1705371.479999999981374,1708844.890000000130385,1710597.199999999720603,1700786.810000000055879,10199776.019999999552965
20180711,1718026.229999999981374,1682468.699999999953434,1701692.859999999869615,1702005.070000000065193,1699614.399999999906868,1700786.810000000055879,10204598.070000000298023
20180712,1721365.439999999944121,1691010.699999999953434,1709050.099999999860302,1697445.190000000176951,1720481.719999999739230,1697474.109999999869615,10236831.259999997913837
20180713,1749192.189999999944121,1697331.780000000027940,1701213.040000000037253,1700105.120000000111759,1726796.829999999841675,1703105.699999999720603,10277748.659999998286366
20180716,1752372.389999999897555,1698954.760000000009313,1768707.719999999972060,1699725.129999999888241,1718559.729999999981374,1709068.560000000055879,10347392.290000000968575
20180717,1753962.489999999990687,1717918.000000000000000,1767428.199999999953434,1719484.610000000102445,1716912.309999999823049,1703768.239999999990687,10379477.850000001490116
20180718,1760163.879999999888241,1716807.540000000037253,1783902.020000000018626,1714544.739999999990687,1728169.679999999701977,1694161.409999999916181,10397753.269999999552965
20180719,1783061.319999999832362,1730987.260000000009313,1757671.859999999869615,1714164.750000000000000,1716363.169999999692664,1681241.879999999888241,10383494.239999998360872
20180720,1772725.669999999925494,1729449.699999999953434,1779903.520000000018626,1720624.580000000074506,1716637.739999999990687,1676935.369999999878928,10396280.580000000074506
20180723,1766524.280000000027940,1727570.459999999962747,1813011.099999999860302,1708084.910000000149012,1721305.429999999701977,1681241.879999999888241,10417742.059999998658895
20180724,1760322.889999999897555,1725520.380000000121072,1825806.300000000046566,1719864.600000000093132,1741349.039999999804422,1706418.399999999906868,10479285.609999999403954
20180725,1767955.370000000111759,1717063.800000000046566,1842280.120000000111759,1751403.770000000251457,1770728.029999999795109,1686542.199999999720603,10535977.289999999105930
20180726,1805004.699999999953434,1703396.600000000093132,1837002.099999999860302,1757103.620000000111759,1757548.669999999925494,1695486.489999999990687,10555546.179999999701977
20180727,1790852.810000000055879,1684091.679999999934807,1855875.020000000018626,1755963.650000000139698,1743271.030000000027940,1722981.899999999906868,10553040.089999999850988
20180730,1791011.819999999832362,1685287.560000000055879,1867070.820000000065193,1756723.629999999888241,1779514.270000000018626,1738882.859999999869615,10618494.959999999031425
20180731,1805799.750000000000000,1687337.640000000130385,1838601.500000000000000,1771923.230000000214204,1808618.689999999944121,1710724.909999999916181,10623009.720000000670552
