代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10466704.559999998658895
真實報酬,466704.559999998658895

夏普值報酬,0.037970456000000
夏普值風險,0.015021066054304
夏普值,2.527813662674061

預期報酬,19896.782943346479442
風險,66660.357601014489774
趨勢值,0.298479991098093
找到最佳解世代,2429
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MRK[17](3),VZ[26](1),
Stock#,KO[14](2),MRK[17](3),VZ[26](1),
張數,63335,40165,60309,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,11.949999999720603,39.650000000372529,54.569999999832362,
20190801,3295332.000000000000000,3361448.500000000465661,3332729.909999999683350,9989511.410000000149012
20190802,3314332.499999999534339,3392777.200000000186265,3352631.879999999888241,10059742.579999998211861
20190805,3271264.699999999720603,3338554.450000000651926,3330317.549999999813735,9940137.699999999254942
20190806,3310532.399999999906868,3387957.400000000372529,3320065.019999999552965,10018555.820000000298023
20190807,3368167.249999999534339,3383940.900000000372529,3322477.379999999888241,10074586.530000001192093
20190808,3400468.099999999627471,3403220.100000000558794,3366502.949999999720603,10170192.150000000372529
20190809,3383367.649999999906868,3434950.450000000186265,3364090.589999999850988,10182409.689999999478459
20190812,3369433.949999999720603,3414867.950000000186265,3358662.779999999795109,10142965.679999999701977
20190813,3388434.449999999720603,3457442.850000000093132,3399672.899999999906868,10245551.199999999254942
20190814,3356133.599999999627471,3349800.650000000372529,3360472.049999999813735,10066407.300000000745058
20190815,3411868.399999999441206,3352210.550000000279397,3395451.269999999552965,10159531.219999998807907
20190816,3446069.299999999348074,3416474.550000000279397,3416559.419999999925494,10279104.269999999552965
20190819,3463803.099999999627471,3461861.000000000465661,3437667.569999999832362,10363332.669999999925494
20190820,3412501.750000000000000,3440171.900000000372529,3393642.000000000000000,10246316.650000000372529
20190821,3426435.449999999720603,3490779.800000000279397,3412940.879999999888241,10330157.129999998956919
20190822,3451136.099999999627471,3483148.450000000186265,3424399.589999999850988,10358685.140000000596046
20190823,3403634.849999999627471,3411654.750000000465661,3372533.850000000093132,10187824.449999999254942
20190826,3454302.849999999627471,3449409.850000000093132,3420177.959999999962747,10323891.660000000149012
20190827,3465703.149999999441206,3434950.450000000186265,3448523.189999999944121,10349177.789999999105930
20190828,3490403.799999999813735,3473508.850000000558794,3494961.120000000111759,10458874.769999999552965
20190829,3486603.699999999720603,3483148.450000000186265,3494358.029999999795109,10464111.179999999701977
20190830,3485970.349999999627471,3473107.200000000186265,3507626.009999999776483,10466704.559999998658895
