代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10983320.809999998658895
真實報酬,983320.809999998658895

夏普值報酬,0.089632081000000
夏普值風險,0.027576497412619
夏普值,3.250306942860098

預期報酬,55751.940720647769922
風險,69673.668231893650955
趨勢值,0.800186672174193
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](1),HD[9](2),
Stock#,CSCO[4](1),HD[9](2),
張數,222518,178507,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,20.540000000037253,18.929999999701977,
20100201,5057854.679999999701977,5067832.660000000149012,10125687.339999999850988
20100202,5122384.900000000372529,5182077.139999999664724,10304462.039999999105930
20100203,5133510.799999999813735,5082113.219999999739230,10215624.019999999552965
20100204,5153537.419999999925494,4985719.439999999478459,10139256.859999999403954
20100205,5273697.139999999664724,4994644.790000000037253,10268341.929999999701977
20100208,5229193.540000000037253,5103534.059999999590218,10332727.599999999627471
20100209,5315975.560000000521541,5153516.019999999552965,10469491.580000000074506
20100210,5287048.220000000670552,5114244.479999999515712,10401292.699999999254942
20100211,5324876.280000000260770,5174936.859999999403954,10499813.140000000596046
20100212,5287048.220000000670552,5176721.929999999701977,10463770.150000000372529
20100216,5340452.540000000037253,5255265.009999999776483,10595717.550000000745058
20100217,5356028.799999999813735,5358799.069999999366701,10714827.869999999180436
20100218,5402757.580000000074506,5408781.030000000260770,10811538.609999999403954
20100219,5420559.019999999552965,5382004.979999999515712,10802564.000000000000000
20100222,5407207.940000000409782,5412351.169999999925494,10819559.109999999403954
20100223,5351578.440000000409782,5489109.179999999701977,10840687.620000001043081
20100224,5416108.660000000149012,5597998.449999999254942,11014107.109999999403954
20100225,5413883.479999999515712,5597998.449999999254942,11011881.929999999701977
20100226,5413883.479999999515712,5569437.329999999143183,10983320.809999998658895
