代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10623517.529999999329448
真實報酬,623517.529999999329448

夏普值報酬,0.053651753000000
夏普值風險,0.018166765158592
夏普值,2.953291493099142

預期報酬,29593.790382081693679
風險,43451.406358958513010
趨勢值,0.681077849071282
找到最佳解世代,2360
找到最佳解實驗#,5
找到最佳解次數,11

stock[index](rank)
投資組合檔數,5
DIS[6](1),JNJ[12](6),MCD[15](14),VZ[26](5),WMT[28](7),
Stock#,DIS[6](1),JNJ[12](6),MCD[15](14),VZ[26](5),WMT[28](7),
張數,35211,24530,20062,40691,26727,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,15.200000000186265,69.099999999860302,19.219999999972060,37.350000000093132,18.590000000083819,
20130401,1996126.790000000037253,2009812.000000000000000,1987160.319999999832362,2002848.370000000111759,2016036.200000000186265,10011983.679999999701977
20130402,2023239.260000000242144,2028454.799999999813735,2011435.340000000083819,2014241.850000000093132,2031805.129999999888241,10109176.379999998956919
20130403,2015844.950000000186265,2013246.199999999720603,1991172.719999999972060,1993489.440000000176951,2031270.590000000083819,10045023.900000000372529
20130404,2027816.690000000409782,2021586.399999999674037,2018858.279999999795109,2006103.649999999906868,2036615.990000000223517,10110981.009999999776483
20130405,2031689.900000000372529,2012510.300000000046566,2034707.260000000009313,2016683.310000000288710,2041694.120000000111759,10137284.890000000596046
20130408,2071126.220000000204891,1989697.399999999906868,2036312.219999999972060,2011393.479999999981374,2065748.420000000158325,10174277.740000000223517
20130409,2082393.740000000223517,1999754.699999999720603,2027484.939999999944121,2008545.110000000102445,2087931.830000000307336,10206110.320000000298023
20130410,2116548.410000000149012,2012019.699999999720603,2036111.599999999860302,2028890.610000000102445,2067886.580000000307336,10261456.900000000372529
20130411,2132041.250000000000000,2019378.699999999720603,2046142.599999999860302,2055339.760000000009313,2079111.920000000158325,10332014.230000000447035
20130412,2132041.250000000000000,2029681.299999999813735,2078241.800000000046566,2069581.610000000102445,2099691.709999999962747,10409237.669999999925494
20130415,2073238.880000000353903,2004415.399999999674037,2049352.520000000018626,2060629.590000000083819,2097286.280000000260770,10284922.670000001788139
20130416,2139083.450000000186265,2046852.299999999813735,2067207.700000000186265,2053305.210000000195578,2102898.950000000186265,10409347.609999999403954
20130417,2136618.680000000167638,2058136.100000000093132,2057176.700000000186265,2015869.489999999990687,2098355.360000000335276,10366156.330000001937151
20130418,2112323.090000000316650,2040474.500000000000000,2044537.639999999897555,2071616.159999999916181,2062273.909999999916181,10331225.300000000745058
20130419,2167604.360000000335276,2072608.799999999813735,2004614.260000000009313,2126142.100000000093132,2092475.420000000158325,10463444.939999999478459
20130422,2183449.310000000055879,2080948.999999999767169,1992577.059999999823049,2123700.640000000130385,2083922.780000000027940,10464598.789999999105930
20130423,2203871.690000000409782,2096157.599999999860302,2001404.340000000083819,2128990.470000000204891,2113857.020000000484288,10544281.120000001043081
20130424,2180984.540000000037253,2070155.799999999813735,2026682.459999999962747,2107831.149999999906868,2085526.400000000139698,10471180.349999999627471
20130425,2183097.200000000186265,2090515.699999999720603,2025077.500000000000000,2165612.370000000111759,2102097.140000000596046,10566399.910000000149012
20130426,2178519.770000000018626,2088062.699999999953434,2024074.399999999906868,2182295.680000000167638,2112520.669999999925494,10585473.219999998807907
20130429,2218308.200000000186265,2099346.500000000000000,2049954.380000000121072,2175378.209999999962747,2095148.120000000111759,10638135.410000000149012
20130430,2212674.440000000409782,2090761.000000000000000,2049151.899999999906868,2193689.160000000149012,2077241.030000000027940,10623517.529999999329448
