代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10351324.800000000745058
真實報酬,351324.800000000745058

夏普值報酬,0.026432480000000
夏普值風險,0.010391595024223
夏普值,2.543640311077011

預期報酬,18381.747538461531803
風險,33844.061604212380189
趨勢值,0.543130660658461
找到最佳解世代,2017
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AXP[1](3),JNJ[12](2),MMM[16](5),MRK[17](30),VZ[26](1),
Stock#,AXP[1](3),JNJ[12](2),MMM[16](5),MRK[17](30),VZ[26](1),
張數,34007,27056,19890,46242,45861,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,48.329999999841675,20.479999999981374,60.500000000000000,33.500000000000000,1.790000000037253,
20130201,2037407.699999999720603,2007034.560000000055879,2020088.900000000139698,1934336.359999999869615,2043567.950000000186265,10042435.469999998807907
20130204,2020404.199999999720603,2005140.639999999897555,2004375.799999999813735,1889019.199999999953434,2041733.510000000242144,9960673.349999999627471
20130205,2062912.949999999720603,2020021.439999999944121,2018696.599999999860302,1915839.560000000055879,2043567.950000000186265,10061038.500000000000000
20130206,2059512.250000000000000,2039772.320000000065193,2042564.599999999860302,1900117.280000000260770,2052281.540000000037253,10094247.990000000223517
20130207,2113243.309999999590218,2030843.840000000083819,2033216.300000000046566,1895955.500000000000000,2038981.850000000093132,10112240.799999998882413
20130208,2101680.929999999701977,2042207.360000000102445,2041967.899999999906868,1904279.060000000055879,2033937.140000000130385,10124072.390000000596046
20130211,2107802.189999999478459,2040313.439999999944121,2041172.300000000046566,1913527.460000000195578,2032561.310000000055879,10135376.699999999254942
20130212,2115283.729999999515712,2050865.279999999795109,2057879.899999999906868,1916764.400000000139698,2038064.629999999888241,10178857.939999999478459
20130213,2111883.030000000260770,2047077.439999999944121,2045945.899999999906868,1902891.800000000046566,2041733.510000000242144,10149531.679999999701977
20130214,2120044.709999999962747,2051135.840000000083819,2044354.699999999953434,1904741.479999999981374,2033019.919999999925494,10153296.650000000372529
20130215,2097940.160000000149012,2060605.439999999944121,2053305.200000000186265,1915377.140000000130385,2036230.189999999944121,10163458.130000000819564
20130219,2118004.290000000037253,2082250.239999999757856,2072200.700000000186265,1952370.739999999990687,2040816.290000000037253,10265642.259999999776483
20130220,2105421.700000000186265,2073862.880000000121072,2051714.000000000000000,1972717.219999999739230,2060077.910000000149012,10263793.710000000894070
20130221,2092839.109999999869615,2079815.200000000186265,2043161.300000000046566,1965318.500000000000000,2069250.109999999869615,10250384.220000000670552
20130222,2127866.320000000298023,2063040.479999999981374,2059471.100000000093132,1987052.239999999990687,2082091.189999999944121,10319521.330000000074506
20130225,2109162.469999999739230,2044642.399999999906868,2023868.000000000000000,1966243.340000000083819,2096766.709999999962747,10240682.919999998062849
20130226,2105761.769999999552965,2049512.479999999981374,2035006.400000000139698,1961619.140000000130385,2115111.109999999869615,10267010.899999998509884
20130227,2125485.830000000074506,2064934.399999999906868,2060067.799999999813735,1987052.239999999990687,2125659.140000000130385,10363199.410000000149012
20130228,2113583.379999999888241,2059252.639999999897555,2068620.500000000000000,1975954.159999999916181,2133914.120000000111759,10351324.800000000745058
