代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10996365.169999999925494
真實報酬,996365.169999999925494

夏普值報酬,0.090936517000000
夏普值風險,0.027778653630121
夏普值,3.273611392792488

預期報酬,49429.093189368802996
風險,45645.634608583473891
趨勢值,1.082887632371177
找到最佳解世代,1820
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,7
BA[2](7),GS[8](20),JPM[13](1),MSFT[18](2),NKE[19](8),UTX[24](10),WMT[28](6),
Stock#,BA[2](7),GS[8](20),JPM[13](1),MSFT[18](2),NKE[19](8),UTX[24](10),WMT[28](6),
張數,4844,5607,13358,16700,22838,11198,14466,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,26.959999999962747,131.679999999934807,66.479999999981374,53.000000000000000,54.100000000093132,42.140000000130385,53.500000000000000,
20180102,1437919.919999999925494,1433673.369999999878928,1442062.580000000074506,1435418.000000000000000,1450038.720000000204891,1435177.820000000065193,1426256.439999999944121,10060549.849999999627471
20180103,1442570.159999999916181,1420328.709999999962747,1443531.959999999962747,1442098.000000000000000,1449810.340000000083819,1456230.060000000055879,1438697.199999999953434,10093269.429999999701977
20180104,1437096.439999999944121,1440177.489999999757856,1456622.800000000046566,1454790.000000000000000,1448896.820000000065193,1460821.239999999990687,1439999.140000000130385,10138406.929999999701977
20180105,1496047.919999999925494,1432832.320000000065193,1447272.199999999953434,1472826.000000000000000,1461229.340000000083819,1473363.000000000000000,1448534.079999999841675,10232107.860000001266599
20180108,1502393.559999999823049,1412030.349999999860302,1449409.479999999981374,1474329.000000000000000,1474247.000000000000000,1487360.500000000000000,1469943.760000000009313,10269716.650000000372529
20180109,1542501.879999999888241,1423973.260000000009313,1456756.379999999888241,1473327.000000000000000,1463741.520000000251457,1503597.600000000325963,1452295.239999999990687,10316195.880000000819564
20180110,1551366.399999999906868,1426159.989999999990687,1472785.979999999981374,1466647.000000000000000,1466710.459999999962747,1510652.340000000083819,1441879.719999999972060,10336204.890000000596046
20180111,1589440.239999999990687,1430645.589999999850988,1480667.199999999953434,1470989.000000000000000,1468309.120000000344589,1511660.160000000149012,1446942.819999999832362,10398657.130000000819564
20180112,1628628.199999999953434,1441298.889999999897555,1505112.340000000083819,1496373.000000000000000,1476987.560000000055879,1529464.980000000214204,1459238.920000000158325,10537106.890000000596046
20180116,1623542.000000000000000,1449316.899999999906868,1499769.139999999897555,1475498.000000000000000,1448440.060000000055879,1500238.200000000186265,1456635.040000000037253,10453442.339999999850988
20180117,1700319.399999999906868,1422347.229999999981374,1509386.899999999906868,1505391.000000000000000,1457346.880000000121072,1505277.300000000046566,1485711.699999999953434,10585783.409999998286366
20180118,1647762.000000000000000,1407320.469999999972060,1512993.560000000055879,1504723.000000000000000,1464198.280000000027940,1507404.920000000391155,1508857.300000000046566,10553262.530000001192093
20180119,1635991.080000000074506,1436196.520000000018626,1509654.060000000055879,1503053.000000000000000,1534996.079999999841675,1521850.340000000083819,1513052.439999999944121,10654796.519999999552965
20180122,1637298.959999999962747,1466474.319999999832362,1527286.619999999878928,1529940.000000000000000,1516268.920000000158325,1514123.720000000204891,1525493.199999999953434,10716888.739999998360872
20180123,1625624.919999999925494,1458456.309999999823049,1525683.659999999916181,1534783.000000000000000,1533397.420000000158325,1523306.080000000074506,1532002.900000000139698,10733257.290000000968575
20180124,1621265.320000000065193,1489799.439999999944121,1545186.340000000083819,1533447.000000000000000,1553038.100000000093132,1519386.780000000260770,1530411.640000000130385,10792537.620000001043081
20180125,1662051.800000000046566,1508582.889999999897555,1545587.080000000074506,1541964.000000000000000,1546415.079999999841675,1542566.640000000130385,1542129.099999999860302,10889299.589999999850988
20180126,1662584.640000000130385,1503592.659999999916181,1553869.039999999804422,1570855.000000000000000,1553951.620000000344589,1545142.179999999934807,1568023.239999999990687,10958021.380000000819564
20180129,1650959.040000000037253,1527927.040000000037253,1552266.080000000074506,1568517.000000000000000,1543446.140000000130385,1530472.800000000046566,1584803.800000000046566,10958394.900000002235174
20180130,1635894.199999999953434,1508078.260000000009313,1537705.859999999869615,1548811.000000000000000,1537736.640000000130385,1528569.140000000130385,1558475.680000000167638,10855273.780000001192093
20180131,1716595.239999999990687,1502190.909999999916181,1545186.340000000083819,1586720.000000000000000,1558062.459999999962747,1545478.120000000111759,1542129.099999999860302,10996365.169999999925494
