代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10641206.589999997988343
真實報酬,641206.589999997988343

夏普值報酬,0.055420659000000
夏普值風險,0.018985078664480
夏普值,2.919169310775086

預期報酬,36156.143591093103169
風險,17710.541883434365445
趨勢值,2.041504084350571
找到最佳解世代,2037
找到最佳解實驗#,2
找到最佳解次數,30

stock[index](rank)
投資組合檔數,10
AAPL[0](14),BA[2](13),CVX[5](24),JNJ[12](10),KO[14](27),MMM[16](4),MRK[17](15),NKE[19](8),PFE[20](2),UTX[24](19),
Stock#,AAPL[0](14),BA[2](13),CVX[5](24),JNJ[12](10),KO[14](27),MMM[16](4),MRK[17](15),NKE[19](8),PFE[20](2),UTX[24](19),
張數,8240,6119,8980,8830,24055,5720,16131,18903,31515,9118,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,76.000000000000000,33.020000000018626,77.000000000000000,2.500000000000000,33.650000000023283,29.600000000093132,39.309999999939464,31.300000000046566,29.049999999930151,28.939999999944121,
20170201,1060976.000000000000000,1003365.450000000069849,996857.000000000000000,999823.400000000023283,992542.949999999953434,1002002.000000000000000,1001774.409999999916181,1002268.360000000102445,998109.099999999976717,986414.180000000051223,10044132.849999999627471
20170202,1059163.199999999953434,992901.959999999962747,1007722.799999999930151,1002825.599999999976717,995910.650000000023283,996339.200000000186265,1035326.890000000013970,998109.699999999953434,1000000.000000000000000,988055.419999999925494,10076355.419999999925494
20170203,1063695.200000000186265,993758.619999999995343,1019935.599999999976717,1003443.699999999953434,999278.349999999976717,1001258.400000000023283,1037101.300000000046566,989792.380000000004657,1011345.400000000023283,999817.640000000013970,10119426.589999999850988
20170206,1073665.599999999860302,1003426.640000000013970,1014637.400000000023283,1001324.500000000000000,999759.450000000069849,1001601.600000000093132,1047586.449999999953434,998109.699999999953434,1015757.499999999883585,1009209.180000000051223,10165078.019999999552965
20170207,1083883.199999999953434,1018846.520000000018626,1000359.199999999953434,1002030.900000000023283,1007938.150000000023283,1005376.800000000046566,1035649.510000000009313,998298.730000000097789,1011030.249999999883585,1014406.439999999944121,10177819.699999999254942
20170208,1088085.599999999860302,1002386.410000000032596,1002065.400000000023283,1001324.500000000000000,1010824.750000000116415,1012870.000000000000000,1037585.229999999864958,1018524.940000000060536,1012921.149999999906868,1006656.140000000013970,10193244.120000001043081
20170209,1091216.799999999813735,1005262.339999999967404,1008171.800000000046566,1007328.900000000023283,992302.400000000023283,1019219.200000000186265,1038714.399999999906868,1045556.230000000097789,1020484.750000000000000,1003829.559999999939464,10232086.380000000819564
20170210,1088744.800000000046566,1017194.390000000013970,1015266.000000000000000,1017571.699999999953434,976185.549999999930151,1023909.600000000093132,1034842.960000000079162,1062757.959999999962747,1019539.299999999930151,1012582.839999999967404,10268595.099999999627471
20170213,1098385.599999999860302,1028208.589999999967404,1022988.799999999930151,1023222.899999999906868,977147.750000000000000,1035464.000000000116415,1044844.179999999818392,1060300.570000000065193,1027733.199999999953434,1021427.299999999930151,10339722.890000000596046
20170214,1112640.800000000046566,1031084.520000000018626,1010506.599999999976717,1027461.300000000046566,974982.800000000046566,1038781.600000000093132,1059200.770000000018626,1067105.650000000139698,1032145.299999999930151,1017324.199999999837019,10371233.540000000968575
20170215,1116678.399999999906868,1035979.720000000088476,1010955.599999999976717,1034878.500000000000000,972817.849999999976717,1039353.599999999976717,1051135.270000000018626,1070697.219999999972060,1056096.699999999720603,1020424.319999999948777,10409017.179999999701977
20170216,1115360.000000000000000,1045219.410000000032596,993983.400000000023283,1042648.900000000023283,991099.650000000139698,1049134.800000000046566,1052748.370000000111759,1064081.169999999925494,1059563.349999999627471,1021883.199999999837019,10435722.250000000000000
20170217,1118408.800000000046566,1056845.510000000009313,990840.400000000023283,1049536.300000000046566,991821.299999999930151,1046503.599999999976717,1054845.399999999906868,1072776.550000000046566,1059563.349999999627471,1022612.640000000013970,10463753.849999997764826
20170221,1126484.000000000000000,1074284.659999999916181,1003322.599999999976717,1056600.300000000046566,997353.950000000069849,1048906.000000000232831,1056297.189999999944121,1084307.380000000121072,1059563.349999999627471,1025803.939999999944121,10532923.370000001043081
20170222,1129862.400000000139698,1073060.860000000102445,991289.399999999906868,1055364.099999999860302,1000721.650000000023283,1064178.400000000139698,1053232.299999999813735,1100942.020000000018626,1058617.899999999906868,1027262.819999999948777,10554531.850000001490116
20170223,1125083.199999999953434,1082239.360000000102445,997036.599999999976717,1074613.500000000000000,1002164.949999999953434,1070756.400000000139698,1062265.659999999683350,1084874.469999999972060,1073429.950000000186265,1022065.559999999939464,10594529.650000000372529
20170224,1126154.399999999906868,1085788.380000000121072,988954.600000000093132,1083708.400000000139698,1005051.550000000046566,1072014.800000000046566,1067266.270000000018626,1093758.880000000121072,1079732.949999999720603,1025439.219999999855645,10627869.450000001117587
20170227,1128379.199999999953434,1097965.189999999944121,1003592.000000000000000,1080794.500000000000000,1002405.500000000116415,1069154.800000000046566,1062265.659999999683350,1090545.370000000111759,1080363.250000000000000,1028630.520000000018626,10644095.989999998360872
20170228,1128873.600000000093132,1102860.389999999897555,1010327.000000000000000,1079116.800000000046566,1009381.450000000069849,1065951.600000000093132,1062588.279999999795109,1080526.780000000027940,1075320.849999999627471,1026259.839999999967404,10641206.589999997988343
