代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10743525.710000000894070
真實報酬,743525.710000000894070

夏普值報酬,0.065652571000000
夏普值風險,0.020572825429393
夏普值,3.191227730256254

預期報酬,36191.209489580149238
風險,33190.501619233131350
趨勢值,1.090408632709792
找到最佳解世代,2959
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,6
DIS[6](4),GS[8](3),KO[14](2),MCD[15](9),MSFT[18](15),TRV[22](1),
Stock#,DIS[6](4),GS[8](3),KO[14](2),MCD[15](9),MSFT[18](15),TRV[22](1),
張數,50352,11527,56960,22368,68054,31989,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,14.799999999813735,92.339999999850988,16.399999999906868,26.319999999832362,23.540000000037253,39.099999999860302,
20101001,1678750.479999999981374,1702630.239999999757856,1683753.999999999767169,1675836.879999999888241,1659180.060000000055879,1667305.779999999795109,10067461.439999999478459
20101004,1668680.079999999841675,1689604.729999999748543,1676918.800000000046566,1676507.919999999925494,1627194.679999999934807,1667305.779999999795109,10006215.989999998360872
20101005,1703422.959999999729916,1724185.729999999748543,1699133.199999999720603,1695968.079999999608845,1657138.440000000176951,1691297.529999999795109,10171149.939999997615814
20101006,1689324.399999999674037,1741245.689999999944121,1701981.199999999953434,1686573.520000000018626,1655777.359999999869615,1686819.069999999832362,10161725.240000000223517
20101007,1707451.119999999646097,1741937.310000000055879,1692867.599999999860302,1696862.799999999813735,1669388.160000000149012,1682980.389999999897555,10191491.379999998956919
20101008,1737662.319999999599531,1759804.159999999916181,1692298.000000000000000,1702231.119999999646097,1672110.320000000065193,1689378.189999999944121,10253488.109999999403954
20101011,1740683.439999999944121,1754501.739999999757856,1696285.199999999953434,1690823.439999999944121,1673471.400000000139698,1693856.649999999906868,10249625.870000001043081
20101012,1736151.759999999543652,1789198.010000000009313,1697424.399999999906868,1690599.759999999776483,1689804.359999999869615,1689698.079999999841675,10292880.369999999180436
20101013,1757803.119999999646097,1783665.049999999813735,1707107.599999999860302,1694402.319999999832362,1724511.900000000139698,1708571.589999999850988,10376065.580000000074506
20101014,1754782.000000000000000,1747470.269999999785796,1706538.000000000000000,1723257.040000000037253,1717025.959999999962747,1710171.039999999804422,10359248.309999998658895
20101015,1756292.560000000055879,1737095.969999999739230,1707107.599999999860302,1733098.959999999962747,1738122.699999999953434,1715609.169999999925494,10387330.959999999031425
20101018,1749746.799999999813735,1771792.239999999757856,1708816.399999999906868,1729520.079999999608845,1757177.820000000065193,1740240.699999999720603,10457298.039999999105930
20101019,1724067.280000000027940,1806603.779999999795109,1718499.600000000093132,1722138.639999999664724,1708178.940000000176951,1719767.739999999757856,10399259.980000000447035
20101020,1743201.039999999571592,1839801.539999999804422,1741853.199999999720603,1731533.199999999720603,1722470.280000000027940,1747918.059999999823049,10526781.319999998435378
20101021,1746222.159999999683350,1836343.439999999944121,1750966.799999999813735,1754572.239999999757856,1729956.220000000204891,1758794.319999999832362,10576859.179999999701977
20101022,1760824.239999999757856,1818591.859999999636784,1754953.999999999767169,1757032.719999999739230,1727234.060000000055879,1762633.000000000000000,10581273.879999998956919
20101025,1785496.719999999972060,1814326.869999999646097,1737866.000000000000000,1760387.919999999925494,1714303.800000000046566,1778307.609999999869615,10590692.919999999925494
20101026,1810672.719999999972060,1824701.169999999692664,1744131.599999999860302,1761730.000000000000000,1762622.139999999897555,1760393.769999999785796,10664255.399999998509884
20101027,1808658.639999999897555,1846141.389999999897555,1742992.399999999906868,1733098.959999999962747,1772830.239999999990687,1750797.069999999832362,10654522.699999999254942
20101028,1838366.319999999599531,1881759.820000000065193,1743561.999999999767169,1733098.959999999962747,1788482.660000000149012,1751116.959999999962747,10736390.719999998807907
20101029,1819232.560000000055879,1857437.849999999860302,1746410.000000000000000,1739585.679999999701977,1815023.720000000204891,1765831.899999999906868,10743525.710000000894070
