代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10740384.379999998956919
真實報酬,740384.379999998956919

夏普值報酬,0.065338438000000
夏普值風險,0.021947496293037
夏普值,2.977033786798267

預期報酬,33656.263436632667435
風險,44110.899186066846596
趨勢值,0.762992005550944
找到最佳解世代,3672
找到最佳解實驗#,2
找到最佳解次數,28

stock[index](rank)
投資組合檔數,5
AXP[1](2),CSCO[4](1),MRK[17](9),UNH[23](3),V[25](5),
Stock#,AXP[1](2),CSCO[4](1),MRK[17](9),UNH[23](3),V[25](5),
張數,20096,47292,30362,7898,14626,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,46.080000000074506,21.320000000065193,55.059999999823049,68.439999999944121,40.759999999776483,
20180801,1998593.280000000027940,1979664.439999999944121,1988462.439999999711290,2001184.699999999953434,2022085.259999999776483,9989990.119999999180436
20180802,2004220.160000000149012,2011350.080000000074506,1980264.699999999720603,2022588.279999999795109,2031884.679999999701977,10050307.899999998509884
20180803,2025521.920000000158325,2025537.679999999934807,2001821.719999999972060,2031592.000000000232831,2045048.079999999608845,10129521.400000000372529
20180806,2028134.400000000139698,2047764.919999999925494,2010626.699999999720603,2027958.919999999925494,2043439.219999999972060,10157924.160000000149012
20180807,2049235.199999999953434,2061006.679999999934807,2021557.019999999785796,2034988.139999999664724,2051776.039999999804422,10218563.079999998211861
20180808,2065512.960000000195578,2073302.600000000325963,2024896.839999999850988,2044149.820000000065193,2057626.439999999944121,10265488.660000000149012
20180809,2069733.119999999878928,2070465.080000000074506,2003947.059999999823049,2066106.259999999776483,2047827.019999999552965,10258078.539999999105930
20180810,2041397.760000000009313,2070465.080000000074506,2006072.399999999674037,2056391.719999999972060,2043731.739999999525025,10218058.699999999254942
20180813,2046019.840000000083819,2069046.320000000065193,2025807.699999999720603,2060735.620000000111759,2050752.219999999972060,10252361.699999999254942
20180814,2053455.360000000102445,2080869.320000000065193,2017913.579999999608845,2081033.479999999981374,2058796.519999999552965,10292068.259999999776483
20180815,2039991.040000000270084,2074248.439999999944121,2045543.000000000000000,2058366.219999999972060,2046510.679999999701977,10264659.379999998956919
20180816,2062900.480000000214204,2135728.040000000037253,2090478.759999999543652,2078032.240000000223517,2057187.659999999916181,10424327.179999999701977
20180817,2070536.960000000195578,2169305.360000000335276,2096854.779999999795109,2071950.779999999795109,2067133.339999999850988,10475781.219999998807907
20180820,2086613.760000000009313,2185857.559999999590218,2130556.599999999627471,2072503.639999999664724,2061429.199999999720603,10536960.759999997913837
20180821,2106307.840000000316650,2165049.080000000074506,2100194.599999999627471,2066896.059999999823049,2048265.799999999580905,10486713.379999998956919
20180822,2126805.760000000242144,2174980.400000000372529,2096247.540000000037253,2059392.959999999962747,2064354.399999999674037,10521781.060000000521541
20180823,2117561.600000000093132,2176399.160000000149012,2094122.199999999720603,2064763.600000000093132,2078395.359999999636784,10531241.919999998062849
20180824,2125399.040000000037253,2190586.759999999776483,2096247.540000000037253,2087351.879999999655411,2109109.959999999497086,10608695.179999997839332
20180827,2151322.879999999888241,2203355.600000000558794,2094729.439999999711290,2109466.279999999795109,2126661.159999999683350,10685535.359999999403954
20180828,2155944.959999999962747,2220380.719999999739230,2083799.119999999646097,2120760.419999999925494,2123735.959999999497086,10704621.179999997839332
20180829,2144490.239999999757856,2245445.479999999515712,2089264.279999999795109,2124630.439999999944121,2150501.539999999571592,10754331.979999996721745
20180830,2134844.160000000149012,2229839.120000000111759,2081066.540000000037253,2119812.659999999683350,2146260.000000000000000,10711822.480000000447035
20180831,2129820.160000000149012,2259160.160000000149012,2082584.639999999897555,2120365.519999999552965,2148453.899999999441206,10740384.379999998956919
