代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10621254.379999998956919
真實報酬,621254.379999998956919

夏普值報酬,0.053425438000000
夏普值風險,0.019622756931139
夏普值,2.722626498788292

預期報酬,31485.069205678028084
風險,39764.606480565424135
趨勢值,0.791786264025172
找到最佳解世代,2548
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](16),CVX[5](2),INTC[11](1),UNH[23](14),
Stock#,AAPL[0](16),CVX[5](2),INTC[11](1),UNH[23](14),
張數,27645,20359,91508,31395,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,62.649999999906868,118.389999999664724,1.439999999944121,16.150000000372529,
20140602,2482860.100000000093132,2488191.779999999329448,2494509.520000000018626,2494976.800000000279397,9960538.199999999254942
20140603,2517969.250000000000000,2495113.839999999385327,2531112.719999999739230,2507848.750000000000000,10052044.559999998658895
20140604,2546720.049999999813735,2491042.039999999571592,2525622.240000000223517,2527627.600000000558794,10091011.929999999701977
20140605,2556672.250000000000000,2514862.069999999366701,2531112.719999999739230,2505337.150000000372529,10107984.189999999478459
20140606,2549484.549999999813735,2528502.599999999627471,2577781.800000000279397,2509418.500000000465661,10165187.449999999254942
20140609,2590399.149999999906868,2532167.219999999739230,2553989.719999999739230,2504081.350000000558794,10180637.439999999478459
20140610,2605603.899999999906868,2551915.449999999720603,2584187.359999999869615,2505651.100000000558794,10247357.809999998658895
20140611,2594822.350000000093132,2548658.009999999776483,2555819.879999999888241,2516953.300000000279397,10216253.539999999105930
20140612,2551419.700000000186265,2567591.879999999422580,2558565.120000000111759,2494034.950000000186265,10171611.650000000372529
20140613,2523498.250000000000000,2591004.729999999981374,2733345.399999999906868,2485872.250000000465661,10333720.630000000819564
20140616,2548931.649999999906868,2617064.249999999534339,2746156.520000000018626,2448826.150000000372529,10360978.570000000298023
20140617,2545614.250000000000000,2622968.359999999869615,2740666.040000000037253,2454163.300000000279397,10363411.949999999254942
20140618,2548378.750000000000000,2652488.909999999683350,2738835.879999999888241,2486814.100000000093132,10426517.640000000596046
20140619,2539532.350000000093132,2687302.799999999813735,2753477.160000000149012,2527627.600000000558794,10507939.910000000149012
20140620,2513269.599999999627471,2694428.449999999720603,2763543.040000000037253,2555883.100000000093132,10527124.189999999478459
20140623,2511058.000000000000000,2707458.209999999497086,2766288.279999999795109,2558394.700000000186265,10543199.189999997615814
20140624,2495853.250000000000000,2682823.819999999832362,2790995.439999999944121,2566243.450000000186265,10535915.960000000894070
20140625,2498064.850000000093132,2671829.959999999497086,2825768.479999999981374,2585080.450000000651926,10580743.740000000223517
20140626,2512993.149999999906868,2665518.669999999459833,2816617.680000000167638,2583510.700000000651926,10578640.200000001117587
20140627,2542849.750000000000000,2654117.629999999888241,2830343.879999999888241,2574406.150000000372529,10601717.410000000149012
20140630,2569112.500000000000000,2657985.839999999850988,2827598.639999999664724,2566557.400000000372529,10621254.379999998956919
