代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10694628.720000002533197
真實報酬,694628.720000002533197

夏普值報酬,0.060762872000000
夏普值風險,0.019545081173929
夏普值,3.108857489988390

預期報酬,34249.254132404166739
風險,36574.713707124210487
趨勢值,0.936418926109951
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](14),JNJ[12](4),MSFT[18](1),PFE[20](6),
Stock#,AAPL[0](14),JNJ[12](4),MSFT[18](1),PFE[20](6),
張數,26150,20610,48856,71002,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,60.000000000000000,7.000000000000000,38.479999999981374,19.580000000074506,
20160701,2507583.500000000000000,2499793.899999999906868,2499511.439999999944121,2525560.720000000204891,10032449.560000000521541
20160705,2484048.500000000000000,2519991.699999999720603,2500000.000000000000000,2542601.200000000186265,10046641.399999998509884
20160706,2498169.500000000000000,2527617.399999999906868,2510259.760000000242144,2546151.299999999813735,10082197.960000000894070
20160707,2508891.000000000000000,2524938.100000000093132,2510259.760000000242144,2539761.120000000111759,10083849.980000000447035
20160708,2528242.000000000000000,2531945.500000000000000,2555207.279999999795109,2564611.819999999832362,10180006.599999999627471
20160711,2536087.000000000000000,2533594.300000000279397,2569375.520000000018626,2566741.879999999888241,10205798.699999999254942
20160712,2547593.000000000000000,2533388.200000000186265,2599666.240000000223517,2573132.060000000055879,10253779.500000000000000
20160713,2533210.500000000000000,2535037.000000000000000,2614323.040000000037253,2578102.200000000186265,10260672.740000000223517
20160714,2583418.500000000000000,2538746.800000000279397,2625559.919999999925494,2621413.420000000391155,10369138.640000000596046
20160715,2583157.000000000000000,2535037.000000000000000,2623605.680000000167638,2610763.120000000111759,10352562.800000000745058
20160718,2610614.500000000000000,2537922.399999999906868,2636308.240000000223517,2601532.860000000335276,10386378.000000000000000
20160719,2611660.500000000000000,2581409.500000000000000,2593803.520000000018626,2601532.860000000335276,10388406.379999998956919
20160720,2614014.000000000000000,2579142.399999999906868,2731577.439999999944121,2604372.939999999944121,10529106.779999999329448
20160721,2600154.500000000000000,2579348.500000000000000,2726203.279999999795109,2606503.000000000000000,10512209.279999999329448
20160722,2580019.000000000000000,2576875.299999999813735,2763822.399999999906868,2608633.060000000055879,10529349.759999999776483
20160725,2545501.000000000000000,2573989.899999999906868,2771639.359999999869615,2611473.140000000130385,10502603.400000000372529
20160726,2527980.500000000000000,2579348.500000000000000,2773105.040000000037253,2615023.239999999757856,10495457.279999999329448
20160727,2692202.500000000000000,2571516.699999999720603,2745257.119999999646097,2616443.280000000260770,10625419.599999997764826
20160728,2728551.000000000000000,2565127.600000000093132,2746234.240000000223517,2603662.920000000391155,10643575.759999999776483
20160729,2725151.500000000000000,2580997.300000000279397,2769196.560000000055879,2619283.360000000335276,10694628.720000002533197
