代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10419355.150000002235174
真實報酬,419355.150000002235174

夏普值報酬,0.033235515000000
夏普值風險,0.015989968521508
夏普值,2.078522853581255

預期報酬,23851.525313588899735
風險,121964.998815978993662
趨勢值,0.195560411143660
找到最佳解世代,1943
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](1),VZ[26](2),
Stock#,UNH[23](1),VZ[26](2),
張數,79833,103135,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,59.209999999962747,15.200000000186265,
20130603,5013571.609999999403954,5018564.299999999813735,10032135.910000000149012
20130604,4978445.089999999850988,5037128.600000000558794,10015573.690000001341105
20130605,4929746.959999999962747,4981435.700000000186265,9911182.660000000149012
20130606,4943318.570000000298023,5153671.150000000372529,10096989.720000000670552
20130607,4995210.019999999552965,5181517.600000000558794,10176727.620000001043081
20130610,5083824.650000000372529,5211426.750000000000000,10295251.400000000372529
20130611,5103782.900000000372529,5175329.500000000000000,10279112.400000000372529
20130612,5095799.599999999627471,5146451.700000000186265,10242251.300000000745058
20130613,5121346.160000000149012,5222771.600000000558794,10344117.760000001639128
20130614,5093404.609999999403954,5267119.650000000372529,10360524.259999999776483
20130617,5138909.419999999925494,5229991.049999999813735,10368900.469999998807907
20130618,5243490.650000000372529,5316624.450000000186265,10560115.100000001490116
20130619,5209960.790000000037253,5161921.950000000186265,10371882.740000000223517
20130620,5093404.609999999403954,5049504.799999999813735,10142909.410000000149012
20130621,5101387.910000000149012,5107260.400000000372529,10208648.310000000521541
20130624,5161262.660000000149012,5066006.400000000372529,10227269.060000000521541
20130625,5087816.299999999813735,5202144.599999999627471,10289960.899999998509884
20130626,5171640.950000000186265,5224834.299999999813735,10396475.250000000000000
20130627,5276222.180000000633299,5259900.200000000186265,10536122.380000000819564
20130628,5227524.050000000745058,5191831.100000000558794,10419355.150000002235174
