代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10403223.599999999627471
真實報酬,403223.599999999627471

夏普值報酬,0.031622360000000
夏普值風險,0.013215301939322
夏普值,2.392859440154643

預期報酬,20383.551682271172467
風險,53644.371220597029605
趨勢值,0.379975591445553
找到最佳解世代,2426
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](2),JNJ[12](1),NKE[19](6),PFE[20](7),PG[21](3),
Stock#,GS[8](2),JNJ[12](1),NKE[19](6),PFE[20](7),PG[21](3),
張數,11166,19280,50916,68050,24064,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,57.739999999757856,85.599999999860302,19.520000000018626,10.500000000000000,40.959999999962747,
20140902,2007369.559999999823049,1992866.399999999906868,2018329.760000000009313,1991153.500000000000000,1996871.680000000167638,10006590.900000000372529
20140903,2005471.339999999618158,2000578.399999999906868,2006619.079999999841675,2000680.500000000000000,1994946.560000000055879,10008295.879999998956919
20140904,2010831.019999999785796,2002120.799999999813735,2034622.880000000121072,1998639.000000000000000,2014197.760000000009313,10060411.459999999031425
20140905,2007146.239999999757856,2013303.199999999953434,2088593.840000000083819,2017693.000000000000000,2015882.239999999757856,10142618.519999999552965
20140908,2011166.000000000000000,2006169.599999999860302,2097758.720000000204891,2000680.500000000000000,2005053.439999999711290,10120828.259999999776483
20140909,1980906.139999999897555,2001349.599999999860302,2083502.239999999990687,1989112.000000000000000,1997112.319999999832362,10051982.299999998882413
20140910,2008486.159999999916181,2024292.799999999813735,2099795.360000000335276,2003402.500000000000000,2012753.919999999925494,10148730.740000000223517
20140911,2021103.739999999757856,2015809.599999999860302,2082993.079999999841675,2016332.000000000000000,2009144.319999999832362,10145382.740000000223517
20140912,2045333.959999999729916,2016387.999999999767169,2083502.239999999990687,2002722.000000000000000,2003609.600000000093132,10151555.799999998882413
20140915,2054378.419999999692664,2019087.199999999953434,2077901.480000000214204,2036066.500000000000000,2018288.640000000130385,10205722.240000000223517
20140916,2055048.379999999655411,2041451.999999999767169,2067209.120000000111759,2044913.000000000000000,2023342.079999999841675,10231964.580000000074506
20140917,2063757.859999999636784,2047428.799999999813735,2075355.679999999934807,2065328.000000000000000,2025267.199999999953434,10277137.539999999105930
20140918,2098037.479999999515712,2069793.599999999860302,2087066.360000000102445,2080979.500000000000000,2025989.119999999878928,10361866.059999998658895
20140919,2079166.939999999711290,2082132.799999999813735,2082993.079999999841675,2068730.500000000000000,2032727.040000000037253,10345750.359999999403954
20140922,2069005.879999999655411,2080011.999999999767169,2054480.120000000111759,2053759.500000000000000,2040908.800000000046566,10298166.300000000745058
20140923,2066772.679999999701977,2071914.399999999674037,2039714.480000000214204,2044913.000000000000000,2032005.119999999878928,10255319.679999999701977
20140924,2097144.199999999720603,2094664.799999999813735,2058044.239999999990687,2062606.000000000000000,2051256.319999999832362,10363715.559999998658895
20140925,2055606.679999999701977,2064973.599999999860302,2030549.600000000093132,2040149.500000000000000,2029358.079999999841675,10220637.459999999031425
20140926,2067107.659999999916181,2064973.599999999860302,2278510.520000000018626,2022456.500000000000000,2035374.079999999841675,10468422.359999999403954
20140929,2052703.519999999785796,2054176.800000000046566,2268836.479999999981374,2025859.000000000000000,2032005.119999999878928,10433580.919999999925494
20140930,2049800.359999999636784,2055140.799999999813735,2270873.120000000111759,2012249.000000000000000,2015160.319999999832362,10403223.599999999627471
