代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10627802.649999998509884
真實報酬,627802.649999998509884

夏普值報酬,0.054080265000000
夏普值風險,0.024635990541116
夏普值,2.195173151643436

預期報酬,38809.139833992034255
風險,127915.253438147978159
趨勢值,0.303397278986417
找到最佳解世代,2057
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MSFT[18](3),
Stock#,AAPL[0](1),MSFT[18](3),
張數,77339,157035,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,33.649999999441206,5.599999999627471,
20130801,5045630.009999998845160,4973304.049999999813735,10018934.059999998658895
20130802,5110594.769999999552965,5007851.750000000000000,10118446.519999999552965
20130805,5186386.989999999292195,4978015.099999999627471,10164402.089999999850988
20130806,5139983.589999998919666,4959170.899999999441206,10099154.489999998360872
20130807,5137663.419999999925494,5034547.700000000186265,10172211.120000001043081
20130808,5093580.189999999478459,5164886.750000000000000,10258466.939999999478459
20130809,5020881.529999999329448,5135050.099999999627471,10155931.629999998956919
20130812,5163958.679999998770654,5161746.049999998882413,10325704.729999996721745
20130813,5409123.309999999590218,5061243.649999999441206,10470366.959999999031425
20130814,5507343.839999998919666,5080087.849999999627471,10587431.689999997615814
20130815,5501156.719999998807907,4992148.249999999068677,10493304.969999998807907
20130816,5549880.290000000037253,4993718.599999999627471,10543598.890000000596046
20130819,5609431.319999999366701,4929334.250000000000000,10538765.570000000298023
20130820,5535959.269999999552965,4965452.299999999813735,10501411.570000000298023
20130821,5550653.679999998770654,4963881.949999999254942,10514535.629999998956919
20130822,5556840.799999998882413,5086369.250000000000000,10643210.049999998882413
20130823,5535185.879999998956919,5456971.849999999627471,10992157.729999998584390
20130826,5556840.799999998882413,5362750.849999999627471,10919591.649999998509884
20130827,5398295.849999999627471,5222989.699999999254942,10621285.549999998882413
20130828,5423817.719999998807907,5185301.299999999813735,10609119.019999999552965
20130829,5432325.009999998845160,5268529.849999999627471,10700854.859999999403954
20130830,5382828.049999998882413,5244974.599999999627471,10627802.649999998509884
