代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10468992.080000000074506
真實報酬,468992.080000000074506

夏普值報酬,0.038199208000000
夏普值風險,0.013313899549664
夏普值,2.869122442865657

預期報酬,19749.039710144945275
風險,36714.496799849810486
趨勢值,0.537908494778164
找到最佳解世代,1614
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](3),PG[21](4),VZ[26](1),WMT[28](2),
Stock#,DIS[6](3),PG[21](4),VZ[26](1),WMT[28](2),
張數,57991,39283,61911,42437,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.990000000223517,29.879999999888241,33.819999999832362,36.330000000074506,
20120501,2539433.880000000353903,2497250.189999999944121,2511143.979999999981374,2506789.919999999925494,10054617.970000000670552
20120502,2524936.130000000353903,2513356.219999999739230,2513620.419999999925494,2504243.700000000186265,10056156.469999998807907
20120503,2540593.700000000186265,2534176.209999999962747,2516096.859999999869615,2503394.959999999962747,10094261.730000000447035
20120504,2489561.620000000111759,2525141.120000000111759,2492570.679999999701977,2491088.229999999981374,9998361.650000000372529
20120507,2541173.610000000335276,2523962.629999999888241,2509286.649999999906868,2511882.359999999869615,10086305.250000000000000
20120508,2569009.290000000037253,2520427.159999999683350,2510524.869999999646097,2505941.180000000167638,10105902.499999998137355
20120509,2610762.810000000521541,2501178.489999999757856,2491951.569999999832362,2505092.439999999944121,10108985.310000000521541
20120510,2625840.470000000204891,2519641.500000000000000,2510524.869999999646097,2511882.359999999869615,10167889.199999999254942
20120511,2642077.950000000186265,2501571.319999999832362,2548290.579999999608845,2521642.870000000111759,10213582.719999998807907
20120514,2619461.460000000428408,2497643.020000000018626,2531574.609999999869615,2506789.919999999925494,10155469.009999999776483
20120515,2610182.899999999906868,2503142.639999999664724,2541480.369999999646097,2518672.280000000260770,10173478.189999997615814
20120516,2614242.270000000018626,2525533.950000000186265,2530955.500000000000000,2511882.359999999869615,10182614.080000000074506
20120517,2570749.020000000018626,2512570.560000000055879,2561291.889999999664724,2617550.490000000223517,10262161.960000000894070
20120518,2540593.700000000186265,2495286.040000000037253,2571197.649999999906868,2649378.240000000223517,10256455.630000000819564
20120521,2574228.480000000447035,2490179.250000000000000,2559434.560000000055879,2675264.810000000055879,10299107.100000001490116
20120522,2574228.480000000447035,2480751.329999999608845,2562530.109999999869615,2704546.339999999850988,10322056.259999999776483
20120523,2574228.480000000447035,2450896.250000000000000,2562530.109999999869615,2704546.339999999850988,10292201.179999999701977
20120524,2577128.030000000260770,2457967.189999999944121,2562530.109999999869615,2761411.919999999925494,10359037.250000000000000
20120525,2580607.490000000223517,2454824.549999999813735,2566244.770000000018626,2771596.800000000279397,10373273.610000001266599
20120529,2637438.669999999925494,2472894.729999999981374,2584818.069999999832362,2787298.490000000223517,10482449.960000000894070
20120530,2621201.190000000409782,2448146.439999999944121,2564387.439999999944121,2777113.609999999869615,10410848.679999999701977
20120531,2650776.600000000093132,2446967.949999999720603,2578007.859999999869615,2793239.669999999925494,10468992.080000000074506
