代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10841288.620000001043081
真實報酬,841288.620000001043081

夏普值報酬,0.075428862000000
夏普值風險,0.023991393119479
夏普值,3.143996750182833

預期報酬,33656.611561461817473
風險,66713.625725336882169
趨勢值,0.504493815101995
找到最佳解世代,2205
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](3),MRK[17](1),WMT[28](4),
Stock#,JNJ[12](3),MRK[17](1),WMT[28](4),
張數,53393,88699,50643,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,8.010000000242144,24.580000000074506,10.740000000223517,
20120601,3298627.550000000279397,3297853.399999999906868,3319659.390000000130385,9916141.339999999850988
20120604,3328527.630000000353903,3322689.120000000111759,3341942.310000000055879,9993160.060000000521541
20120605,3321586.540000000502914,3326237.080000000074506,3317127.240000000223517,9964951.860000001266599
20120606,3353088.410000000149012,3361716.680000000167638,3338903.730000000447035,10053709.820000000298023
20120607,3353088.410000000149012,3399857.250000000000000,3335865.150000000372529,10088811.810000000521541
20120608,3362699.149999999906868,3411388.120000000111759,3454876.200000000186265,10228964.469999998807907
20120611,3316781.169999999925494,3412275.109999999869615,3419932.530000000260770,10148989.809999998658895
20120612,3368038.450000000186265,3445980.729999999981374,3429554.700000000186265,10243574.879999998956919
20120613,3441186.860000000335276,3406066.180000000167638,3396636.750000000000000,10243890.790000000968575
20120614,3494579.860000000335276,3440658.790000000037253,3424996.830000000074506,10360236.480000000447035
20120615,3524479.940000000409782,3453963.639999999664724,3431073.990000000223517,10409518.570000000298023
20120618,3539963.910000000149012,3445980.729999999981374,3449811.900000000372529,10435757.540000000968575
20120619,3562388.970000000204891,3479686.349999999627471,3434112.570000000298023,10476188.890000000596046
20120620,3577339.010000000242144,3477912.370000000111759,3470069.100000000093132,10525321.480000000447035
20120621,3544769.280000000260770,3499200.130000000353903,3428541.840000000316650,10472512.250000000000000
20120622,3557583.600000000093132,3563950.399999999906868,3408284.640000000130385,10529819.640000000596046
20120625,3550642.510000000242144,3528470.800000000279397,3452850.480000000447035,10531964.790000000968575
20120626,3546371.070000000298023,3554193.510000000242144,3473107.680000000167638,10573673.259999999776483
20120627,3568796.130000000353903,3594995.050000000279397,3473614.110000000335276,10637406.290000000968575
20120628,3574135.430000000167638,3608299.899999999906868,3458927.640000000130385,10641363.970000000670552
20120629,3607239.090000000316650,3703207.830000000074506,3530840.700000000186265,10841288.620000001043081
