代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12638098.099999999627471
真實報酬,2638098.099999999627471

夏普值報酬,0.255109810000000
夏普值風險,0.066194631925722
夏普值,3.853935018269487

二次趨勢線,-124.768995376443030 x^2 + 36187.539107118558604 x + 10000000.000000000000000
二次平均預期報酬,20341.876694310285529
風險,239424.208379710908048
二次平均趨勢值,0.084961653760799
一次趨勢線,24350.265605060241796 x + 10000000.000000000000000
一次預期報酬,24350.265605060241796
一次風險,327634.785520570701919
一次趨勢值,0.074321368429701
找到最佳解世代,2519
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,165398,
分配資金,10000000.000000000000000,
剩餘資金,36.919999999925494,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10041349.500000000000000,10041349.500000000000000
FS( 3 ),10195169.640000000596046,10195169.640000000596046
FS( 4 ),10287792.519999999552965,10287792.519999999552965
FS( 5 ),10258020.880000000819564,10258020.880000000819564
FS( 6 ),10304332.320000000298023,10304332.320000000298023
FS( 7 ),10238173.119999999180436,10238173.119999999180436
FS( 8 ),10363875.599999999627471,10363875.599999999627471
FS( 9 ),10401917.140000000596046,10401917.140000000596046
FS( 10 ),10352297.740000000223517,10352297.740000000223517
FS( 11 ),10342373.859999999403954,10342373.859999999403954
FS( 12 ),10410187.039999999105930,10410187.039999999105930
FS( 13 ),10339065.900000000372529,10339065.900000000372529
FS( 14 ),10340719.880000000819564,10340719.880000000819564
FS( 15 ),10368837.539999999105930,10368837.539999999105930
FS( 16 ),10489578.080000000074506,10489578.080000000074506
FS( 17 ),10666553.939999999478459,10666553.939999999478459
FS( 18 ),10587162.900000000372529,10587162.900000000372529
FS( 19 ),10501155.939999999478459,10501155.939999999478459
FS( 20 ),10719481.300000000745058,10719481.300000000745058
FS( 21 ),10894803.180000001564622,10894803.180000001564622
FS( 22 ),10831951.939999999478459,10831951.939999999478459
FS( 23 ),10787294.480000000447035,10787294.480000000447035
FS( 24 ),10904727.060000000521541,10904727.060000000521541
FS( 25 ),10952692.480000000447035,10952692.480000000447035
FS( 26 ),11012235.759999999776483,11012235.759999999776483
FS( 27 ),11030429.539999999105930,11030429.539999999105930
FS( 28 ),10916304.919999999925494,10916304.919999999925494
FS( 29 ),10927882.779999999329448,10927882.779999999329448
FS( 30 ),11035391.480000000447035,11035391.480000000447035
FS( 31 ),10992387.999999998137355,10992387.999999998137355
FS( 32 ),11142900.180000001564622,11142900.180000001564622
FS( 33 ),11387689.219999998807907,11387689.219999998807907
FS( 34 ),11422422.800000000745058,11422422.800000000745058
FS( 35 ),11606014.580000000074506,11606014.580000000074506
FS( 36 ),11440616.580000000074506,11440616.580000000074506
FS( 37 ),11419114.840000001713634,11419114.840000001713634
FS( 38 ),11407536.980000000447035,11407536.980000000447035
FS( 39 ),11419114.840000001713634,11419114.840000001713634
FS( 40 ),11410844.939999999478459,11410844.939999999478459
FS( 41 ),11351301.659999998286366,11351301.659999998286366
FS( 42 ),11381073.300000000745058,11381073.300000000745058
FS( 43 ),11336415.840000001713634,11336415.840000001713634
FS( 44 ),11344685.740000000223517,11344685.740000000223517
FS( 45 ),11238831.019999999552965,11238831.019999999552965
FS( 46 ),11349647.680000001564622,11349647.680000001564622
FS( 47 ),11475350.159999998286366,11475350.159999998286366
FS( 48 ),11523315.580000000074506,11523315.580000000074506
FS( 49 ),11505121.800000000745058,11505121.800000000745058
FS( 50 ),11425730.759999999776483,11425730.759999999776483
FS( 51 ),11554741.199999999254942,11554741.199999999254942
FS( 52 ),11715177.259999999776483,11715177.259999999776483
FS( 53 ),11574588.960000000894070,11574588.960000000894070
FS( 54 ),11647364.080000000074506,11647364.080000000074506
FS( 55 ),11647364.080000000074506,11647364.080000000074506
FS( 56 ),11574588.960000000894070,11574588.960000000894070
FS( 57 ),11706907.359999999403954,11706907.359999999403954
FS( 58 ),11759834.719999998807907,11759834.719999998807907
FS( 59 ),11706907.359999999403954,11706907.359999999403954
FS( 60 ),11685405.620000001043081,11685405.620000001043081
FS( 61 ),11632478.259999999776483,11632478.259999999776483
FS( 62 ),11696983.480000000447035,11696983.480000000447035
FS( 63 ),11733371.039999999105930,11733371.039999999105930
FS( 64 ),11830955.859999999403954,11830955.859999999403954
FS( 65 ),11867343.419999999925494,11867343.419999999925494
FS( 66 ),11804492.180000001564622,11804492.180000001564622
