代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15702153.560000000521541
真實報酬,5702153.560000000521541

夏普值報酬,0.561515356000000
夏普值風險,0.175828022879899
夏普值,3.193548711990847

二次趨勢線,345.578242013959994 x^2 + 9825.444421043901457 x + 10000000.000000000000000
二次平均預期報酬,53022.724672788899625
風險,729343.220219802460633
二次平均趨勢值,0.072699276832668
一次趨勢線,42093.292319937805587 x + 10000000.000000000000000
一次預期報酬,42093.292319937805587
一次風險,944455.963402998400852
一次趨勢值,0.044568824753110
找到最佳解世代,2841
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,771604,
分配資金,10000000.000000000000000,
剩餘資金,12.160000000149012,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10424382.199999999254942,10424382.199999999254942
FS( 3 ),10254629.320000000298023,10254629.320000000298023
FS( 4 ),10030864.160000000149012,10030864.160000000149012
FS( 5 ),10216049.120000001043081,10216049.120000001043081
FS( 6 ),9984567.919999999925494,9984567.919999999925494
FS( 7 ),9776234.839999999850988,9776234.839999999850988
FS( 8 ),9668210.279999999329448,9668210.279999999329448
FS( 9 ),9405864.919999999925494,9405864.919999999925494
FS( 10 ),9189815.800000000745058,9189815.800000000745058
FS( 11 ),9074075.199999999254942,9074075.199999999254942
FS( 12 ),8618828.839999999850988,8618828.839999999850988
FS( 13 ),9128087.480000000447035,9128087.480000000447035
FS( 14 ),9737654.639999998733401,9737654.639999998733401
FS( 15 ),9737654.639999998733401,9737654.639999998733401
FS( 16 ),9884259.400000000372529,9884259.400000000372529
FS( 17 ),10000000.000000000000000,10000000.000000000000000
FS( 18 ),10385802.000000000000000,10385802.000000000000000
FS( 19 ),10254629.320000000298023,10254629.320000000298023
FS( 20 ),9938271.680000001564622,9938271.680000001564622
FS( 21 ),10084876.439999999478459,10084876.439999999478459
FS( 22 ),10246913.279999999329448,10246913.279999999329448
FS( 23 ),10308641.599999999627471,10308641.599999999627471
FS( 24 ),10632715.279999999329448,10632715.279999999329448
FS( 25 ),10995369.160000000149012,10995369.160000000149012
FS( 26 ),11296294.720000000670552,11296294.720000000670552
FS( 27 ),10787036.080000000074506,10787036.080000000074506
FS( 28 ),10671295.480000000447035,10671295.480000000447035
FS( 29 ),10941356.880000000819564,10941356.880000000819564
FS( 30 ),10933640.839999999850988,10933640.839999999850988
FS( 31 ),10416666.160000000149012,10416666.160000000149012
FS( 32 ),10401234.080000000074506,10401234.080000000074506
FS( 33 ),9992283.959999999031425,9992283.959999999031425
FS( 34 ),10054012.279999999329448,10054012.279999999329448
FS( 35 ),9583333.839999999850988,9583333.839999999850988
FS( 36 ),9945987.720000000670552,9945987.720000000670552
FS( 37 ),10046296.240000000223517,10046296.240000000223517
FS( 38 ),9830247.120000001043081,9830247.120000001043081
FS( 39 ),9845679.199999999254942,9845679.199999999254942
FS( 40 ),9691358.400000000372529,9691358.400000000372529
FS( 41 ),9737654.639999998733401,9737654.639999998733401
FS( 42 ),10046296.240000000223517,10046296.240000000223517
FS( 43 ),9791666.919999999925494,9791666.919999999925494
FS( 44 ),9405864.919999999925494,9405864.919999999925494
FS( 45 ),9158951.639999998733401,9158951.639999998733401
FS( 46 ),9768518.800000000745058,9768518.800000000745058
FS( 47 ),10216049.120000001043081,10216049.120000001043081
FS( 48 ),10617283.199999999254942,10617283.199999999254942
FS( 49 ),10570986.959999999031425,10570986.959999999031425
FS( 50 ),10516974.680000001564622,10516974.680000001564622
FS( 51 ),10987653.120000001043081,10987653.120000001043081
FS( 52 ),11188270.160000000149012,11188270.160000000149012
FS( 53 ),11203702.240000000223517,11203702.240000000223517
