代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11713948.719999998807907
真實報酬,1713948.719999998807907

夏普值報酬,0.162694872000000
夏普值風險,0.049135562760317
夏普值,3.311142945357613

二次趨勢線,107.065451291741283 x^2 + -613.004238175800765 x + 10000000.000000000000000
二次平均預期報酬,13091.373527167093926
風險,177860.890830766118597
二次平均趨勢值,0.073604565152119
一次趨勢線,9624.972092403873830 x + 10000000.000000000000000
一次預期報酬,9624.972092403873830
一次風險,263902.833495489729103
一次趨勢值,0.036471651194182
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,116754,
分配資金,10000000.000000000000000,
剩餘資金,19.899999998509884,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9998832.459999999031425,9998832.459999999031425
FS( 3 ),10024518.339999997988343,10024518.339999997988343
FS( 4 ),10047869.139999998733401,10047869.139999998733401
FS( 5 ),9994162.299999997019768,9994162.299999997019768
FS( 6 ),9964973.799999997019768,9964973.799999997019768
FS( 7 ),9922942.359999997541308,9922942.359999997541308
FS( 8 ),9919439.739999998360872,9919439.739999998360872
FS( 9 ),10018680.639999998733401,10018680.639999998733401
FS( 10 ),9980151.819999998435378,9980151.819999998435378
FS( 11 ),9970811.500000000000000,9970811.500000000000000
FS( 12 ),10065382.239999998360872,10065382.239999998360872
FS( 13 ),10072387.479999998584390,10072387.479999998584390
FS( 14 ),10103911.059999998658895,10103911.059999998658895
FS( 15 ),10339754.139999998733401,10339754.139999998733401
FS( 16 ),10288382.379999998956919,10288382.379999998956919
FS( 17 ),10276706.979999998584390,10276706.979999998584390
FS( 18 ),10168125.759999999776483,10168125.759999999776483
FS( 19 ),10131932.019999999552965,10131932.019999999552965
FS( 20 ),10096905.819999998435378,10096905.819999998435378
FS( 21 ),10086397.959999999031425,10086397.959999999031425
FS( 22 ),9931115.139999998733401,9931115.139999998733401
FS( 23 ),9987157.059999998658895,9987157.059999998658895
FS( 24 ),9840047.019999999552965,9840047.019999999552965
FS( 25 ),9933450.219999998807907,9933450.219999998807907
FS( 26 ),9586690.839999997988343,9586690.839999997988343
FS( 27 ),10036193.739999998360872,10036193.739999998360872
FS( 28 ),9816696.219999998807907,9816696.219999998807907
FS( 29 ),10073555.019999999552965,10073555.019999999552965
FS( 30 ),10099240.899999998509884,10099240.899999998509884
FS( 31 ),10136602.179999997839332,10136602.179999997839332
FS( 32 ),10119089.079999998211861,10119089.079999998211861
FS( 33 ),10215994.899999998509884,10215994.899999998509884
FS( 34 ),9995329.839999997988343,9995329.839999997988343
FS( 35 ),10184471.319999998435378,10184471.319999998435378
FS( 36 ),10246350.939999999478459,10246350.939999999478459
FS( 37 ),10453005.519999999552965,10453005.519999999552965
FS( 38 ),10523057.919999998062849,10523057.919999998062849
FS( 39 ),10357267.239999998360872,10357267.239999998360872
FS( 40 ),10499707.119999999180436,10499707.119999999180436
FS( 41 ),10600115.559999998658895,10600115.559999998658895
FS( 42 ),10598948.019999999552965,10598948.019999999552965
FS( 43 ),10555749.039999997243285,10555749.039999997243285
FS( 44 ),10516052.679999997839332,10516052.679999997839332
FS( 45 ),10401633.759999999776483,10401633.759999999776483
FS( 46 ),10370110.179999997839332,10370110.179999997839332
FS( 47 ),10424984.559999998658895,10424984.559999998658895
FS( 48 ),10345591.839999997988343,10345591.839999997988343
FS( 49 ),9927612.519999999552965,9927612.519999999552965
FS( 50 ),10063047.159999998286366,10063047.159999998286366
FS( 51 ),10054874.379999998956919,10054874.379999998956919
FS( 52 ),10128429.399999998509884,10128429.399999998509884
FS( 53 ),10282544.679999997839332,10282544.679999997839332
FS( 54 ),10308230.559999998658895,10308230.559999998658895
FS( 55 ),10368942.639999998733401,10368942.639999998733401
FS( 56 ),10427319.639999998733401,10427319.639999998733401
FS( 57 ),10218329.979999998584390,10218329.979999998584390
FS( 58 ),10039696.359999997541308,10039696.359999997541308
FS( 59 ),10200816.879999998956919,10200816.879999998956919
FS( 60 ),10430822.259999999776483,10430822.259999999776483
FS( 61 ),10477523.859999997541308,10477523.859999997541308
FS( 62 ),10277874.519999999552965,10277874.519999999552965
FS( 63 ),10365440.019999999552965,10365440.019999999552965
FS( 64 ),10253356.179999997839332,10253356.179999997839332
FS( 65 ),10043198.979999998584390,10043198.979999998584390
FS( 66 ),10096905.819999998435378,10096905.819999998435378
FS( 67 ),10021015.719999998807907,10021015.719999998807907
FS( 68 ),10170460.839999997988343,10170460.839999997988343
FS( 69 ),10180968.699999999254942,10180968.699999999254942
FS( 70 ),10333916.439999999478459,10333916.439999999478459
FS( 71 ),10430822.259999999776483,10430822.259999999776483
FS( 72 ),10316403.339999997988343,10316403.339999997988343
FS( 73 ),10427319.639999998733401,10427319.639999998733401
FS( 74 ),10500874.659999998286366,10500874.659999998286366
FS( 75 ),10351429.539999997243285,10351429.539999997243285
FS( 76 ),10465848.459999999031425,10465848.459999999031425
