代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12367268.190000001341105
真實報酬,2367268.190000001341105

夏普值報酬,0.228026819000000
夏普值風險,0.064293834899899
夏普值,3.546635837713242

二次趨勢線,117.263012931214817 x^2 + 4370.026237979483994 x + 10000000.000000000000000
二次平均預期報酬,19379.691893174971483
風險,177743.742840855265968
二次平均趨勢值,0.109031640627298
一次趨勢線,15583.129403919636388 x + 10000000.000000000000000
一次預期報酬,15583.129403919636388
一次風險,277828.208321897720452
一次趨勢值,0.056089082883422
找到最佳解世代,2368
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
AAPL[0](9),BA[2](3),CVX[5](4),JPM[13](1),
Stock#,AAPL[0](9),BA[2](3),CVX[5](4),JPM[13](1),
張數,26071,19276,24003,40809,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.810000000055879,95.560000000055879,87.549999999813735,40.660000000149012,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2476536.100000000093132,2447569.280000000260770,2486078.259999999776483,2430216.609999999869615,9840400.250000000000000
FS( 3 ),2490614.439999999944121,2447376.520000000018626,2510321.289999999571592,2456334.370000000111759,9904646.620000001043081
FS( 4 ),2501303.549999999813735,2451424.479999999981374,2473596.699999999720603,2456334.370000000111759,9882659.099999997764826
FS( 5 ),2520596.090000000316650,2507710.399999999906868,2514881.859999999869615,2523261.129999999888241,10066449.480000000447035
FS( 6 ),2528417.390000000130385,2545298.600000000093132,2529763.719999999739230,2541217.090000000316650,10144696.800000000745058
FS( 7 ),2539888.629999999888241,2521589.120000000111759,2563127.889999999664724,2579169.460000000428408,10203775.099999999627471
FS( 8 ),2525549.580000000074506,2508095.920000000391155,2560007.500000000000000,2577537.100000000093132,10171190.099999999627471
FS( 9 ),2575605.900000000372529,2535853.360000000335276,2561207.649999999906868,2616713.740000000223517,10289380.650000000372529
FS( 10 ),2575345.189999999944121,2552045.199999999720603,2569128.639999999664724,2619162.280000000260770,10315681.309999998658895
FS( 11 ),2602719.740000000223517,2572092.240000000223517,2546565.819999999832362,2610184.300000000279397,10331562.100000001490116
FS( 12 ),2603762.580000000074506,2595801.720000000204891,2545365.669999999925494,2606103.399999999906868,10351033.370000001043081
FS( 13 ),2606108.969999999739230,2596958.280000000260770,2534564.319999999832362,2608960.030000000260770,10346591.600000001490116
FS( 14 ),2592291.340000000316650,2574019.839999999850988,2529763.719999999739230,2599165.870000000111759,10295240.769999999552965
FS( 15 ),2572216.669999999925494,2572863.280000000260770,2536244.529999999795109,2613449.020000000484288,10294773.500000000000000
FS( 16 ),2537802.950000000186265,2562647.000000000000000,2474076.759999999776483,2606511.490000000223517,10181038.199999999254942
FS( 17 ),2520335.379999999888241,2599464.160000000149012,2464715.589999999850988,2617121.830000000074506,10201636.960000000894070
FS( 18 ),2684061.260000000242144,2620860.520000000018626,2454634.330000000074506,2625283.629999999888241,10384839.740000000223517
FS( 19 ),2720299.950000000186265,2563996.319999999832362,2443352.919999999925494,2615897.560000000055879,10343546.750000000000000
FS( 20 ),2716910.719999999739230,2576525.720000000204891,2459914.989999999757856,2610592.390000000130385,10363943.820000000298023
FS( 21 ),2764881.359999999869615,2567851.520000000018626,2379024.879999999888241,2603654.859999999869615,10315412.619999999180436
FS( 22 ),2723949.890000000130385,2536817.160000000149012,2390546.319999999832362,2597533.510000000242144,10248846.880000000819564
FS( 23 ),2758102.900000000372529,2542021.680000000167638,2415029.379999999888241,2638750.600000000093132,10353904.560000000521541
FS( 24 ),2760188.580000000074506,2529299.520000000018626,2409748.719999999739230,2634669.700000000186265,10333906.519999999552965
FS( 25 ),2802162.890000000130385,2539323.040000000037253,2412629.080000000074506,2705677.359999999869615,10459792.369999999180436
FS( 26 ),2825366.080000000074506,2548190.000000000000000,2429191.149999999906868,2697515.560000000055879,10500262.790000000968575
FS( 27 ),2836837.320000000298023,2556478.680000000167638,2432071.509999999776483,2688129.490000000223517,10513517.000000000000000
FS( 28 ),2815719.810000000055879,2549924.839999999850988,2403747.969999999739230,2664052.180000000167638,10433444.800000000745058
FS( 29 ),2813894.840000000316650,2563803.560000000055879,2433991.750000000000000,2671397.799999999813735,10483087.949999999254942
FS( 30 ),2820412.590000000316650,2565731.160000000149012,2452234.029999999795109,2665684.540000000037253,10504062.320000000298023
FS( 31 ),2854304.890000000130385,2595801.720000000204891,2466875.859999999869615,2682008.140000000130385,10598990.610000001266599
FS( 32 ),2851697.790000000037253,2602355.560000000055879,2463275.410000000149012,2681600.049999999813735,10598928.809999998658895
FS( 33 ),2847526.430000000167638,2596958.280000000260770,2453674.209999999962747,2688945.670000000391155,10587104.590000001713634
FS( 34 ),2843876.490000000223517,2602355.560000000055879,2485598.199999999720603,2691394.210000000428408,10623224.460000000894070
FS( 35 ),2851176.370000000111759,2591561.000000000000000,2456074.509999999776483,2687721.399999999906868,10586533.279999999329448
FS( 36 ),2829016.020000000018626,2602162.800000000279397,2446953.369999999646097,2685272.859999999869615,10563405.049999998882413
FS( 37 ),2837880.159999999683350,2585778.199999999720603,2440712.589999999850988,2684048.589999999850988,10548419.539999999105930
FS( 38 ),2816501.939999999944121,2569393.600000000093132,2453194.149999999906868,2691394.210000000428408,10530483.900000000372529
FS( 39 ),2804509.279999999795109,2563418.040000000037253,2445753.219999999739230,2696291.290000000037253,10509971.830000000074506
FS( 40 ),2788084.549999999813735,2548961.040000000037253,2432071.509999999776483,2702412.640000000130385,10471529.740000000223517
FS( 41 ),2784956.029999999795109,2561875.959999999962747,2449593.699999999720603,2732203.210000000428408,10528628.900000000372529
FS( 42 ),2763577.810000000055879,2521589.120000000111759,2441192.649999999906868,2754648.160000000149012,10481007.740000000223517
FS( 43 ),2766184.909999999683350,2495373.759999999776483,2414309.289999999571592,2754648.160000000149012,10430516.119999999180436
FS( 44 ),2782609.640000000130385,2504047.959999999962747,2405428.179999999701977,2742813.549999999813735,10434899.329999998211861
FS( 45 ),2808680.640000000130385,2528335.720000000204891,2422710.339999999850988,2754240.069999999832362,10513966.769999999552965
