代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10648057.830000001937151
真實報酬,648057.830000001937151

夏普值報酬,0.056105783000000
夏普值風險,0.024355355570831
夏普值,2.303632268345722

二次趨勢線,2679.015597718276240 x^2 + -21894.606215597996197 x + 10000000.000000000000000
二次加權預期報酬,54903.840918992587831
風險,52344.556538778218965
二次加權趨勢值,1.048893037775922
一次趨勢線,21281.156789489588846 x + 10000000.000000000000000
一次預期報酬,21281.156789489588846
一次風險,149256.598643714882201
一次趨勢值,0.142581011378191
找到最佳解世代,1484
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),CSCO[4](10),HD[9](4),V[25](7),
Stock#,CAT[3](2),CSCO[4](10),HD[9](4),V[25](7),
張數,29673,118539,31340,48751,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.750000000000000,12.490000000223517,8.200000000186265,48.719999999739230,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488724.260000000242144,2520151.630000000353903,2466779.600000000093132,2459049.159999999683350,9934704.650000000372529
FS( 3 ),2491691.560000000055879,2518966.240000000223517,2457064.200000000186265,2471236.909999999683350,9938958.910000000149012
FS( 4 ),2504747.679999999701977,2478662.980000000447035,2461451.800000000279397,2458561.649999999906868,9903424.110000001266599
FS( 5 ),2537091.250000000000000,2522522.410000000149012,2502193.800000000279397,2460511.689999999478459,10022319.150000000372529
FS( 6 ),2554598.320000000298023,2515410.070000000298023,2494672.200000000186265,2457099.119999999646097,10021779.710000000894070
FS( 7 ),2564390.410000000149012,2514224.680000000167638,2463645.600000000093132,2430773.579999999608845,9973034.269999999552965
FS( 8 ),2530563.189999999944121,2475106.810000000055879,2475868.200000000186265,2506825.139999999664724,9988363.339999999850988
FS( 9 ),2539168.359999999869615,2431247.380000000353903,2461138.400000000372529,2479524.579999999608845,9911078.720000000670552
FS( 10 ),2553411.399999999906868,2399241.850000000093132,2476181.600000000558794,2527300.560000000055879,9956135.410000000149012
FS( 11 ),2592876.489999999757856,2451399.010000000242144,2479002.200000000186265,2532175.659999999683350,10055453.359999999403954
FS( 12 ),2579226.910000000149012,2479848.370000000577420,2463959.000000000465661,2598964.529999999795109,10121998.810000000521541
FS( 13 ),2616318.160000000149012,2489331.490000000223517,2508775.200000000186265,2624802.560000000055879,10239227.410000000149012
FS( 14 ),2597624.170000000391155,2497629.220000000204891,2505641.200000000186265,2633577.739999999757856,10234472.330000000074506
FS( 15 ),2638869.640000000130385,2504741.560000000055879,2508461.800000000279397,2632115.209999999962747,10284188.210000000894070
FS( 16 ),2669432.829999999608845,2556898.720000000204891,2524758.600000000093132,2657465.729999999515712,10408555.879999998956919
FS( 17 ),2697622.179999999701977,2571123.400000000372529,2527265.800000000279397,2665753.399999999906868,10461764.780000001192093
FS( 18 ),2704743.700000000186265,2584162.690000000409782,2555785.200000000186265,2683791.269999999552965,10528482.859999999403954
FS( 19 ),2696435.260000000242144,2610241.270000000018626,2558605.800000000279397,2677453.639999999664724,10542735.969999998807907
FS( 20 ),2696435.260000000242144,2637505.240000000223517,2568007.800000000279397,2692566.449999999720603,10594514.750000000000000
FS( 21 ),2694654.879999999888241,2658842.260000000242144,2580543.800000000279397,2714016.889999999664724,10648057.830000001937151
