代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10502174.470000000670552
真實報酬,502174.470000000670552

夏普值報酬,0.041517447000000
夏普值風險,0.014968066556527
夏普值,2.773734793549250

二次趨勢線,-78.024372659659434 x^2 + 25485.773022285218758 x + 10000000.000000000000000
二次加權預期報酬,23145.041842495433229
風險,17435.168746717172326
二次加權趨勢值,1.327491702473677
一次趨勢線,24169.761936758903175 x + 10000000.000000000000000
一次預期報酬,24169.761936758903175
一次風險,17995.810725763589289
一次趨勢值,1.343077136400219
找到最佳解世代,2612
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,6
IBM[10](1),JNJ[12](11),KO[14](7),PG[21](30),UNH[23](2),WMT[28](20),
Stock#,IBM[10](1),JNJ[12](11),KO[14](7),PG[21](30),UNH[23](2),WMT[28](20),
張數,12403,15544,38147,20517,13698,25077,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,74.889999999897555,38.320000000065193,23.570000000065193,70.089999999850988,30.340000000083819,48.580000000074506,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1690603.790000000037253,1663868.080000000074506,1669717.760000000242144,1693748.439999999711290,1661186.800000000046566,1660396.750000000000000,10039525.620000001043081
FS( 3 ),1709208.290000000037253,1657805.920000000158325,1676965.690000000176951,1699698.369999999878928,1668720.699999999953434,1658641.360000000102445,10071044.330000000074506
FS( 4 ),1709208.290000000037253,1655474.320000000065193,1682687.739999999990687,1713034.419999999692664,1668446.739999999990687,1674690.640000000130385,10103546.150000000372529
FS( 5 ),1738355.340000000083819,1659204.879999999888241,1678873.040000000037253,1705032.789999999804422,1667898.820000000065193,1702526.110000000102445,10151894.979999998584390
FS( 6 ),1724960.099999999860302,1651122.000000000000000,1690698.610000000102445,1704212.109999999869615,1666529.020000000018626,1706287.660000000149012,10143813.500000000000000
FS( 7 ),1741580.119999999878928,1660759.280000000027940,1709390.640000000130385,1702160.409999999683350,1658858.139999999897555,1693498.390000000130385,10166250.980000000447035
FS( 8 ),1738851.459999999962747,1665422.479999999981374,1725412.379999999888241,1688208.849999999860302,1672419.160000000149012,1690489.149999999906868,10180807.480000000447035
FS( 9 ),1765765.969999999972060,1674282.560000000055879,1724267.970000000204891,1677334.839999999850988,1713650.139999999897555,1684470.670000000158325,10239776.150000000372529
FS( 10 ),1770975.229999999981374,1673505.360000000102445,1727701.199999999953434,1665434.979999999981374,1715293.900000000139698,1689235.300000000046566,10242149.970000000670552
FS( 11 ),1773207.770000000018626,1675059.760000000242144,1725793.850000000093132,1668307.359999999869615,1710225.639999999897555,1707541.510000000242144,10260139.890000000596046
FS( 12 ),1795905.259999999776483,1669619.360000000102445,1718545.919999999925494,1668922.869999999878928,1710910.540000000270084,1705033.810000000055879,10268941.760000001639128
FS( 13 ),1823812.009999999776483,1659204.879999999888241,1746011.760000000242144,1697851.839999999850988,1705842.280000000027940,1691492.230000000214204,10324219.000000000000000
FS( 14 ),1824432.159999999916181,1671018.320000000065193,1739526.770000000018626,1706058.639999999897555,1735840.900000000139698,1678953.730000000214204,10355834.519999999552965
FS( 15 ),1843532.779999999795109,1667598.640000000130385,1742197.060000000055879,1709546.529999999795109,1736114.860000000102445,1704532.270000000018626,10403526.139999998733401
FS( 16 ),1836959.189999999711290,1669153.040000000037253,1735712.070000000065193,1697646.669999999692664,1753648.300000000279397,1702024.570000000298023,10395147.839999999850988
FS( 17 ),1803471.090000000083819,1686562.320000000065193,1734186.190000000176951,1699288.029999999795109,1777893.760000000009313,1691743.000000000000000,10393148.390000000596046
FS( 18 ),1835098.739999999757856,1683608.960000000195578,1738763.830000000074506,1700724.219999999972060,1761456.160000000149012,1705284.580000000074506,10424940.490000000223517
FS( 19 ),1840680.090000000083819,1682365.440000000176951,1747156.169999999925494,1695184.629999999888241,1765976.500000000000000,1708293.820000000298023,10439660.650000000372529
FS( 20 ),1852214.880000000121072,1696510.479999999981374,1773096.129999999888241,1698877.689999999711290,1778441.680000000167638,1706036.890000000130385,10505181.750000000000000
FS( 21 ),1840804.119999999878928,1694023.440000000176951,1776910.830000000074506,1696415.649999999906868,1776386.980000000214204,1725346.179999999934807,10509891.200000001117587
FS( 22 ),1878509.239999999757856,1681899.120000000111759,1769662.900000000139698,1688824.359999999869615,1765702.540000000270084,1717572.310000000055879,10502174.470000000670552
