代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10450879.080000000074506
真實報酬,450879.080000000074506

夏普值報酬,0.036387908000000
夏普值風險,0.019174355622209
夏普值,1.897738245652102

二次趨勢線,1363.568940551728701 x^2 + -4960.093814433573243 x + 10000000.000000000000000
二次加權預期報酬,35946.974402118292346
風險,77501.125835631566588
二次加權趨勢值,0.463825189821842
一次趨勢線,18038.768982872214110 x + 10000000.000000000000000
一次預期報酬,18038.768982872214110
一次風險,109878.398901928594569
一次趨勢值,0.164170293371062
找到最佳解世代,1897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
DIS[6](2),NKE[19](1),
Stock#,DIS[6](2),NKE[19](1),
張數,45061,98270,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,31.440000000409782,22.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4990537.190000000409782,5017688.599999999627471,10008225.789999999105930
FS( 3 ),5009462.810000000521541,5037342.599999999627471,10046805.410000000149012
FS( 4 ),4970259.740000000223517,5009826.999999999068677,9980086.739999998360872
FS( 5 ),4970259.740000000223517,5013757.799999999813735,9984017.539999999105930
FS( 6 ),4924748.130000000819564,4984276.799999998882413,9909024.929999999701977
FS( 7 ),4890051.160000000149012,4980345.999999999068677,9870397.160000000149012
FS( 8 ),4956741.440000000409782,5077633.299999999813735,10034374.740000000223517
FS( 9 ),4984679.260000000707805,5104166.199999999254942,10088845.460000000894070
FS( 10 ),4954488.390000000596046,5099252.699999999254942,10053741.089999999850988
FS( 11 ),4964852.420000000856817,5078615.999999999068677,10043468.419999999925494
FS( 12 ),5004506.100000000558794,5137578.000000000000000,10142084.100000001490116
FS( 13 ),5023882.330000000074506,5147405.000000000000000,10171287.330000000074506
FS( 14 ),5101837.860000000335276,5208332.399999999441206,10310170.259999999776483
FS( 15 ),5074801.260000000707805,5234865.299999999813735,10309666.560000000521541
FS( 16 ),5115806.770000000484288,5247640.399999999441206,10363447.169999999925494
FS( 17 ),5155460.450000000186265,5267294.399999999441206,10422754.849999999627471
FS( 18 ),5126621.410000000149012,5219142.099999999627471,10345763.509999999776483
FS( 19 ),5157262.890000000596046,5170007.099999999627471,10327269.990000000223517
FS( 20 ),5181595.830000000074506,5391114.599999999627471,10572710.429999999701977
FS( 21 ),5094177.490000000223517,5290879.200000000186265,10385056.690000001341105
FS( 22 ),5143293.980000000447035,5307585.099999999627471,10450879.080000000074506
