代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10577224.199999999254942
真實報酬,577224.199999999254942

夏普值報酬,0.049022420000000
夏普值風險,0.019801964030377
夏普值,2.475634231271083

二次趨勢線,1271.079112592074125 x^2 + 4045.865521888903459 x + 10000000.000000000000000
二次加權預期報酬,40483.466749528364744
風險,47020.702382052069879
二次加權趨勢值,0.860971119074159
一次趨勢線,24530.931220175141789 x + 10000000.000000000000000
一次預期報酬,24530.931220175141789
一次風險,81296.063314828628791
一次趨勢值,0.301748082501562
找到最佳解世代,1732
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](2),NKE[19](5),UNH[23](4),
Stock#,INTC[11](2),NKE[19](5),UNH[23](4),
張數,122279,86896,41944,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.459999999962747,2.439999999944121,43.319999999832362,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3382244.600000000093132,3282933.319999999832362,3350530.039999999571592,10015708.959999999031425
FS( 3 ),3374907.860000000335276,3308133.160000000149012,3376954.760000000242144,10059996.780000001192093
FS( 4 ),3382244.600000000093132,3296836.679999999701977,3347174.519999999552965,10026256.799999998882413
FS( 5 ),3444606.890000000130385,3312477.959999999497086,3352627.240000000223517,10109713.089999999850988
FS( 6 ),3412814.350000000093132,3331595.080000000074506,3345496.760000000242144,10089907.189999999478459
FS( 7 ),3453166.419999999925494,3315953.799999999813735,3347593.959999999962747,10116715.179999999701977
FS( 8 ),3415259.929999999701977,3264685.160000000149012,3362693.799999999813735,10042639.890000000596046
FS( 9 ),3418928.300000000279397,3249043.879999999888241,3332074.679999999701977,10000047.859999999403954
FS( 10 ),3652481.189999999944121,3242092.200000000186265,3321169.240000000223517,10215743.630000000819564
FS( 11 ),3669600.250000000000000,3239485.319999999832362,3271675.319999999832362,10180761.890000000596046
FS( 12 ),3662263.509999999776483,3262947.239999999757856,3278805.799999999813735,10204017.550000000745058
FS( 13 ),3659817.929999999701977,3310740.040000000037253,3322427.559999999590218,10292986.529999999329448
FS( 14 ),3679382.569999999832362,3286409.160000000149012,3376954.760000000242144,10342747.490000000223517
FS( 15 ),3692833.259999999776483,3262947.239999999757856,3414704.359999999869615,10370485.859999999403954
FS( 16 ),3696501.629999999888241,3278588.519999999552965,3418059.879999999422580,10393151.029999999329448
FS( 17 ),3729516.959999999962747,3257733.479999999981374,3428545.879999999422580,10415797.319999998435378
FS( 18 ),3775982.979999999981374,3322905.479999999981374,3453712.279999999795109,10552601.740000000223517
FS( 19 ),3763755.080000000074506,3339415.719999999739230,3451615.080000000074506,10554786.879999998956919
FS( 20 ),3782096.929999999701977,3375043.080000000074506,3439451.319999999832362,10596592.330000000074506
FS( 21 ),3778428.559999999590218,3369829.319999999832362,3428965.319999999832362,10577224.199999999254942
