代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10550445.620000001043081
真實報酬,550445.620000001043081

夏普值報酬,0.046344562000000
夏普值風險,0.019284180868310
夏普值,2.403242446048507

二次趨勢線,2130.925656421015447 x^2 + -16931.389644301343651 x + 10000000.000000000000000
二次加權預期報酬,44155.145839767763391
風險,35426.053422388431500
二次加權趨勢值,1.246403185624475
一次趨勢線,17411.202911507120007 x + 10000000.000000000000000
一次預期報酬,17411.202911507120007
一次風險,116688.038182914402569
一次趨勢值,0.149211548866853
找到最佳解世代,1738
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](2),KO[14](8),MCD[15](12),MRK[17](6),TRV[22](1),WMT[28](7),XOM[29](3),
Stock#,AAPL[0](2),KO[14](8),MCD[15](12),MRK[17](6),TRV[22](1),WMT[28](7),XOM[29](3),
張數,18461,37192,14592,25342,16928,18608,14617,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,58.820000000065193,26.280000000027940,14.199999999953434,42.459999999962747,17.080000000074506,34.840000000083819,51.589999999850988,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1430970.930000000167638,1425595.639999999897555,1424047.479999999981374,1430851.780000000027940,1432972.280000000260770,1436200.280000000260770,1431786.739999999990687,10012428.130000000819564
FS( 3 ),1421001.989999999990687,1415925.719999999972060,1425068.919999999925494,1424516.280000000027940,1438558.520000000251457,1441410.520000000018626,1431494.399999999906868,9997979.350000001490116
FS( 4 ),1402540.989999999990687,1421504.520000000018626,1428133.239999999990687,1422235.500000000000000,1442282.680000000167638,1438619.320000000065193,1423162.709999999729916,9978481.959999999031425
FS( 5 ),1380572.400000000139698,1436381.319999999832362,1415584.120000000111759,1398667.439999999944121,1438897.080000000074506,1438619.320000000065193,1414684.849999999860302,9923409.529999999329448
FS( 6 ),1380572.400000000139698,1446795.080000000074506,1431197.559999999823049,1394866.139999999897555,1434326.520000000251457,1454808.280000000260770,1424478.239999999990687,9967047.220000000670552
FS( 7 ),1398664.180000000167638,1450142.360000000102445,1435137.399999999906868,1447070.659999999916181,1452778.040000000037253,1450900.600000000093132,1422724.199999999720603,10057420.439999999478459
FS( 8 ),1380572.400000000139698,1446423.160000000149012,1450896.760000000009313,1415393.159999999916181,1438727.800000000046566,1430803.960000000195578,1414684.849999999860302,9977505.089999999850988
FS( 9 ),1370418.850000000093132,1436753.240000000223517,1448853.880000000121072,1417167.100000000093132,1443975.479999999981374,1423546.840000000083819,1413807.829999999841675,9954526.220000000670552
FS( 10 ),1375957.150000000139698,1440472.439999999944121,1460819.319999999832362,1408297.399999999906868,1447361.080000000074506,1439921.879999999888241,1430471.209999999729916,10003303.479999998584390
FS( 11 ),1365988.209999999962747,1494400.840000000083819,1471325.559999999823049,1420461.559999999823049,1453963.000000000000000,1430617.879999999888241,1442457.149999999906868,10079217.199999999254942
FS( 12 ),1368757.360000000102445,1509649.560000000055879,1471325.559999999823049,1425783.379999999888241,1469028.920000000158325,1436944.600000000093132,1460874.569999999832362,10142366.949999999254942
FS( 13 ),1384449.209999999962747,1514484.520000000018626,1462862.199999999953434,1431105.199999999953434,1467336.120000000111759,1445132.120000000111759,1467890.729999999981374,10173263.100000001490116
FS( 14 ),1400879.500000000000000,1515600.280000000027940,1454398.840000000083819,1450871.959999999962747,1462596.280000000260770,1444015.639999999897555,1475345.399999999906868,10203710.900000000372529
FS( 15 ),1402356.379999999888241,1514112.600000000093132,1449291.639999999897555,1464049.800000000046566,1470891.000000000000000,1443271.320000000065193,1467159.879999999888241,10211135.620000001043081
FS( 16 ),1383895.379999999888241,1514856.439999999944121,1446519.159999999916181,1457207.459999999962747,1491881.719999999972060,1452203.160000000149012,1469060.089999999850988,10215626.410000000149012
FS( 17 ),1497430.530000000027940,1513740.680000000167638,1456879.479999999981374,1457967.719999999972060,1499668.600000000093132,1457227.320000000065193,1461897.760000000009313,10344815.089999999850988
FS( 18 ),1508507.129999999888241,1525270.199999999953434,1469866.360000000102445,1450618.540000000037253,1494928.760000000009313,1462995.800000000279397,1467744.559999999823049,10379934.350000001490116
FS( 19 ),1566843.890000000130385,1526014.040000000037253,1463737.719999999972060,1436427.020000000018626,1517443.000000000000000,1484208.920000000158325,1478853.479999999981374,10473531.070000000298023
FS( 20 ),1562228.640000000130385,1508905.719999999972060,1481102.199999999953434,1488124.699999999953434,1538772.280000000260770,1482534.200000000186265,1482946.239999999990687,10544616.980000002309680
FS( 21 ),1556321.120000000111759,1517087.959999999962747,1479351.159999999916181,1484069.979999999981374,1533355.320000000065193,1483278.520000000018626,1496978.559999999823049,10550445.620000001043081
