代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10379038.060000000521541
真實報酬,379038.060000000521541

夏普值報酬,0.029203806000000
夏普值風險,0.047500570420958
夏普值,0.614809585257424

二次趨勢線,8508.680143670650068 x^2 + -129081.625169294682564 x + 10000000.000000000000000
二次加權預期報酬,103488.965424369729590
風險,264537.375466376950499
二次加權趨勢值,0.391207349214528
一次趨勢線,1661.508745644560804 x + 10000000.000000000000000
一次預期報酬,1661.508745644560804
一次風險,482690.391992320539430
一次趨勢值,0.003442183174160
找到最佳解世代,2137
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
IBM[10](2),UNH[23](1),
Stock#,IBM[10](2),UNH[23](1),
張數,57227,181225,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,77.009999999776483,2.250000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4968525.149999999441206,4918448.750000000000000,9886973.899999998509884
FS( 3 ),5106442.219999999739230,4802464.750000000000000,9908906.969999998807907
FS( 4 ),5024035.339999999850988,4766219.750000000000000,9790255.089999999850988
FS( 5 ),4989126.870000000111759,4840522.000000000000000,9829648.870000001043081
FS( 6 ),4847203.910000000149012,4793403.500000000000000,9640607.410000000149012
FS( 7 ),4905003.179999999701977,4642986.750000000000000,9547989.929999999701977
FS( 8 ),4883829.190000000409782,4595868.250000000000000,9479697.440000001341105
FS( 9 ),4760791.139999999664724,4363900.250000000000000,9124691.390000000596046
FS( 10 ),4814012.250000000000000,4510692.500000000000000,9324704.750000000000000
FS( 11 ),4859793.849999999627471,4621239.750000000000000,9481033.599999999627471
FS( 12 ),4691546.469999999739230,4378398.250000000000000,9069944.719999998807907
FS( 13 ),5231769.349999999627471,4539688.500000000000000,9771457.849999999627471
FS( 14 ),5154512.899999999441206,4927510.000000000000000,10082022.899999998509884
FS( 15 ),5121321.239999999292195,5081551.250000000000000,10202872.489999998360872
FS( 16 ),5242070.209999999031425,5101486.000000000000000,10343556.209999999031425
FS( 17 ),5245503.829999999143183,5270025.250000000000000,10515529.079999998211861
FS( 18 ),5426341.149999999441206,5434940.000000000000000,10861281.149999998509884
FS( 19 ),5294146.780000000260770,5199347.500000000000000,10493494.280000001192093
FS( 20 ),5244931.560000000521541,5134106.500000000000000,10379038.060000000521541
