代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10223035.009999999776483
真實報酬,223035.009999999776483

夏普值報酬,0.013603501000000
夏普值風險,0.006824126800650
夏普值,1.993442003261873

二次趨勢線,526.715656815430521 x^2 + -3269.681443934336585 x + 10000000.000000000000000
二次加權預期報酬,13234.075802949151694
風險,23446.897964479867369
二次加權趨勢值,0.564427576858896
一次趨勢線,6009.479488899202806 x + 10000000.000000000000000
一次預期報酬,6009.479488899202806
一次風險,40327.423495374539925
一次趨勢值,0.149017193959552
找到最佳解世代,2215
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](3),MCD[15](2),MRK[17](4),PG[21](9),
Stock#,CAT[3](3),MCD[15](2),MRK[17](4),PG[21](9),
張數,22104,16229,39111,27442,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.600000000093132,84.840000000316650,24.879999999888241,33.800000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2499778.959999999962747,2541383.950000000186265,2481226.719999999739230,2498353.480000000447035,10020743.109999999403954
FS( 3 ),2510167.840000000316650,2511035.720000000204891,2484355.600000000093132,2493413.920000000391155,9998973.080000000074506
FS( 4 ),2527630.000000000000000,2496429.620000000111759,2467928.979999999981374,2488199.940000000409782,9980188.539999999105930
FS( 5 ),2535587.439999999944121,2515092.970000000204891,2457760.120000000111759,2509330.280000000260770,10017770.810000000521541
FS( 6 ),2528956.240000000223517,2514281.520000000018626,2437422.399999999906868,2513172.160000000149012,9993832.320000000298023
FS( 7 ),2527408.959999999962747,2514281.520000000018626,2444071.270000000018626,2522502.440000000409782,10008264.190000001341105
FS( 8 ),2501105.200000000186265,2541870.820000000298023,2431946.859999999869615,2517562.880000000353903,9992485.760000001639128
FS( 9 ),2494474.000000000000000,2552906.540000000502914,2439769.060000000055879,2506586.080000000540167,9993735.680000001564622
FS( 10 ),2513483.439999999944121,2552257.380000000353903,2451111.250000000000000,2515093.100000000558794,10031945.170000001788139
FS( 11 ),2512157.200000000186265,2558099.820000000298023,2444462.379999999888241,2530186.200000000186265,10044905.600000001490116
FS( 12 ),2522546.080000000074506,2578872.940000000409782,2452284.580000000074506,2536772.280000000260770,10090475.880000000819564
FS( 13 ),2500884.160000000149012,2562481.649999999906868,2418649.120000000111759,2526618.740000000223517,10008633.670000001788139
FS( 14 ),2518125.280000000260770,2560371.880000000353903,2404960.270000000018626,2537595.540000000037253,10021052.969999998807907
FS( 15 ),2511052.000000000000000,2570109.280000000726432,2423733.549999999813735,2548297.920000000391155,10053192.750000001862645
FS( 16 ),2560122.879999999888241,2590882.399999999906868,2441333.500000000000000,2546376.980000000447035,10138715.759999999776483
FS( 17 ),2536471.600000000093132,2577412.330000000540167,2430773.529999999795109,2536772.280000000260770,10081429.740000002086163
FS( 18 ),2537134.720000000204891,2570920.730000000447035,2452675.689999999944121,2532107.140000000130385,10092838.280000001192093
FS( 19 ),2549734.000000000000000,2577574.620000000111759,2461671.219999999739230,2538693.220000000204891,10127673.060000000521541
FS( 20 ),2543544.879999999888241,2591369.270000000018626,2476533.399999999906868,2537595.540000000037253,10149043.089999999850988
FS( 21 ),2564322.640000000130385,2586662.860000000335276,2468711.199999999720603,2533479.240000000223517,10153175.939999999478459
FS( 22 ),2598362.799999999813735,2589097.210000000428408,2468711.199999999720603,2521130.340000000316650,10177301.549999998882413
FS( 23 ),2597036.560000000055879,2596237.970000000204891,2497653.339999999850988,2532107.140000000130385,10223035.009999999776483
