代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,8565046.539999999105930
真實報酬,-1434953.460000000894070

夏普值報酬,-0.152195346000000
夏普值風險,0.051147618882942
夏普值,-2.975609604590172

二次趨勢線,8855.927208225486538 x^2 + -238769.476150781847537 x + 10000000.000000000000000
二次加權預期報酬,3292.534207381457691
風險,359350.707784940663259
二次加權趨勢值,0.009162453658925
一次趨勢線,-102690.594658536676434 x + 10000000.000000000000000
一次預期報酬,-102690.594658536676434
一次風險,552919.158969052368775
一次趨勢值,-56779597232.629959106445313
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
DD[7](1),
Stock#,DD[7](1),
張數,223513,
分配資金,10000000.000000000000000,
剩餘資金,28.379999998956919,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9329461.000000000000000,9329461.000000000000000
FS( 3 ),9043364.359999999403954,9043364.359999999403954
FS( 4 ),8491287.250000000000000,8491287.250000000000000
FS( 5 ),8115785.409999999217689,8115785.409999999217689
FS( 6 ),8734916.419999998062849,8734916.419999998062849
FS( 7 ),8877964.739999998360872,8877964.739999998360872
FS( 8 ),9177472.160000000149012,9177472.160000000149012
FS( 9 ),9246761.189999997615814,9246761.189999997615814
FS( 10 ),8701389.469999998807907,8701389.469999998807907
FS( 11 ),8562811.410000000149012,8562811.410000000149012
FS( 12 ),8509168.289999999105930,8509168.289999999105930
FS( 13 ),8448819.779999997466803,8448819.779999997466803
FS( 14 ),8180604.179999999701977,8180604.179999999701977
FS( 15 ),8426468.480000000447035,8426468.480000000447035
FS( 16 ),8232012.169999998994172,8232012.169999998994172
FS( 17 ),8527049.329999998211861,8527049.329999998211861
FS( 18 ),8442114.389999998733401,8442114.389999998733401
FS( 19 ),8933842.989999998360872,8933842.989999998360872
FS( 20 ),8565046.539999999105930,8565046.539999999105930
