代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10998327.320000000298023
真實報酬,998327.320000000298023

夏普值報酬,0.091132732000000
夏普值風險,0.028429917173123
夏普值,3.205522247745178

二次趨勢線,71.035296721301393 x^2 + 44295.581576328484516 x + 10000000.000000000000000
二次加權預期報酬,46426.640477967528568
風險,38417.841848649986787
二次加權趨勢值,1.208465604623727
一次趨勢線,45493.710247694354621 x + 10000000.000000000000000
一次預期報酬,45493.710247694354621
一次風險,38631.533461239203461
一次趨勢值,1.177631488362746
找到最佳解世代,2126
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](6),JNJ[12](1),UTX[24](2),
Stock#,AAPL[0](6),JNJ[12](1),UTX[24](2),
張數,57019,38477,35184,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,2.259999999776483,70.490000000223517,0.840000000316650,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3408598.079999999608845,3331024.379999999888241,3300260.040000000037253,10039883.500000000000000
FS( 3 ),3427414.349999999627471,3339104.550000000279397,3332981.160000000614673,10099501.060000000521541
FS( 4 ),3400045.229999999981374,3381044.480000000447035,3396312.360000000335276,10177403.070000000298023
FS( 5 ),3380658.769999999552965,3408747.920000000391155,3412145.160000000614673,10201552.849999999627471
FS( 6 ),3440528.719999999739230,3419906.250000000000000,3448736.520000000018626,10309172.490000000223517
FS( 7 ),3426844.159999999683350,3433757.970000000204891,3440644.200000000651926,10301247.330000000074506
FS( 8 ),3480442.019999999552965,3450303.080000000074506,3507493.800000000279397,10438239.900000000372529
FS( 9 ),3474169.929999999701977,3462615.720000000204891,3512419.560000000055879,10449206.210000000894070
FS( 10 ),3481582.399999999906868,3478391.290000000502914,3526845.000000000000000,10486819.690000001341105
FS( 11 ),3504390.000000000000000,3478391.290000000502914,3518049.000000000000000,10500831.290000000968575
FS( 12 ),3504960.189999999944121,3468002.500000000000000,3548659.080000000074506,10521622.769999999552965
FS( 13 ),3516934.179999999701977,3469541.580000000074506,3565547.400000000372529,10552024.160000000149012
FS( 14 ),3461625.750000000000000,3548804.200000000186265,3605657.160000000614673,10616088.110000001266599
FS( 15 ),3472459.359999999869615,3550728.050000000279397,3592639.080000000074506,10615827.490000000223517
FS( 16 ),3413159.599999999627471,3556114.830000000074506,3698542.920000000391155,10667818.349999999627471
FS( 17 ),3588207.929999999701977,3553806.210000000428408,3693969.000000000000000,10835984.140000000596046
FS( 18 ),3571672.419999999925494,3561886.379999999888241,3686932.200000000651926,10820492.000000000000000
FS( 19 ),3592199.259999999776483,3571890.400000000372529,3693265.320000000298023,10857355.980000000447035
FS( 20 ),3647507.689999999944121,3586511.660000000149012,3696783.720000000204891,10930804.070000000298023
FS( 21 ),3692552.700000000186265,3584972.580000000074506,3714375.720000000204891,10991902.000000000000000
FS( 22 ),3686280.609999999869615,3597669.990000000223517,3714375.720000000204891,10998327.320000000298023
