代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10710874.050000000745058
真實報酬,710874.050000000745058

夏普值報酬,0.062387405000000
夏普值風險,0.022539106534138
夏普值,2.767962647743261

二次趨勢線,1310.124770944164084 x^2 + 4616.382810707578756 x + 10000000.000000000000000
二次加權預期報酬,43920.125939032499446
風險,43811.359689162112772
二次加權趨勢值,1.002482603841608
一次趨勢線,26713.820613965748635 x + 10000000.000000000000000
一次預期報酬,26713.820613965748635
一次風險,86718.059448062529555
一次趨勢值,0.308053717806788
找到最佳解世代,1864
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,4
INTC[11](2),JNJ[12](4),MCD[15](23),VZ[26](1),
Stock#,INTC[11](2),JNJ[12](4),MCD[15](23),VZ[26](1),
張數,116658,30513,25239,50792,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,19.060000000055879,69.909999999683350,77.050000000279397,17.760000000242144,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2503499.740000000223517,2523189.879999999422580,2530539.190000000409782,2514221.760000000242144,10071450.570000000298023
FS( 3 ),2455669.959999999962747,2504271.819999999366701,2505047.800000000279397,2488317.840000000316650,9953307.419999999925494
FS( 4 ),2466169.180000000167638,2514646.239999999757856,2539877.620000000111759,2504063.359999999869615,10024756.400000000372529
FS( 5 ),2442837.580000000074506,2503356.429999999701977,2559816.430000000167638,2517269.280000000260770,10023279.719999998807907
FS( 6 ),2460336.280000000260770,2474979.339999999850988,2561835.550000000279397,2510666.320000000298023,10007817.490000000223517
FS( 7 ),2537330.560000000055879,2487489.669999999459833,2550730.390000000130385,2507110.880000000353903,10082661.500000000000000
FS( 8 ),2596826.140000000130385,2502746.169999999459833,2561583.160000000149012,2532506.880000000353903,10193662.349999999627471
FS( 9 ),2546663.199999999720603,2511900.069999999366701,2574202.660000000149012,2565521.680000000167638,10198287.609999999403954
FS( 10 ),2529164.500000000000000,2524715.529999999329448,2614585.060000000521541,2583298.880000000353903,10251763.970000000670552
FS( 11 ),2494167.100000000093132,2493287.139999999664724,2578240.900000000372529,2572124.640000000130385,10137819.780000001192093
FS( 12 ),2557162.420000000391155,2546074.629999999422580,2600703.610000000335276,2562982.080000000074506,10266922.740000000223517
FS( 13 ),2558329.000000000000000,2560110.609999999869615,2588084.110000000335276,2516253.440000000409782,10222777.160000000149012
FS( 14 ),2594492.979999999981374,2538141.250000000000000,2572183.540000000037253,2585838.479999999981374,10290656.250000000000000
FS( 15 ),2617824.580000000074506,2578113.279999999329448,2521957.930000000167638,2653899.760000000242144,10371795.549999998882413
FS( 16 ),2669154.100000000093132,2588487.699999999720603,2506814.530000000260770,2650852.240000000223517,10415308.570000000298023
FS( 17 ),2727483.100000000093132,2607405.759999999776483,2517919.690000000409782,2657455.200000000186265,10510263.750000000000000
FS( 18 ),2760147.339999999850988,2575061.979999999515712,2549720.830000000074506,2631043.359999999869615,10515973.509999999776483
FS( 19 ),2727483.100000000093132,2600387.769999999552965,2547701.710000000428408,2703168.000000000000000,10578740.580000000074506
FS( 20 ),2729816.259999999776483,2597336.469999999739230,2546439.760000000242144,2723992.720000000204891,10597585.210000000894070
FS( 21 ),2771813.140000000130385,2611372.449999999720603,2578998.070000000298023,2715358.080000000074506,10677541.740000000223517
FS( 22 ),2793978.160000000149012,2600692.899999999906868,2577988.510000000242144,2738214.479999999981374,10710874.050000000745058
