代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10459477.890000000596046
真實報酬,459477.890000000596046

夏普值報酬,0.037247789000000
夏普值風險,0.015424196712325
夏普值,2.414893280648795

二次趨勢線,1873.039683380957968 x^2 + -10780.146170061794692 x + 10000000.000000000000000
二次加權預期報酬,37918.885597843116557
風險,41620.465196724115231
二次加權趨勢值,0.911063473668902
一次趨勢線,16595.049202429123397 x + 10000000.000000000000000
一次預期報酬,16595.049202429123397
一次風險,90577.181426063063554
一次趨勢值,0.183214458003150
找到最佳解世代,3193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CVX[5](1),KO[14](4),
Stock#,CVX[5](1),KO[14](4),
張數,51964,158579,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.919999999925494,4.129999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5013510.640000000596046,4984142.099999999627471,9997652.740000000223517
FS( 3 ),5056640.759999999776483,4961941.040000000037253,10018581.800000000745058
FS( 4 ),5046247.959999999962747,4960355.250000000000000,10006603.210000000894070
FS( 5 ),5074828.160000000149012,4957183.669999999925494,10032011.830000000074506
FS( 6 ),5078985.279999999329448,4985727.889999999664724,10064713.169999998062849
FS( 7 ),5001039.279999999329448,5007928.949999999254942,10008968.229999998584390
FS( 8 ),5024942.719999999739230,5038058.959999999962747,10063001.679999999701977
FS( 9 ),5011951.719999999739230,5041230.540000000037253,10053182.259999999776483
FS( 10 ),5037933.719999999739230,5006343.160000000149012,10044276.879999998956919
FS( 11 ),5006235.679999999701977,5011100.530000000260770,10017336.210000000894070
FS( 12 ),5022864.160000000149012,5026958.429999999701977,10049822.589999999850988
FS( 13 ),5049365.799999999813735,5118934.250000000000000,10168300.050000000745058
FS( 14 ),5129910.000000000000000,5118934.250000000000000,10248844.250000000000000
FS( 15 ),5213052.399999999441206,5055502.649999999441206,10268555.049999998882413
FS( 16 ),5314382.199999999254942,5068188.969999999739230,10382571.169999998062849
FS( 17 ),5301910.839999999850988,5065017.389999999664724,10366928.230000000447035
FS( 18 ),5305548.319999999366701,5099904.769999999552965,10405453.089999999850988
FS( 19 ),5391288.919999999925494,5068188.969999999739230,10459477.890000000596046
