代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10281873.429999999701977
真實報酬,281873.429999999701977

夏普值報酬,0.019487343000000
夏普值風險,0.008625277152635
夏普值,2.259329486478733

二次趨勢線,311.111832669623197 x^2 + 6408.565961172580501 x + 10000000.000000000000000
二次加權預期報酬,15741.920941261276312
風險,11559.824466906251473
二次加權趨勢值,1.361778544849676
一次趨勢線,11655.985538866852949 x + 10000000.000000000000000
一次預期報酬,11655.985538866852949
一次風險,21200.252989771717694
一次趨勢值,0.549804077549943
找到最佳解世代,3357
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
CSCO[4](6),IBM[10](8),KO[14](11),MCD[15](25),TRV[22](10),VZ[26](2),
Stock#,CSCO[4](6),IBM[10](8),KO[14](11),MCD[15](25),TRV[22](10),VZ[26](2),
張數,86266,11541,51519,21019,30363,51519,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,6.879999999888241,30.189999999944121,26.349999999860302,69.489999999757856,40.929999999934807,26.349999999860302,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1658039.399999999674037,1675552.570000000065193,1671817.899999999906868,1668557.709999999729916,1673345.859999999869615,1686758.409999999916181,10034075.849999999627471
FS( 3 ),1645099.500000000000000,1677860.769999999785796,1661514.099999999860302,1676544.929999999934807,1665755.109999999869615,1695001.449999999720603,10021779.859999997541308
FS( 4 ),1676155.259999999776483,1673359.780000000027940,1648634.349999999860302,1672761.509999999776483,1670613.189999999944121,1694486.259999999776483,10036014.349999999627471
FS( 5 ),1672704.619999999878928,1662165.010000000009313,1652240.679999999934807,1688735.949999999720603,1665147.850000000093132,1697577.399999999906868,10038575.509999999776483
FS( 6 ),1669253.979999999981374,1673244.369999999878928,1658938.149999999906868,1655105.549999999580905,1671827.709999999962747,1699122.969999999739230,10027496.730000000447035
FS( 7 ),1699447.079999999841675,1665396.489999999990687,1670272.329999999841675,1631354.079999999841675,1658771.620000000111759,1729003.989999999990687,10054249.589999999850988
FS( 8 ),1699447.079999999841675,1671397.809999999823049,1665635.619999999878928,1630303.129999999888241,1663326.070000000065193,1753733.109999999869615,10083846.820000000298023
FS( 9 ),1689095.159999999683350,1665165.669999999925494,1670272.329999999841675,1620844.579999999841675,1678811.199999999953434,1757339.439999999944121,10081532.379999998956919
FS( 10 ),1685644.519999999785796,1682938.809999999823049,1646058.399999999906868,1620844.579999999841675,1680329.350000000093132,1786190.079999999841675,10102009.740000000223517
FS( 11 ),1679605.899999999674037,1670243.709999999962747,1667696.379999999655411,1618112.109999999869615,1674560.379999999888241,1784129.320000000065193,10094351.799999998882413
FS( 12 ),1703760.379999999888241,1668281.739999999990687,1683152.079999999841675,1612436.979999999515712,1680936.609999999869615,1790826.789999999804422,10139398.579999998211861
FS( 13 ),1686507.179999999934807,1673475.189999999944121,1692425.500000000000000,1614538.879999999888241,1675471.270000000018626,1784644.509999999776483,10127066.529999999329448
FS( 14 ),1692545.800000000046566,1667820.099999999860302,1682636.889999999664724,1616850.969999999739230,1683669.280000000027940,1789796.409999999916181,10133323.449999999254942
FS( 15 ),1684781.860000000102445,1682015.530000000027940,1686758.409999999916181,1615589.829999999841675,1696421.739999999757856,1800100.209999999729916,10165671.579999998211861
FS( 16 ),1687369.839999999850988,1684439.139999999897555,1689849.549999999813735,1618742.679999999934807,1695814.479999999981374,1812464.769999999785796,10188684.459999999031425
FS( 17 ),1698584.419999999925494,1683746.679999999701977,1689334.359999999869615,1617691.729999999515712,1684580.169999999925494,1825859.709999999729916,10199801.069999998435378
FS( 18 ),1739129.439999999944121,1677399.129999999888241,1675939.419999999925494,1606551.659999999916181,1693992.699999999953434,1828950.849999999860302,10221967.199999999254942
FS( 19 ),1755519.979999999981374,1681669.300000000046566,1683667.269999999785796,1606551.659999999916181,1690045.509999999776483,1835133.129999999655411,10252590.849999997764826
FS( 20 ),1746893.379999999888241,1691017.510000000009313,1686243.219999999739230,1618322.299999999580905,1687920.100000000093132,1833072.369999999878928,10263472.879999998956919
FS( 21 ),1745168.059999999823049,1692748.659999999916181,1687273.599999999860302,1613487.929999999934807,1686401.949999999953434,1832041.989999999990687,10257126.189999999478459
FS( 22 ),1745168.059999999823049,1693787.349999999860302,1694486.259999999776483,1613487.929999999934807,1691563.659999999916181,1843376.169999999925494,10281873.429999999701977
