代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10147988.140000000596046
真實報酬,147988.140000000596046

夏普值報酬,0.006098814000000
夏普值風險,0.006179262873172
夏普值,0.986980830104989

二次趨勢線,721.230054153532024 x^2 + -9570.465644125673862 x + 10000000.000000000000000
二次加權預期報酬,13028.076052684999013
風險,18147.085224227586878
二次加權趨勢值,0.717915626212613
一次趨勢線,3135.459565217386171 x + 10000000.000000000000000
一次預期報酬,3135.459565217386171
一次風險,48454.189513340745179
一次趨勢值,0.064709772193261
找到最佳解世代,1744
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](2),KO[14](6),MCD[15](3),MSFT[18](4),
Stock#,AAPL[0](1),DIS[6](2),KO[14](6),MCD[15](3),MSFT[18](4),
張數,14307,18011,47438,15497,30797,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,24.470000000204891,58.559999999823049,13.920000000158325,112.149999999906868,42.820000000065193,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1988125.190000000409782,1991895.049999999813735,2014705.780000000027940,1987292.459999999729916,1971358.790000000270084,9953377.270000001415610
FS( 3 ),1999856.930000000167638,2003602.199999999720603,2015180.159999999916181,1982178.449999999953434,1978750.070000000065193,9979567.810000000521541
FS( 4 ),1993561.850000000325963,1993335.929999999934807,2000948.760000000242144,1984193.059999999823049,1979366.010000000009313,9951405.610000001266599
FS( 5 ),1996137.110000000335276,1996758.019999999785796,1991935.540000000270084,1984812.939999999711290,1983369.620000000344589,9953013.230000000447035
FS( 6 ),1988697.470000000204891,1996397.799999999813735,1991935.540000000270084,1985122.879999999888241,2001539.849999999860302,9963693.540000000968575
FS( 7 ),1984119.230000000214204,1999819.889999999897555,1993833.060000000288710,1985897.729999999748543,1993532.630000000121072,9957202.540000000968575
FS( 8 ),1990700.449999999953434,1997838.679999999934807,2006166.940000000176951,1983418.209999999962747,1999692.030000000260770,9977816.310000000521541
FS( 9 ),1991558.870000000111759,2008645.279999999795109,1993833.060000000288710,1977684.319999999832362,1992916.689999999944121,9964638.219999998807907
FS( 10 ),1988554.400000000372529,2022873.969999999972060,1990986.780000000027940,1980628.749999999767169,1983677.589999999850988,9966721.490000000223517
FS( 11 ),2009585.690000000409782,2014949.129999999888241,1998102.479999999981374,1981868.509999999776483,1994148.570000000065193,9998654.380000000819564
FS( 12 ),2012876.300000000279397,2012067.369999999646097,2004269.420000000158325,1983418.209999999962747,1990760.900000000139698,10003392.199999999254942
FS( 13 ),2002861.400000000372529,2012967.919999999925494,1993833.060000000288710,1993646.229999999748543,1997844.210000000195578,10001152.820000000298023
FS( 14 ),2023892.690000000409782,2030078.369999999646097,2000948.760000000242144,1995815.809999999823049,1999692.030000000260770,10050427.660000000149012
FS( 15 ),2000715.350000000325963,2012787.809999999823049,2016128.920000000158325,1991786.590000000083819,1977518.189999999944121,9998936.859999999403954
FS( 16 ),2023320.409999999916181,2018731.439999999711290,2010436.360000000335276,2000774.849999999860302,2002771.730000000214204,10056034.789999999105930
FS( 17 ),2016166.909999999916181,2021613.199999999720603,2000474.380000000353903,1999225.149999999906868,1997844.210000000195578,10035323.850000001490116
FS( 18 ),2012160.949999999953434,2019812.099999999860302,1998102.479999999981374,2004494.129999999888241,2001231.880000000121072,10035801.539999999105930
FS( 19 ),2015594.630000000121072,2024134.739999999757856,2007590.080000000074506,2006818.679999999934807,2004927.519999999785796,10059065.650000000372529
FS( 20 ),2057371.070000000298023,2036202.109999999869615,2012808.260000000242144,2006198.799999999813735,2010778.950000000186265,10123359.190000001341105
FS( 21 ),2061949.310000000288710,2026836.389999999897555,2012333.880000000353903,1996745.629999999888241,2016322.409999999916181,10114187.619999999180436
FS( 22 ),2059230.980000000214204,2038543.540000000037253,2020872.720000000204891,2004184.189999999711290,2023713.689999999944121,10146545.119999999180436
FS( 23 ),2055368.090000000083819,2042325.849999999860302,2013282.640000000130385,2008678.320000000065193,2028333.239999999990687,10147988.140000000596046
