代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10646039.290000000968575
真實報酬,646039.290000000968575

夏普值報酬,0.055903929000000
夏普值風險,0.022284970967831
夏普值,2.508593306255513

二次趨勢線,1501.650912630151879 x^2 + 2329.158118738288977 x + 10000000.000000000000000
二次加權預期報酬,45376.484280802651483
風險,46406.093175504902320
二次加權趨勢值,0.977813066684835
一次趨勢線,26530.183292056819482 x + 10000000.000000000000000
一次預期報酬,26530.183292056819482
一次風險,91060.247871089333785
一次趨勢值,0.291347584838717
找到最佳解世代,1909
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](5),GS[8](6),HD[9](3),JPM[13](1),UNH[23](2),VZ[26](23),WMT[28](13),
Stock#,CAT[3](5),GS[8](6),HD[9](3),JPM[13](1),UNH[23](2),VZ[26](23),WMT[28](13),
張數,14211,8391,17913,25293,17530,28668,19425,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,81.280000000027940,3.250000000000000,9.250000000000000,22.360000000102445,51.300000000046566,44.560000000055879,56.499999999767169,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1446903.189999999944121,1440654.040000000037253,1433586.640000000130385,1432870.810000000055879,1442244.399999999906868,1439464.840000000083819,1428571.000000000000000,10064297.919999999925494
FS( 3 ),1442497.780000000027940,1421606.469999999972060,1433586.640000000130385,1417947.940000000176951,1419806.000000000000000,1423697.439999999944121,1424685.999999999767169,9983831.270000001415610
FS( 4 ),1442355.669999999925494,1424291.590000000083819,1442364.010000000009313,1422247.750000000000000,1428746.300000000046566,1408503.400000000139698,1441391.499999999767169,10009903.219999998807907
FS( 5 ),1448750.620000000111759,1418921.349999999860302,1441468.359999999869615,1414153.989999999990687,1389479.100000000093132,1394742.760000000009313,1436535.249999999767169,9944054.429999999701977
FS( 6 ),1467793.360000000102445,1445436.909999999916181,1476577.840000000083819,1425029.980000000214204,1404554.900000000139698,1396176.160000000149012,1450521.249999999767169,10066093.400000002235174
FS( 7 ),1485130.780000000027940,1447115.110000000102445,1484638.689999999944121,1424524.120000000111759,1400172.400000000139698,1395316.120000000111759,1444499.499999999767169,10081399.720000000670552
FS( 8 ),1482714.909999999916181,1446024.280000000027940,1485355.209999999962747,1425282.910000000149012,1406307.900000000139698,1400189.680000000167638,1441779.999999999767169,10087657.890000000596046
FS( 9 ),1494510.040000000037253,1446359.919999999925494,1488937.810000000055879,1434641.320000000065193,1428921.600000000093132,1402483.120000000111759,1438089.249999999767169,10133946.059999998658895
FS( 10 ),1501615.540000000037253,1449380.679999999934807,1502193.429999999934807,1441217.500000000000000,1434355.899999999906868,1404776.560000000055879,1445082.249999999767169,10178624.859999999403954
FS( 11 ),1502752.419999999925494,1442416.150000000139698,1499148.219999999972060,1435400.110000000102445,1428220.400000000139698,1399042.959999999962747,1435563.999999999767169,10142547.260000001639128
FS( 12 ),1520374.060000000055879,1464652.300000000046566,1497356.920000000158325,1447540.750000000000000,1443471.500000000000000,1398469.600000000093132,1447024.749999999767169,10218892.880000000819564
FS( 13 ),1524921.580000000074506,1459701.610000000102445,1580473.239999999990687,1455887.440000000176951,1463280.400000000139698,1396176.160000000149012,1454600.499999999767169,10335043.930000001564622
FS( 14 ),1530605.979999999981374,1460288.979999999981374,1625614.000000000000000,1457910.880000000121072,1462579.200000000186265,1399616.320000000065193,1456154.499999999534339,10392772.859999999403954
FS( 15 ),1534442.949999999953434,1469686.900000000139698,1632779.200000000186265,1479662.860000000102445,1468539.399999999906868,1401049.719999999972060,1467615.249999999767169,10453779.280000001192093
FS( 16 ),1525063.689999999944121,1472372.020000000018626,1630629.640000000130385,1479409.930000000167638,1468714.699999999953434,1394456.080000000074506,1471111.749999999767169,10441760.809999998658895
FS( 17 ),1534442.949999999953434,1492510.419999999925494,1633674.850000000093132,1500908.980000000214204,1476778.500000000000000,1409076.760000000009313,1470334.749999999767169,10517730.210000000894070
FS( 18 ),1535721.939999999944121,1492762.150000000139698,1641377.439999999944121,1511026.180000000167638,1492204.900000000139698,1411943.560000000055879,1467032.499999999767169,10552071.669999999925494
FS( 19 ),1542685.330000000074506,1492006.959999999962747,1645676.560000000055879,1507232.230000000214204,1514292.699999999953434,1417103.800000000046566,1473442.749999999767169,10592443.330000000074506
FS( 20 ),1544106.430000000167638,1490664.400000000139698,1657140.880000000121072,1496356.239999999990687,1513591.500000000000000,1416530.439999999944121,1474413.999999999767169,10592806.890000000596046
FS( 21 ),1550075.050000000046566,1502915.260000000009313,1674874.750000000000000,1503691.210000000195578,1519551.700000000186265,1428284.320000000065193,1466643.999999999767169,10646039.290000000968575
