代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10922593.209999999031425
真實報酬,922593.209999999031425

夏普值報酬,0.083559321000000
夏普值風險,0.032411698798007
夏普值,2.578060518232979

二次趨勢線,147.992504541510471 x^2 + 50435.967721156557673 x + 10000000.000000000000000
二次加權預期報酬,54481.096178624509776
風險,80797.310901893681148
二次加權趨勢值,0.674293433413606
一次趨勢線,52709.998888501744659 x + 10000000.000000000000000
一次預期報酬,52709.998888501744659
一次風險,81101.907127524449606
一次趨勢值,0.649923050584010
找到最佳解世代,1903
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](2),MRK[17](1),VZ[26](4),WMT[28](3),
Stock#,JNJ[12](2),MRK[17](1),VZ[26](4),WMT[28](3),
張數,42023,79974,90909,49721,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.729999999981374,12.759999999776483,2.500000000000000,28.120000000111759,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2476467.120000000111759,2452815.339999999850988,2470909.120000000111759,2481106.020000000018626,9881297.599999999627471
FS( 3 ),2501260.689999999944121,2610364.119999999646097,2473636.390000000130385,2504972.100000000093132,10090233.299999998882413
FS( 4 ),2520591.270000000018626,2615962.299999999813735,2490909.100000000093132,2549721.000000000000000,10177183.669999999925494
FS( 5 ),2534038.629999999888241,2606365.419999999925494,2512727.260000000242144,2548229.370000000111759,10201360.679999999701977
FS( 6 ),2552948.979999999981374,2673543.579999999608845,2564545.390000000130385,2585520.120000000111759,10376558.070000000298023
FS( 7 ),2573120.020000000018626,2687938.899999999906868,2576363.560000000055879,2600933.630000000353903,10438356.110000001266599
FS( 8 ),2557991.739999999757856,2656749.039999999571592,2579999.919999999925494,2633749.490000000223517,10428490.189999999478459
FS( 9 ),2569758.179999999701977,2637555.279999999329448,2563636.299999999813735,2647174.160000000149012,10418123.919999998062849
FS( 10 ),2581524.620000000111759,2647152.159999999683350,2560909.030000000260770,2645185.320000000298023,10434771.129999998956919
FS( 11 ),2613462.100000000093132,2703933.700000000186265,2578181.739999999757856,2643196.479999999981374,10538774.020000001415610
FS( 12 ),2612621.640000000130385,2742321.219999999739230,2605454.439999999944121,2668056.979999999981374,10628454.279999999329448
FS( 13 ),2618925.089999999850988,2810299.119999999646097,2606363.530000000260770,2692420.270000000018626,10728008.009999999776483
FS( 14 ),2623547.620000000111759,2825494.179999999701977,2593636.270000000018626,2711811.459999999962747,10754489.530000001192093
FS( 15 ),2618504.859999999869615,2915864.799999999813735,2586363.549999999813735,2698884.000000000000000,10819617.210000000894070
FS( 16 ),2634473.600000000093132,2912665.839999999850988,2662727.109999999869615,2718772.399999999906868,10928638.949999999254942
FS( 17 ),2655064.870000000111759,2896671.039999999571592,2709090.700000000186265,2727224.970000000204891,10988051.580000000074506
FS( 18 ),2660107.629999999888241,2924661.939999999944121,2722727.049999999813735,2732694.280000000260770,11040190.900000000372529
FS( 19 ),2642878.200000000186265,2902269.219999999739230,2688181.629999999888241,2716286.350000000093132,10949615.400000000372529
FS( 20 ),2640777.050000000279397,2895871.299999999813735,2673636.189999999944121,2712308.669999999925494,10922593.209999999031425
