代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14765667.489999998360872
真實報酬,4765667.489999998360872

夏普值報酬,0.467866749000000
夏普值風險,0.100243198511229
夏普值,4.667316645404017

二次趨勢線,-706.632208093280497 x^2 + 212668.180880720436107 x + 10000000.000000000000000
二次加權預期報酬,192411.390915379713988
風險,368469.202759921783581
二次加權趨勢值,0.522191242780055
一次趨勢線,201279.899015403148951 x + 10000000.000000000000000
一次預期報酬,201279.899015403148951
一次風險,370309.097608331241645
一次趨勢值,0.543545649608352
找到最佳解世代,2002
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),AXP[1](1),DD[7](3),WBA[27](6),
Stock#,AAPL[0](5),AXP[1](1),DD[7](3),WBA[27](6),
張數,160978,173130,199203,94339,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.660000000149012,2.800000000279397,2.349999999627471,16.500000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2591757.460000000428408,2593490.200000000186265,2820716.829999999608845,2583961.709999999962747,10589926.199999999254942
FS( 3 ),2667417.120000000111759,2654085.700000000186265,3121513.359999999403954,2538678.990000000223517,10981695.169999999925494
FS( 4 ),2723759.420000000391155,2624653.600000000093132,3057768.399999999441206,2540565.770000000018626,10946747.189999999478459
FS( 5 ),2644880.200000000186265,2598684.100000000093132,2828684.949999999254942,2584905.100000000093132,10657154.349999999627471
FS( 6 ),2675466.020000000484288,2721606.400000000372529,2878485.699999999254942,2615093.580000000074506,10890651.699999999254942
FS( 7 ),2749515.899999999906868,3260040.700000000186265,3103585.089999999850988,2733960.720000000204891,11847102.410000000149012
FS( 8 ),2764003.920000000391155,3542242.600000000558794,3189242.379999999888241,2751885.130000000353903,12247374.030000003054738
FS( 9 ),2720539.859999999869615,3190788.700000000186265,3023903.889999999664724,2726413.600000000093132,11661646.049999998882413
FS( 10 ),2706051.839999999850988,3569943.400000000372529,3185258.319999999832362,2739621.060000000055879,12200874.620000001043081
FS( 11 ),2792979.960000000428408,3582062.500000000465661,3378485.229999999981374,2866978.709999999962747,12620506.400000002235174
FS( 12 ),2838053.799999999813735,3775968.100000000093132,3573704.169999999925494,2832073.279999999795109,13019799.349999999627471
FS( 13 ),2770443.040000000502914,3286010.200000000186265,3256971.399999999906868,2839620.399999999906868,12153045.040000000968575
FS( 14 ),2799419.080000000074506,3388156.900000000372529,3456174.399999999906868,2888676.680000000167638,12532427.060000000521541
FS( 15 ),2794589.740000000223517,3363918.700000000186265,3537847.629999999888241,2816979.040000000037253,12513335.109999999403954
FS( 16 ),2883127.640000000130385,3630538.899999999906868,3513943.269999999552965,2768866.149999999906868,12796475.959999999031425
FS( 17 ),2849322.260000000242144,4380191.800000000745058,3685257.849999999627471,2791507.509999999776483,13706279.419999999925494
FS( 18 ),2868639.620000000111759,4194942.700000001117587,3577688.229999999981374,2759432.250000000000000,13400702.800000000745058
FS( 19 ),2849322.260000000242144,4181092.299999999813735,3687249.879999999888241,2830186.500000000000000,13547850.940000001341105
FS( 20 ),2878298.299999999813735,4319596.300000000745058,3832668.069999999366701,2937732.959999999962747,13968295.629999998956919
FS( 21 ),2894396.100000000093132,4366341.400000000372529,4539838.719999999739230,2965091.270000000018626,14765667.489999998360872
