代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11012512.019999999552965
真實報酬,1012512.019999999552965

夏普值報酬,0.092551202000000
夏普值風險,0.033288393299621
夏普值,2.780284442296963

二次趨勢線,3605.659826048809009 x^2 + -41581.375126987521071 x + 10000000.000000000000000
二次加權預期報酬,71395.966089208508492
風險,117208.088739140890539
二次加權趨勢值,0.609138557391784
一次趨勢線,21939.610744680827338 x + 10000000.000000000000000
一次預期報酬,21939.610744680827338
一次風險,253350.163814554893179
一次趨勢值,0.086597973391247
找到最佳解世代,2131
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MMM[16](1),PG[21](8),TRV[22](3),UNH[23](2),V[25](7),
Stock#,MMM[16](1),PG[21](8),TRV[22](3),UNH[23](2),V[25](7),
張數,14369,24055,21482,23562,38095,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,122.579999999841675,67.300000000046566,25.800000000046566,57.440000000176951,12.500000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1992671.809999999590218,1997835.050000000046566,1999355.539999999804422,2000471.240000000223517,1997333.350000000093132,9987666.990000000223517
FS( 3 ),2014225.309999999590218,2015635.750000000232831,2029215.520000000018626,2026860.680000000167638,2019047.500000000000000,10104984.759999999776483
FS( 4 ),2016668.039999999804422,2010343.649999999906868,2034371.200000000186265,2004948.020000000251457,2017142.750000000000000,10083473.660000000149012
FS( 5 ),1978446.500000000000000,2000481.099999999860302,2012029.919999999925494,1983742.220000000204891,1981333.449999999953434,9956033.189999999478459
FS( 6 ),2032042.869999999878928,2025017.200000000186265,2029000.700000000186265,2040997.880000000353903,2022476.050000000046566,10149534.700000001117587
FS( 7 ),1992240.739999999757856,2012508.599999999860302,2016970.780000000027940,2001413.720000000204891,1978285.850000000093132,10001419.689999999478459
FS( 8 ),1923125.850000000093132,2037285.250000000000000,2020193.080000000074506,2012016.620000000111759,1952381.250000000000000,9945002.050000000745058
FS( 9 ),1909762.679999999934807,2005532.650000000139698,2009022.439999999944121,1978087.340000000316650,1945524.149999999906868,9847929.259999999776483
FS( 10 ),1928155.000000000000000,2009862.550000000046566,2012459.560000000288710,1951462.280000000027940,1930667.100000000093132,9832606.490000000223517
FS( 11 ),1928729.759999999776483,1995429.550000000046566,1976154.979999999981374,1935911.360000000102445,1907048.200000000186265,9743273.849999999627471
FS( 12 ),1940656.030000000027940,1978350.500000000000000,1972288.220000000204891,2012016.620000000111759,1933333.750000000000000,9836645.120000001043081
FS( 13 ),1974423.179999999934807,2003127.149999999906868,2003007.479999999981374,2077754.600000000325963,1961905.000000000000000,10020217.410000000149012
FS( 14 ),1977296.979999999748543,2025017.200000000186265,2002148.200000000186265,2086236.920000000391155,1979428.699999999953434,10070128.000000000000000
FS( 15 ),2025145.750000000000000,2035360.850000000093132,2024489.479999999981374,2143021.339999999850988,2031618.849999999860302,10259636.269999999552965
FS( 16 ),1996695.129999999655411,2026219.950000000186265,2053275.360000000102445,2115218.179999999701977,2008761.849999999860302,10200170.470000000670552
FS( 17 ),2084346.030000000027940,2002164.950000000186265,2078838.939999999944121,2136188.360000000335276,2040761.649999999906868,10342299.929999999701977
FS( 18 ),2135212.290000000037253,2048591.099999999860302,2099461.660000000149012,2159279.120000000111759,2033142.649999999906868,10475686.820000000298023
FS( 19 ),2149150.219999999739230,2067594.550000000046566,2123951.140000000596046,2170824.500000000000000,2032380.750000000000000,10543901.160000000149012
FS( 20 ),2170703.719999999739230,2080103.149999999906868,2142425.660000000149012,2182841.120000000111759,2063999.600000000093132,10640073.249999998137355
FS( 21 ),2169985.269999999552965,2081787.000000000232831,2135766.240000000223517,2190380.959999999962747,2044571.150000000139698,10622490.619999999180436
FS( 22 ),2185647.479999999515712,2091409.000000000000000,2148225.799999999813735,2212058.000000000000000,2253712.699999999720603,10891052.979999998584390
FS( 23 ),2209643.709999999962747,2099347.150000000372529,2165411.400000000372529,2238683.060000000521541,2299426.700000000186265,11012512.019999999552965
