代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9328736.280000001192093
真實報酬,-671263.719999998807907

夏普值報酬,-0.075826372000000
夏普值風險,0.033078690650129
夏普值,-2.292302703332817

二次趨勢線,7837.320712793343773 x^2 + -184935.248097910749493 x + 10000000.000000000000000
二次加權預期報酬,18835.090434716195887
風險,170915.902472551650135
二次加權趨勢值,0.110200924327337
一次趨勢線,-70389.791526315719238 x + 10000000.000000000000000
一次預期報酬,-70389.791526315719238
一次風險,377524.311242764815688
一次趨勢值,-26573857564.494144439697266
找到最佳解世代,2526
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),NKE[19](2),
Stock#,CAT[3](1),NKE[19](2),
張數,35984,64151,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.200000000186265,71.060000000521541,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4653474.080000000074506,4862075.350000000558794,9515549.429999999701977
FS( 3 ),4619289.280000000260770,4846037.600000000558794,9465326.880000000819564
FS( 4 ),4445846.400000000372529,4704905.400000000372529,9150751.800000000745058
FS( 5 ),4440088.959999999962747,4651660.070000001229346,9091749.030000001192093
FS( 6 ),4434691.360000000335276,4719660.129999999888241,9154351.490000000223517
FS( 7 ),4511337.280000000260770,4767773.379999999888241,9279110.660000000149012
FS( 8 ),4530408.800000000745058,4678603.490000001154840,9209012.290000002831221
FS( 9 ),4561714.879999999888241,4652943.090000000782311,9214657.970000000670552
FS( 10 ),4478951.679999999701977,4484225.960000000894070,8963177.640000000596046
FS( 11 ),4471754.879999999888241,4564414.710000000894070,9036169.589999999850988
FS( 12 ),4401945.919999999925494,4424565.530000000260770,8826511.449999999254942
FS( 13 ),4373878.400000000372529,4332188.090000000782311,8706066.490000002086163
FS( 14 ),4320622.080000000074506,4642678.930000000633299,8963301.010000001639128
FS( 15 ),4208352.000000000000000,4368754.160000000149012,8577106.160000000149012
FS( 16 ),4489387.040000000037253,4683735.570000001229346,9173122.610000001266599
FS( 17 ),4558116.480000000447035,4726075.230000000447035,9284191.710000000894070
FS( 18 ),4519973.440000000409782,4704905.400000000372529,9224878.839999999850988
FS( 19 ),4572510.080000000074506,4756226.200000000186265,9328736.280000001192093
