代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10925108.019999999552965
真實報酬,925108.019999999552965

夏普值報酬,0.083810802000000
夏普值風險,0.032077031210573
夏普值,2.612797969045671

二次趨勢線,2550.737620803684422 x^2 + -16175.082477414794994 x + 10000000.000000000000000
二次加權預期報酬,63748.029641100663866
風險,155991.871638845215784
二次加權趨勢值,0.408662508958743
一次趨勢線,28761.316459296882385 x + 10000000.000000000000000
一次預期報酬,28761.316459296882385
一次風險,222666.860559004562674
一次趨勢值,0.129167476413381
找到最佳解世代,2136
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),VZ[26](3),
Stock#,CAT[3](1),VZ[26](3),
張數,50070,138811,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.799999999813735,27.779999999329448,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5055577.700000000186265,5044419.519999999552965,10099997.219999998807907
FS( 3 ),5219807.299999999813735,5047195.739999999292195,10267003.039999999105930
FS( 4 ),5159222.600000000558794,5008328.659999999217689,10167551.259999999776483
FS( 5 ),5113658.899999999441206,4998611.889999998733401,10112270.789999999105930
FS( 6 ),5213798.899999999441206,5063853.059999998658895,10277651.959999997168779
FS( 7 ),5125175.000000000000000,5087450.929999998770654,10212625.929999999701977
FS( 8 ),4926397.099999999627471,5052748.179999998770654,9979145.279999997466803
FS( 9 ),5008011.199999999254942,4976402.129999999888241,9984413.329999998211861
FS( 10 ),5112156.799999999813735,4883398.759999998845160,9995555.559999998658895
FS( 11 ),5044562.299999999813735,4840367.349999998696148,9884929.649999998509884
FS( 12 ),5027037.799999999813735,4761245.079999999143183,9788282.879999998956919
FS( 13 ),5163228.200000000186265,4904220.409999999217689,10067448.609999999403954
FS( 14 ),5260364.000000000000000,4975014.019999999552965,10235378.019999999552965
FS( 15 ),5387041.099999999627471,5061076.839999999850988,10448117.939999999478459
FS( 16 ),5346985.100000000558794,5129094.229999999515712,10476079.330000000074506
FS( 17 ),5345483.000000000000000,5133258.559999998658895,10478741.559999998658895
FS( 18 ),5426095.700000000186265,5161020.759999998845160,10587116.459999999031425
FS( 19 ),5462146.099999999627471,5176289.969999998807907,10638436.069999998435378
FS( 20 ),5477667.799999999813735,5240143.029999999329448,10717810.829999998211861
FS( 21 ),5534747.600000000558794,5315100.969999998807907,10849848.570000000298023
FS( 22 ),5584316.899999999441206,5338698.839999999850988,10923015.739999998360872
FS( 23 ),5575304.299999999813735,5349803.719999998807907,10925108.019999999552965
