代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13320390.350000001490116
真實報酬,3320390.350000001490116

夏普值報酬,0.323339035000000
夏普值風險,0.093665481949608
夏普值,3.452061829713930

二次趨勢線,47.246586141992857 x^2 + 1560.789116582693623 x + 10000000.000000000000000
二次加權預期報酬,17467.139784386956308
風險,256125.209547121252399
二次加權趨勢值,0.068197659321674
一次趨勢線,10508.076283123971734 x + 10000000.000000000000000
一次預期報酬,10508.076283123971734
一次風險,423371.255297298834193
一次趨勢值,0.024820004078324
找到最佳解世代,2002
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),KO[14](2),VZ[26](6),WMT[28](7),
Stock#,AAPL[0](4),KO[14](2),VZ[26](6),WMT[28](7),
張數,50978,73421,66137,46720,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,38.879999999888241,14.950000000186265,21.400000000372529,12.800000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2544860.640000000130385,2507342.100000000093132,2501322.740000000223517,2494393.600000000093132,10047919.080000000074506
FS( 3 ),2561683.379999999888241,2516152.620000000577420,2482804.380000000353903,2509811.200000000186265,10070451.580000001937151
FS( 4 ),2601446.219999999739230,2524228.930000000167638,2474867.940000000409782,2545785.600000000558794,10146328.690000001341105
FS( 5 ),2619798.299999999813735,2521292.090000000316650,2478836.160000000149012,2526630.400000000372529,10146556.950000001117587
FS( 6 ),2577996.339999999850988,2500000.000000000000000,2455026.840000000316650,2516819.200000000186265,10049842.379999998956919
FS( 7 ),2576467.000000000000000,2490455.270000000484288,2453042.730000000447035,2520089.600000000093132,10040054.600000001490116
FS( 8 ),2607563.579999999608845,2498531.580000000074506,2443122.180000000167638,2523827.200000000651926,10073044.540000000968575
FS( 9 ),2605524.459999999962747,2484581.590000000316650,2439153.960000000428408,2505606.400000000372529,10034866.410000002011657
FS( 10 ),2657522.020000000018626,2479442.120000000577420,2435185.740000000223517,2505606.400000000372529,10077756.280000001192093
FS( 11 ),2722264.079999999608845,2464023.710000000428408,2427910.670000000391155,2491123.200000000186265,10105321.660000000149012
FS( 12 ),2744694.399999999906868,2544786.810000000055879,2445106.290000000502914,2521491.200000000186265,10256078.699999999254942
FS( 13 ),2817592.939999999944121,2528634.189999999944121,2468915.610000000335276,2517753.600000000093132,10332896.339999999850988
FS( 14 ),2820651.619999999646097,2545521.020000000484288,2484788.490000000223517,2544851.200000000186265,10395812.330000001937151
FS( 15 ),2864492.699999999720603,2560205.220000000204891,2429894.780000000726432,2547187.200000000651926,10401779.900000002235174
FS( 16 ),2902216.419999999925494,2542584.180000000167638,2395503.540000000502914,2521491.200000000186265,10361795.339999999850988
FS( 17 ),2937901.020000000018626,2540381.550000000279397,2399471.760000000242144,2503737.600000000558794,10381491.929999999701977
FS( 18 ),2858885.119999999646097,2522026.300000000279397,2394842.170000000391155,2487852.800000000279397,10263606.390000000596046
FS( 19 ),2853277.540000000037253,2526431.560000000055879,2358466.820000000298023,2475705.600000000558794,10213881.519999999552965
FS( 20 ),2843591.719999999739230,2497063.160000000149012,2333996.130000000353903,2462624.000000000465661,10137275.009999999776483
FS( 21 ),2889471.919999999925494,2486784.220000000204891,2372355.590000000316650,2458419.200000000186265,10207030.929999999701977
FS( 22 ),2832376.560000000055879,2461821.080000000074506,2347223.530000000726432,2414502.400000000372529,10055923.570000002160668
FS( 23 ),2858885.119999999646097,2511013.150000000372529,2378969.290000000502914,2395814.400000000372529,10144681.960000000894070
FS( 24 ),2748262.859999999869615,2416300.060000000055879,2309525.440000000409782,2340684.800000000279397,9814773.160000000149012
FS( 25 ),2720734.739999999757856,2451542.140000000130385,2318123.250000000000000,2375724.800000000279397,9866124.929999999701977
FS( 26 ),2572388.759999999776483,2390602.710000000428408,2190478.840000000316650,2285555.200000000186265,9439025.510000001639128
FS( 27 ),2723793.419999999925494,2447871.090000000316650,2267859.130000000353903,2374323.200000000186265,9813846.839999999850988
FS( 28 ),2648855.759999999776483,2348018.530000000260770,2226192.820000000298023,2261728.000000000000000,9484795.109999999403954
FS( 29 ),2721754.299999999813735,2440528.990000000223517,2289684.340000000316650,2323398.399999999906868,9775366.030000001192093
FS( 30 ),2745713.959999999962747,2464757.920000000391155,2268520.500000000000000,2324332.800000000279397,9803325.180000001564622
FS( 31 ),2792103.939999999944121,2503671.050000000279397,2318123.250000000000000,2335078.399999999906868,9948976.640000000596046
FS( 32 ),2770693.180000000167638,2502936.840000000316650,2306879.960000000428408,2425715.200000000186265,10006225.179999999701977
FS( 33 ),2770693.180000000167638,2543318.390000000130385,2355159.970000000204891,2408428.800000000279397,10077600.340000001713634
FS( 34 ),2665678.500000000000000,2487518.430000000167638,2319445.990000000223517,2419641.600000000093132,9892284.519999999552965
FS( 35 ),2592779.959999999962747,2463289.500000000000000,2295636.670000000391155,2443468.800000000279397,9795174.930000001564622
FS( 36 ),2595838.640000000130385,2469897.390000000130385,2302911.740000000223517,2438329.600000000093132,9806977.370000001043081
FS( 37 ),2720734.739999999757856,2535242.080000000074506,2378307.920000000391155,2485984.000000000465661,10120268.740000000223517
FS( 38 ),2739596.600000000093132,2558002.590000000316650,2412037.790000000502914,2493459.200000000186265,10203096.179999999701977
FS( 39 ),2721754.299999999813735,2495594.740000000223517,2365741.890000000596046,2462156.800000000279397,10045247.730000000447035
FS( 40 ),2793633.279999999795109,2514684.200000000186265,2365080.520000000018626,2471500.800000000279397,10144898.800000000745058
FS( 41 ),2840023.259999999776483,2560205.220000000204891,2390212.580000000540167,2485049.600000000093132,10275490.660000000149012
FS( 42 ),2840023.259999999776483,2564610.479999999981374,2401455.870000000577420,2467763.200000000186265,10273852.810000002384186
FS( 43 ),2802809.319999999832362,2586636.779999999795109,2392196.690000000409782,2485049.600000000093132,10266692.390000000596046
FS( 44 ),2774771.419999999925494,2586636.779999999795109,2373016.960000000428408,2459820.800000000279397,10194245.960000000894070
FS( 45 ),2724303.199999999720603,2560205.220000000204891,2351853.120000000577420,2430854.400000000372529,10067215.940000001341105
FS( 46 ),2765595.379999999888241,2549192.070000000298023,2329366.540000000502914,2414502.400000000372529,10058656.390000000596046
FS( 47 ),2796182.180000000167638,2599118.350000000093132,2355821.340000000316650,2449075.200000000186265,10200197.070000000298023
FS( 48 ),2797711.520000000018626,2613068.340000000316650,2339948.460000000428408,2439264.000000000465661,10189992.320000000298023
FS( 49 ),2749282.419999999925494,2546989.439999999944121,2330689.280000000726432,2399552.000000000465661,10026513.140000000596046
