代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10516494.270000001415610
真實報酬,516494.270000001415610

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26029.635457909364050
風險,81161.283968496776652
起點值,0.320714929399255
找到最佳解世代,2310
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
AAPL[0](6),DD[7](15),MSFT[18](13),PG[21](1),XOM[29](5),
Stock#,AAPL[0](6),DD[7](15),MSFT[18](13),PG[21](1),XOM[29](5),
張數,28690,36656,59559,26260,23255,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.100000000093132,48.639999999897555,8.780000000027940,38.400000000139698,70.000000000000000,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2006598.699999999953434,2020160.799999999813735,2020250.060000000055879,1993960.200000000419095,2001860.399999999906868,10042830.160000000149012
FS( 3 ),1981351.500000000232831,2023826.399999999906868,2016676.520000000018626,1991596.800000000279397,1988372.500000000000000,10001823.720000000670552
FS( 4 ),1979630.100000000093132,2087607.840000000083819,2017867.700000000186265,1996323.600000000093132,2007441.599999999860302,10088870.839999999850988
FS( 5 ),1999139.300000000279397,2054250.879999999888241,1983323.479999999748543,1986607.400000000372529,1997674.500000000232831,10020995.560000000521541
FS( 6 ),1971310.000000000000000,2010996.799999999813735,1966051.369999999878928,2004464.200000000186265,1988605.050000000046566,9941427.419999999925494
FS( 7 ),1994262.000000000232831,2031890.719999999972060,1969624.910000000149012,2020745.400000000139698,1980465.799999999813735,9996988.830000001937151
FS( 8 ),2006885.600000000093132,2108868.320000000298023,2010720.619999999878928,2045429.800000000046566,2000930.200000000186265,10172834.539999999105930
FS( 9 ),2019796.100000000325963,2144058.080000000074506,2032757.450000000186265,2060923.200000000186265,2022092.250000000000000,10279627.080000001937151
FS( 10 ),2032993.500000000000000,2130861.919999999925494,2051816.330000000307336,2067750.800000000046566,2037207.999999999767169,10320630.549999998882413
FS( 11 ),2043895.699999999953434,2110701.120000000111759,2054198.690000000176951,2037814.399999999906868,2018371.450000000186265,10264981.359999999403954
FS( 12 ),2053937.200000000186265,2146990.559999999590218,2063132.540000000037253,2057246.800000000279397,2030464.050000000046566,10351771.150000000372529
FS( 13 ),2067708.399999999906868,2160553.280000000260770,2079809.060000000055879,2085607.600000000093132,2034417.400000000139698,10428095.740000000223517
FS( 14 ),2085783.100000000093132,2156521.120000000111759,2082191.420000000158325,2085345.000000000000000,2036045.250000000000000,10445885.890000000596046
FS( 15 ),2136851.300000000279397,2159087.040000000037253,2083978.190000000176951,2073790.600000000093132,2028603.650000000139698,10482310.780000001192093
FS( 16 ),2130826.399999999906868,2168984.160000000149012,2059559.000000000000000,2110817.200000000186265,2046044.900000000139698,10516231.660000002011657
FS( 17 ),2151483.199999999720603,2142225.280000000260770,2010720.619999999878928,2124735.000000000000000,2037440.550000000046566,10466604.650000002235174
FS( 18 ),2180173.199999999720603,2120598.240000000223517,2008338.260000000009313,2116857.000000000000000,2056277.100000000093132,10482243.799999998882413
FS( 19 ),2155786.700000000186265,2063048.319999999832362,2128051.849999999627471,2100838.400000000372529,2045812.349999999860302,10493537.619999999180436
FS( 20 ),2171853.100000000093132,2041787.840000000083819,2118522.410000000149012,2134976.400000000372529,2051858.650000000139698,10518998.400000000372529
FS( 21 ),2117629.000000000000000,2059749.279999999795109,2115544.459999999962747,2165438.000000000000000,2068137.150000000139698,10526497.890000000596046
FS( 22 ),2151483.199999999720603,2049485.599999999860302,2116735.639999999664724,2140753.599999999627471,2065346.550000000046566,10523804.589999999850988
FS( 23 ),2142302.400000000372529,2060482.399999999906868,2108992.969999999739230,2120533.400000000372529,2084183.100000000093132,10516494.270000001415610
