代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10450469.020000001415610
真實報酬,450469.020000001415610

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21864.896671700389561
風險,31518.796527204594895
起點值,0.693709756742403
找到最佳解世代,2034
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](5),CSCO[4](7),DIS[6](4),MCD[15](12),TRV[22](2),VZ[26](1),
Stock#,BA[2](5),CSCO[4](7),DIS[6](4),MCD[15](12),TRV[22](2),VZ[26](1),
張數,12974,72432,20948,16508,18349,35295,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,25.959999999962747,5.679999999934807,43.119999999878928,18.320000000065193,26.330000000074506,36.100000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1685867.520000000018626,1661595.760000000009313,1682377.000000000000000,1674424.760000000242144,1669785.330000000074506,1663136.500000000000000,10037190.870000001043081
FS( 3 ),1712075.000000000000000,1663044.399999999906868,1701439.679999999934807,1669637.440000000176951,1663363.180000000167638,1672666.150000000139698,10082229.850000001490116
FS( 4 ),1697414.380000000121072,1645660.719999999739230,1697459.559999999823049,1666500.920000000158325,1649234.449999999953434,1675489.750000000000000,10031763.779999999329448
FS( 5 ),1691186.859999999869615,1656525.520000000018626,1681958.040000000037253,1683174.000000000000000,1671069.760000000009313,1697725.600000000093132,10081643.779999999329448
FS( 6 ),1694041.139999999897555,1667390.319999999832362,1709399.919999999692664,1683008.920000000158325,1674189.090000000083819,1711490.650000000139698,10139524.040000000968575
FS( 7 ),1700917.359999999869615,1667390.319999999832362,1716731.719999999972060,1699186.760000000242144,1675290.030000000027940,1711137.699999999953434,10170657.889999998733401
FS( 8 ),1720378.359999999869615,1679703.760000000009313,1726577.280000000027940,1698031.199999999953434,1688868.290000000270084,1699843.300000000046566,10213406.190000001341105
FS( 9 ),1731406.259999999776483,1655801.199999999953434,1719454.959999999729916,1709091.560000000055879,1704831.919999999925494,1688901.850000000093132,10209491.750000000000000
FS( 10 ),1725438.219999999972060,1652179.599999999860302,1695155.280000000027940,1700837.560000000055879,1700061.180000000167638,1694549.050000000046566,10168224.890000000596046
FS( 11 ),1702344.500000000000000,1751411.439999999944121,1679025.320000000065193,1692088.320000000065193,1694923.460000000195578,1692784.300000000046566,10212581.340000001713634
FS( 12 ),1697154.899999999906868,1765173.520000000018626,1684052.839999999850988,1702653.440000000176951,1698776.750000000000000,1731961.750000000000000,10279777.199999999254942
FS( 13 ),1704160.859999999869615,1763724.880000000121072,1697878.519999999785796,1685320.040000000037253,1702263.060000000055879,1734785.350000000093132,10288136.709999999031425
FS( 14 ),1681196.880000000121072,1747065.520000000018626,1698716.439999999944121,1676075.560000000055879,1700428.160000000149012,1717137.850000000093132,10220624.410000000149012
FS( 15 ),1699101.000000000000000,1773141.040000000037253,1721759.239999999757856,1693078.800000000046566,1703914.469999999972060,1735491.250000000232831,10326489.799999998882413
FS( 16 ),1710518.120000000111759,1765897.839999999850988,1725110.919999999692664,1691262.920000000158325,1706666.820000000065193,1745373.850000000093132,10344834.469999998807907
FS( 17 ),1717913.299999999813735,1776038.319999999832362,1745430.479999999748543,1683834.320000000065193,1703914.469999999972060,1755609.400000000139698,10382744.290000000968575
FS( 18 ),1740747.539999999804422,1789800.399999999906868,1754228.639999999664724,1689777.199999999953434,1715474.340000000083819,1751374.000000000000000,10441406.119999999180436
FS( 19 ),1742823.380000000121072,1797767.919999999925494,1751295.919999999692664,1672278.719999999972060,1714923.869999999878928,1755609.400000000139698,10434703.209999999031425
FS( 20 ),1753332.319999999832362,1787627.439999999944121,1760303.559999999823049,1672939.040000000037253,1726667.229999999981374,1754903.500000000000000,10455777.089999999850988
FS( 21 ),1754759.459999999962747,1783281.520000000018626,1759884.600000000093132,1674424.760000000242144,1714740.380000000121072,1763374.300000000046566,10450469.020000001415610
