代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10677813.720000000670552
真實報酬,677813.720000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,34920.231404181191465
風險,23660.222336618706322
起點值,1.475904617774258
找到最佳解世代,2080
找到最佳解實驗#,2
找到最佳解次數,45

stock[index](rank)
投資組合檔數,7
CVX[5](5),HD[9](1),KO[14](7),MSFT[18](4),PG[21](10),UNH[23](20),V[25](3),
Stock#,CVX[5](5),HD[9](1),KO[14](7),MSFT[18](4),PG[21](10),UNH[23](20),V[25](3),
張數,13897,32124,42115,47794,22600,26822,55738,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,98.369999999878928,16.719999999972060,30.199999999953434,8.340000000083819,25.000000000000000,31.280000000027940,6.060000000055879,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1441078.299999999813735,1428249.760000000009313,1428571.000000000000000,1431438.640000000130385,1431057.000000000000000,1409259.159999999916181,1478177.820000000065193,10047834.679999999701977
FS( 3 ),1466231.869999999878928,1451057.800000000046566,1433624.799999999813735,1445298.899999999906868,1418627.000000000000000,1376268.100000000093132,1491554.940000000176951,10082666.409999998286366
FS( 4 ),1482491.359999999869615,1452021.520000000018626,1432782.500000000000000,1443387.140000000130385,1435351.000000000000000,1375731.659999999916181,1496013.979999999981374,10117782.160000000149012
FS( 5 ),1484714.879999999888241,1460373.760000000009313,1443732.399999999906868,1450556.240000000223517,1439645.000000000000000,1395579.939999999944121,1490997.560000000055879,10165602.779999999329448
FS( 6 ),1483742.089999999850988,1451057.800000000046566,1439099.750000000000000,1465372.380000000121072,1438289.000000000000000,1398530.360000000102445,1509948.479999999981374,10186042.859999999403954
FS( 7 ),1478322.260000000009313,1454270.200000000186265,1431519.050000000046566,1470629.719999999972060,1447329.000000000232831,1423206.600000000093132,1566801.239999999990687,10272081.070000000298023
FS( 8 ),1463174.529999999795109,1456197.639999999897555,1430676.750000000000000,1457725.340000000083819,1443713.000000000000000,1430180.320000000065193,1587424.300000000046566,10269094.880000000819564
FS( 9 ),1478461.229999999748543,1475472.040000000037253,1441205.500000000000000,1461548.860000000102445,1451623.000000000000000,1444395.979999999981374,1570702.900000000139698,10323412.509999999776483
FS( 10 ),1479989.899999999906868,1479648.160000000149012,1450891.950000000186265,1445776.840000000083819,1457273.000000000000000,1460757.400000000139698,1605817.840000000083819,10380158.089999999850988
FS( 11 ),1459283.369999999878928,1468404.760000000009313,1440363.200000000186265,1436218.040000000037253,1458855.000000000000000,1465048.919999999925494,1604145.700000000186265,10332321.989999998360872
FS( 12 ),1480406.809999999823049,1475472.040000000037253,1450049.649999999906868,1495482.600000000093132,1473545.000000000000000,1469608.659999999916181,1585752.159999999916181,10430319.919999999925494
FS( 13 ),1482352.389999999897555,1500528.760000000009313,1454261.149999999906868,1493570.840000000083819,1466991.000000000000000,1466658.239999999990687,1602473.560000000055879,10466838.939999999478459
FS( 14 ),1506672.139999999897555,1507274.800000000046566,1449207.349999999860302,1502651.700000000186265,1455917.000000000000000,1483824.320000000065193,1591325.960000000195578,10496876.270000001415610
FS( 15 ),1494025.869999999878928,1496031.399999999906868,1458472.650000000139698,1494526.719999999972060,1456369.000000000000000,1480069.239999999990687,1621424.479999999981374,10500922.359999999403954
FS( 16 ),1505838.319999999832362,1508238.520000000018626,1456788.050000000046566,1499306.120000000111759,1501117.000000000000000,1473631.959999999962747,1623096.620000000111759,10568019.589999999850988
FS( 17 ),1515983.129999999888241,1509202.239999999757856,1452997.699999999953434,1504563.460000000195578,1507670.999999999767169,1492675.580000000074506,1638145.880000000121072,10621241.990000000223517
FS( 18 ),1523626.479999999748543,1507596.040000000037253,1449628.500000000000000,1498350.240000000223517,1507445.000000000000000,1494821.339999999850988,1628670.419999999925494,10610141.019999999552965
FS( 19 ),1523348.539999999804422,1517233.239999999757856,1449628.500000000000000,1523203.120000000111759,1523039.000000000000000,1497771.760000000009313,1657654.179999999934807,10691881.339999999850988
FS( 20 ),1516539.010000000009313,1528155.399999999906868,1471107.149999999906868,1516989.899999999906868,1528237.000000000000000,1495357.780000000027940,1621424.479999999981374,10677813.720000000670552
