代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10871511.519999999552965
真實報酬,871511.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,44132.477909407658444
風險,47780.724028076889226
起點值,0.923646068725843
找到最佳解世代,3388
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,2
CAT[3](1),MCD[15](16),
Stock#,CAT[3](1),MCD[15](16),
張數,41442,25153,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,22.700000000186265,86.660000000149012,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5059262.060000000521541,5021380.049999999813735,10080642.109999999403954
FS( 3 ),5102361.740000000223517,5033956.549999999813735,10136318.289999999105930
FS( 4 ),5113551.080000000074506,5107403.310000000521541,10220954.390000000596046
FS( 5 ),5157894.019999999552965,5168525.099999999627471,10326419.119999999180436
FS( 6 ),5210939.780000000260770,5063385.560000000521541,10274325.339999999850988
FS( 7 ),5274760.459999999962747,5112685.439999999478459,10387445.899999998509884
FS( 8 ),5267300.900000000372529,5154690.950000000186265,10421991.850000001490116
FS( 9 ),5270201.839999999850988,5143623.630000000819564,10413825.470000000670552
FS( 10 ),5272688.360000000335276,5163746.030000000260770,10436434.390000000596046
FS( 11 ),5276418.139999999664724,5126519.589999999850988,10402937.730000000447035
FS( 12 ),5401158.560000000521541,5144126.689999999478459,10545285.250000000000000
FS( 13 ),5412762.320000000298023,5145132.810000000521541,10557895.130000000819564
FS( 14 ),5537917.160000000149012,5159470.020000000484288,10697387.179999999701977
FS( 15 ),5548692.080000000074506,5137838.439999999478459,10686530.519999999552965
FS( 16 ),5568584.240000000223517,5129286.419999999925494,10697870.660000000149012
FS( 17 ),5541232.520000000484288,5174310.290000000037253,10715542.810000000521541
FS( 18 ),5600909.000000000000000,5145132.810000000521541,10746041.810000000521541
FS( 19 ),5615413.700000000186265,5188395.970000000670552,10803809.670000001788139
FS( 20 ),5648152.879999999888241,5223358.639999999664724,10871511.519999999552965
