代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10390661.519999999552965
真實報酬,390661.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21390.746240418055095
風險,39977.339743559779890
起點值,0.535071777602811
找到最佳解世代,2372
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](3),CVX[5](11),MRK[17](30),NKE[19](7),PG[21](20),WMT[28](1),
Stock#,BA[2](3),CVX[5](11),MRK[17](30),NKE[19](7),PG[21](20),WMT[28](1),
張數,4702,14334,19234,19684,13733,14538,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,183.159999999916181,51.820000000065193,39.899999999906868,21.719999999972060,29.120000000111759,29.679999999934807,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1676587.219999999739230,1680713.320000000065193,1655125.599999999860302,1699735.119999999878928,1692072.050000000046566,1685129.259999999776483,10089366.570000000298023
FS( 3 ),1694313.760000000009313,1686303.580000000074506,1656087.299999999813735,1740481.000000000000000,1685892.200000000186265,1678296.399999999906868,10141378.240000000223517
FS( 4 ),1707009.159999999916181,1695190.660000000149012,1665127.279999999795109,1745795.679999999934807,1687402.830000000074506,1667974.419999999925494,10168504.029999999329448
FS( 5 ),1687166.719999999739230,1711388.080000000074506,1605501.879999999888241,1745402.000000000000000,1677789.730000000214204,1691235.219999999972060,10118487.630000000819564
FS( 6 ),1737525.139999999897555,1746649.719999999972060,1571265.359999999869615,1709183.439999999944121,1646341.160000000149012,1687164.579999999841675,10098133.400000000372529
FS( 7 ),1800767.039999999804422,1738479.340000000083819,1594923.179999999934807,1707608.719999999972060,1665430.030000000027940,1686728.439999999944121,10193940.749999998137355
FS( 8 ),1766395.419999999925494,1740486.100000000093132,1602424.439999999944121,1725718.000000000000000,1686029.530000000027940,1699812.639999999897555,10220870.130000000819564
FS( 9 ),1785814.679999999934807,1741632.820000000065193,1588960.639999999897555,1718828.599999999860302,1677103.080000000074506,1707227.020000000018626,10219570.839999999850988
FS( 10 ),1781535.860000000102445,1779187.900000000139698,1577804.919999999925494,1717844.399999999906868,1644555.870000000111759,1680186.339999999850988,10181119.289999999105930
FS( 11 ),1806691.559999999823049,1775891.080000000074506,1587037.239999999990687,1724143.280000000027940,1663919.400000000139698,1693852.060000000055879,10251538.620000001043081
FS( 12 ),1817082.979999999981374,1780047.940000000176951,1596846.579999999841675,1733788.439999999944121,1667352.650000000139698,1703301.759999999776483,10298424.349999999627471
FS( 13 ),1807820.039999999804422,1772594.260000000009313,1615118.879999999888241,1726308.520000000018626,1674081.820000000298023,1702574.859999999869615,10298502.379999998956919
FS( 14 ),1784074.939999999944121,1782054.699999999953434,1638007.339999999850988,1706230.840000000083819,1678751.040000000037253,1700684.919999999925494,10289807.779999999329448
FS( 15 ),1772978.219999999739230,1790368.420000000158325,1622620.139999999897555,1726111.679999999934807,1692209.380000000121072,1709989.239999999990687,10314281.080000000074506
FS( 16 ),1794701.459999999729916,1773740.979999999981374,1608002.299999999813735,1716072.840000000083819,1697565.250000000000000,1721328.880000000121072,10311415.709999999031425
FS( 17 ),1816095.559999999823049,1770444.160000000149012,1598385.299999999813735,1787525.760000000009313,1689462.780000000027940,1722346.539999999804422,10384264.099999997764826
FS( 18 ),1819339.939999999944121,1722425.260000000009313,1613387.819999999832362,1814296.000000000000000,1707178.350000000093132,1719875.079999999841675,10396506.449999999254942
FS( 19 ),1800390.879999999888241,1700064.219999999972060,1594730.839999999850988,1817051.760000000009313,1710748.929999999934807,1722055.780000000027940,10345046.409999998286366
FS( 20 ),1789153.100000000093132,1700064.219999999972060,1619158.020000000018626,1848743.000000000000000,1708139.660000000149012,1725399.520000000018626,10390661.519999999552965
