代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10536697.509999999776483
真實報酬,536697.509999999776483

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,27863.175850202456786
風險,11479.903523107574074
起點值,2.427126307648619
找到最佳解世代,2700
找到最佳解實驗#,1
找到最佳解次數,15

stock[index](rank)
投資組合檔數,12
AAPL[0](10),CAT[3](17),CSCO[4](1),IBM[10](28),JNJ[12](22),KO[14](5),MCD[15](4),PFE[20](19),PG[21](18),TRV[22](6),V[25](8),WMT[28](2),
Stock#,AAPL[0](10),CAT[3](17),CSCO[4](1),IBM[10](28),JNJ[12](22),KO[14](5),MCD[15](4),PFE[20](19),PG[21](18),TRV[22](6),V[25](8),WMT[28](2),
張數,7617,8315,33902,5070,7754,19931,8902,27602,9536,8337,13799,10924,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,33.199999999953434,3.699999999953434,21.840000000083819,27.799999999930151,88.160000000032596,17.889999999897555,16.780000000027940,28.619999999995343,77.320000000065193,49.849999999976717,11.390000000013970,50.280000000027940,
FS( 1 ),833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,10000000.000000000000000
FS( 2 ),827239.399999999906868,819945.849999999976717,843503.600000000093132,824663.299999999930151,842327.640000000013970,833532.309999999939464,840988.719999999972060,835817.180000000051223,845348.360000000102445,843170.659999999916181,838162.650000000023283,844038.520000000135042,10038742.189999999478459
FS( 3 ),829219.819999999948777,826597.849999999976717,852657.140000000013970,820455.199999999953434,843878.439999999944121,843298.500000000000000,842502.060000000055879,829192.699999999953434,848781.320000000065193,846171.979999999981374,860793.010000000009313,848845.080000000074506,10092397.099999999627471
FS( 4 ),828001.099999999976717,839070.349999999976717,856386.360000000102445,818630.000000000000000,845351.700000000069849,842899.879999999888241,842680.099999999976717,829192.699999999953434,847827.720000000088476,849673.519999999902211,862724.870000000111759,850046.720000000088476,10112489.020000001415610
FS( 5 ),830362.369999999995343,846138.099999999976717,858759.500000000000000,821722.699999999953434,839070.960000000079162,843497.809999999939464,846596.979999999981374,825880.460000000079162,850021.000000000000000,853508.540000000037253,870866.280000000027940,860533.760000000009313,10146962.459999999031425
FS( 6 ),828991.309999999939464,849879.849999999860302,852657.140000000013970,828922.099999999976717,843878.439999999944121,844892.979999999864958,846686.000000000000000,833609.020000000018626,853072.520000000135042,858677.479999999981374,863138.839999999967404,867852.839999999967404,10172262.519999999552965
