代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10541342.579999998211861
真實報酬,541342.579999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,27506.634722002589115
風險,41769.938928348732588
起點值,0.658527051456477
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),GS[8](1),IBM[10](2),MCD[15](7),PG[21](6),
Stock#,AAPL[0](5),GS[8](1),IBM[10](2),MCD[15](7),PG[21](6),
張數,9923,9668,14297,9694,18101,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,19.349999999860302,77.519999999785796,135.640000000130385,127.799999999813735,20.510000000009313,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2011709.139999999664724,1991492.159999999683350,2004860.980000000214204,2031796.319999999832362,2017919.989999999990687,10057778.589999999850988
FS( 3 ),2028379.779999999795109,1992072.239999999757856,2023733.020000000018626,2063107.939999999944121,2064982.590000000083819,10172275.569999998435378
FS( 4 ),2026593.639999999664724,2010054.719999999739230,2021445.500000000000000,2047888.359999999869615,2048148.660000000149012,10154130.879999998956919
FS( 5 ),1984817.810000000055879,1989268.519999999785796,2009864.929999999934807,2056806.839999999850988,2064439.560000000055879,10105197.660000000149012
FS( 6 ),1996923.869999999878928,2008797.879999999888241,1992136.650000000372529,2056128.259999999776483,2043804.419999999925494,10097791.080000000074506
FS( 7 ),2016670.639999999664724,1991395.479999999748543,2008435.230000000214204,2064949.799999999813735,2059009.260000000009313,10140460.410000000149012
FS( 8 ),2001984.599999999860302,2043409.319999999832362,2019443.920000000158325,2061944.659999999683350,2070412.889999999897555,10197195.390000000596046
FS( 9 ),2017365.250000000000000,2068449.439999999711290,2040889.420000000158325,2064852.859999999869615,2081454.500000000000000,10273011.469999998807907
FS( 10 ),2036318.179999999934807,2045632.959999999962747,2049181.679999999934807,2076679.539999999804422,2090323.989999999990687,10298136.349999999627471
FS( 11 ),2029272.849999999860302,2083724.879999999888241,2052184.050000000046566,2071929.479999999748543,2097745.400000000372529,10334856.660000000149012
FS( 12 ),2017861.399999999906868,2062261.919999999925494,2045607.429999999934807,2071832.539999999804422,2098650.450000000186265,10296213.740000000223517
FS( 13 ),2040783.529999999795109,2074056.879999999888241,2139395.750000000000000,2093159.339999999850988,2089599.949999999953434,10436995.449999999254942
FS( 14 ),2010319.919999999925494,2064388.879999999888241,2140110.600000000093132,2073383.579999999841675,2081816.520000000018626,10370019.500000000000000
FS( 15 ),2056263.409999999916181,2069029.519999999785796,2140968.420000000391155,2084337.799999999813735,2087065.810000000055879,10437664.959999999031425
FS( 16 ),2072338.669999999925494,2121526.759999999776483,2150118.500000000000000,2077648.939999999944121,2060819.359999999869615,10482452.229999998584390
FS( 17 ),2070651.759999999776483,2146663.559999999590218,2145114.550000000279397,2062817.119999999878928,2038193.109999999869615,10463440.099999997764826
FS( 18 ),2054278.810000000055879,2126844.160000000149012,2150261.469999999739230,2078909.159999999683350,2041270.280000000027940,10451563.879999998956919
FS( 19 ),2061423.369999999878928,2147727.040000000037253,2164129.560000000521541,2089960.319999999832362,2076748.239999999990687,10539988.530000001192093
FS( 20 ),2080673.989999999990687,2130131.279999999329448,2157267.000000000000000,2084143.919999999692664,2099736.509999999776483,10551952.699999999254942
FS( 21 ),2071743.289999999804422,2140572.719999999739230,2141397.330000000074506,2058551.759999999776483,2179561.919999999925494,10591827.019999999552965
FS( 22 ),2114015.269999999552965,2128294.359999999403954,2119522.920000000391155,2042847.479999999748543,2136662.549999999813735,10541342.579999998211861
