代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10556898.400000000372529
真實報酬,556898.400000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,27521.783292682921456
風險,26165.342018604857003
起點值,1.051841144408262
找到最佳解世代,1987
找到最佳解實驗#,4
找到最佳解次數,21

stock[index](rank)
投資組合檔數,6
AAPL[0](25),CVX[5](8),IBM[10](23),MRK[17](1),PG[21](5),UNH[23](2),
Stock#,AAPL[0](25),CVX[5](8),IBM[10](23),MRK[17](1),PG[21](5),UNH[23](2),
張數,22434,14123,9299,36848,20538,24284,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,44.139999999897555,10.770000000018626,6.229999999981374,30.960000000195578,7.299999999813735,55.080000000074506,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1688202.639999999897555,1667937.069999999832362,1676336.959999999962747,1684721.520000000251457,1670362.839999999850988,1674436.880000000121072,10062001.910000000149012
FS( 3 ),1683940.179999999934807,1672880.120000000111759,1653833.379999999888241,1671456.240000000223517,1672416.639999999897555,1668851.560000000055879,10023382.119999999180436
FS( 4 ),1669582.419999999925494,1710870.989999999990687,1666294.040000000037253,1693565.040000000270084,1700759.079999999841675,1706977.440000000176951,10148053.009999999776483
FS( 5 ),1642437.279999999795109,1693499.699999999953434,1673826.229999999981374,1688406.320000000298023,1690695.459999999729916,1694106.920000000158325,10082975.909999998286366
FS( 6 ),1668460.719999999972060,1711577.139999999897555,1673733.239999999990687,1724517.360000000102445,1694597.679999999934807,1712077.080000000074506,10184967.220000000670552
FS( 7 ),1663525.239999999990687,1710023.610000000102445,1700607.349999999860302,1731886.960000000195578,1689463.179999999934807,1712077.080000000074506,10207587.419999999925494
FS( 8 ),1666666.000000000000000,1694770.770000000018626,1702374.159999999916181,1753627.280000000260770,1700553.699999999720603,1698720.880000000121072,10216716.790000000968575
FS( 9 ),1668685.059999999823049,1696041.840000000083819,1706837.680000000167638,1744415.280000000260770,1714930.299999999813735,1724461.920000000158325,10255376.080000000074506
FS( 10 ),1692689.439999999944121,1688556.650000000139698,1694377.020000000018626,1762102.320000000298023,1731771.459999999729916,1734904.040000000037253,10304404.929999999701977
FS( 11 ),1682594.139999999897555,1695618.150000000139698,1703490.040000000037253,1771314.320000000298023,1742451.219999999972060,1745346.160000000149012,10340818.030000001192093
FS( 12 ),1662179.199999999953434,1702679.650000000139698,1715392.760000000009313,1769103.440000000176951,1736905.959999999729916,1740732.200000000186265,10326997.210000000894070
FS( 13 ),1665095.619999999878928,1723864.150000000139698,1722645.979999999981374,1771314.320000000298023,1732182.219999999972060,1739032.320000000065193,10354138.610000001266599
FS( 14 ),1650513.519999999785796,1723016.770000000018626,1722088.040000000037253,1773525.200000000186265,1739370.519999999785796,1748017.400000000139698,10356535.450000001117587
FS( 15 ),1670255.439999999944121,1743636.349999999860302,1712231.099999999860302,1791580.720000000204891,1738959.759999999776483,1770601.520000000018626,10427268.889999998733401
FS( 16 ),1665992.979999999981374,1751686.459999999962747,1685914.930000000167638,1803372.080000000074506,1744710.399999999906868,1790757.239999999990687,10442438.089999999850988
FS( 17 ),1678556.019999999785796,1747590.790000000037253,1663969.290000000037253,1829902.640000000130385,1754157.879999999655411,1798770.959999999962747,10472951.579999998211861
FS( 18 ),1709514.939999999944121,1734032.709999999962747,1648811.919999999925494,1826954.800000000046566,1738343.619999999878928,1809698.760000000009313,10467360.750000000000000
FS( 19 ),1749671.799999999813735,1728948.429999999934807,1664248.260000000009313,1836166.800000000046566,1730949.939999999944121,1805813.320000000065193,10515802.549999998882413
FS( 20 ),1782201.099999999860302,1729230.889999999897555,1670850.550000000046566,1836166.800000000046566,1729717.659999999683350,1808727.400000000139698,10556898.400000000372529
