代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10497823.880000000819564
真實報酬,497823.880000000819564

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,28927.724403503467329
風險,51652.992170366182108
起點值,0.560039664461095
找到最佳解世代,2907
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),MMM[16](12),MSFT[18](8),
Stock#,MCD[15](1),MMM[16](12),MSFT[18](8),
張數,49324,39753,114311,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,17.080000000074506,43.950000000186265,24.239999999757856,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3355528.800000000279397,3346849.020000000018626,3345907.209999999497086,10048286.029999999329448
FS( 3 ),3344677.520000000018626,3353209.500000000000000,3351622.759999999776483,10049510.779999999329448
FS( 4 ),3339251.880000000353903,3325779.930000000167638,3355052.089999999850988,10020084.900000000372529
FS( 5 ),3391535.320000000298023,3297555.300000000279397,3420209.359999999869615,10109300.980000000447035
FS( 6 ),3387589.400000000372529,3319021.919999999925494,3468219.979999999515712,10174832.300000000745058
FS( 7 ),3380190.800000000279397,3310673.790000000037253,3465933.759999999776483,10156799.349999999627471
FS( 8 ),3399427.160000000149012,3336910.770000000018626,3480794.189999999478459,10217133.119999999180436
FS( 9 ),3424089.160000000149012,3354799.620000000111759,3523089.259999999776483,10301979.039999999105930
FS( 10 ),3411264.919999999925494,3379048.950000000186265,3528804.810000000055879,10319119.679999999701977
FS( 11 ),3404852.800000000279397,3329755.230000000447035,3505942.609999999869615,10240551.640000000596046
FS( 12 ),3448751.160000000149012,3335320.650000000372529,3548237.679999999701977,10332310.490000000223517
FS( 13 ),3469467.240000000223517,3389782.260000000242144,3584817.199999999720603,10444067.699999999254942
FS( 14 ),3470453.720000000204891,3406876.050000000279397,3581387.869999999646097,10458718.640000000596046
FS( 15 ),3503500.800000000279397,3420789.600000000093132,3588246.529999999795109,10512537.929999999701977
FS( 16 ),3509419.680000000167638,3441858.689999999944121,3539092.799999999813735,10490372.169999999925494
FS( 17 ),3503007.560000000055879,3476046.270000000018626,3556239.449999999720603,10535294.279999999329448
FS( 18 ),3478838.800000000279397,3497115.360000000335276,3526518.589999999850988,10502473.750000000000000
FS( 19 ),3469467.240000000223517,3507848.669999999925494,3533377.250000000000000,10510694.160000000149012
FS( 20 ),3527669.560000000055879,3551179.439999999944121,3543665.239999999757856,10622515.240000000223517
FS( 21 ),3481798.240000000223517,3524942.460000000428408,3491082.179999999701977,10497823.880000000819564
