代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11920438.079999998211861
真實報酬,1920438.079999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,100564.957037148895324
風險,123074.374867076898227
起點值,0.817107193481676
找到最佳解世代,2119
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),INTC[11](4),MRK[17](23),TRV[22](6),WMT[28](3),
Stock#,CAT[3](1),INTC[11](4),MRK[17](23),TRV[22](6),WMT[28](3),
張數,28348,96993,63351,42735,38491,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,48.600000000093132,4.339999999850988,8.929999999934807,2.000000000232831,7.639999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2056412.520000000251457,2058195.799999999813735,1986062.780000000027940,2054700.800000000046566,2035411.719999999972060,10190783.620000001043081
FS( 3 ),2105171.080000000074506,2119301.390000000130385,1993031.389999999897555,2118375.950000000186265,2026558.789999999804422,10362438.599999999627471
FS( 4 ),2185395.920000000391155,2136760.129999999888241,1990497.350000000093132,2144871.650000000372529,2030407.889999999897555,10487932.940000001341105
FS( 5 ),2140889.560000000055879,2161978.309999999590218,2002534.039999999804422,2094017.000000000232831,2066974.340000000083819,10466393.250000000000000
FS( 6 ),2243225.839999999850988,2219204.179999999701977,2049413.780000000027940,2183760.500000000000000,2109699.349999999627471,10805303.650000000372529
FS( 7 ),2286598.279999999795109,2229873.409999999683350,2022806.359999999869615,2154700.700000000186265,2106235.160000000149012,10800213.910000000149012
FS( 8 ),2316080.200000000186265,2242482.500000000000000,2063351.000000000000000,2198290.400000000372529,2124710.839999999850988,10944914.940000001341105
FS( 9 ),2308709.720000000204891,2268670.609999999869615,2071586.630000000121072,2155982.750000000000000,2117782.459999999962747,10922732.170000001788139
FS( 10 ),2383831.920000000391155,2279339.839999999850988,2089324.909999999683350,2191025.450000000186265,2134718.500000000000000,11078240.620000001043081
FS( 11 ),2310977.560000000055879,2258001.379999999888241,2046879.739999999990687,2118803.299999999813735,2108544.620000000111759,10843206.600000001490116
FS( 12 ),2401691.160000000149012,2269640.539999999571592,2077288.219999999972060,2199145.100000000558794,2151269.629999999888241,11099034.649999998509884
FS( 13 ),2368807.479999999981374,2351114.659999999683350,2061450.469999999972060,2324358.650000000372529,2165126.389999999664724,11270857.649999998509884
FS( 14 ),2388651.080000000074506,2290009.069999999832362,2077921.729999999748543,2330341.550000000745058,2169745.309999999590218,11256668.739999998360872
FS( 15 ),2477380.320000000298023,2330746.129999999888241,2112764.780000000260770,2450854.250000000000000,2190915.360000000335276,11562660.839999999850988
FS( 16 ),2601544.560000000055879,2385062.209999999962747,2124167.959999999962747,2462392.700000000186265,2185526.620000000111759,11758694.050000000745058
FS( 17 ),2548250.320000000298023,2388941.929999999701977,2084890.339999999618158,2407691.900000000372529,2182832.250000000000000,11612606.740000000223517
FS( 18 ),2595874.959999999962747,2395731.439999999944121,2124801.469999999739230,2457264.500000000000000,2208236.309999999590218,11781908.679999999701977
FS( 19 ),2729110.560000000055879,2437438.429999999701977,2173581.740000000223517,2512392.650000000372529,2225172.349999999627471,12077695.730000000447035
FS( 20 ),2745552.399999999906868,2422889.479999999981374,2224262.540000000037253,2541879.799999999813735,2199768.290000000037253,12134352.509999997913837
FS( 21 ),2677800.679999999701977,2380212.559999999590218,2185618.429999999701977,2493589.250000000000000,2183217.160000000149012,11920438.079999998211861
