代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10623183.520000001415610
真實報酬,623183.520000001415610

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,31246.552429149822274
風險,38507.877179326744226
起點值,0.811432743582261
找到最佳解世代,2324
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
CVX[5](8),DIS[6](2),TRV[22](1),XOM[29](20),
Stock#,CVX[5](8),DIS[6](2),TRV[22](1),XOM[29](20),
張數,25982,62688,44006,29793,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.959999999962747,2.560000000055879,19.140000000130385,69.370000000111759,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2506755.320000000298023,2538239.680000000167638,2495599.400000000372529,2485103.500000000000000,10025697.900000000372529
FS( 3 ),2528320.379999999888241,2538866.560000000055879,2519362.640000000130385,2485997.290000000037253,10072546.870000001043081
FS( 4 ),2523123.979999999981374,2552031.040000000037253,2526403.600000000093132,2481230.410000000149012,10082789.029999999329448
FS( 5 ),2537414.080000000074506,2566449.279999999795109,2516282.220000000204891,2500595.860000000335276,10120741.440000001341105
FS( 6 ),2539492.639999999664724,2581494.399999999906868,2547086.420000000391155,2472292.510000000242144,10140365.969999998807907
FS( 7 ),2500519.639999999664724,2718154.240000000223517,2588012.000000000000000,2459481.520000000018626,10266167.400000000372529
FS( 8 ),2512471.359999999869615,2715019.840000000316650,2572609.900000000372529,2478846.970000000204891,10278948.070000000298023
FS( 9 ),2505975.859999999869615,2721288.639999999664724,2595933.080000000074506,2467525.629999999888241,10290723.210000000894070
FS( 10 ),2518966.859999999869615,2710631.680000000167638,2589332.180000000167638,2529793.000000000000000,10348723.720000000670552
FS( 11 ),2503117.839999999850988,2701228.480000000447035,2611775.240000000223517,2471994.580000000074506,10288116.140000000596046
FS( 12 ),2511432.080000000074506,2739468.160000000149012,2616615.900000000372529,2493445.540000000037253,10360961.679999999701977
FS( 13 ),2524682.899999999906868,2739468.160000000149012,2630697.820000000298023,2499106.209999999962747,10393955.089999999850988
FS( 14 ),2564955.000000000000000,2730691.840000000316650,2680864.660000000149012,2517577.870000000111759,10494089.370000001043081
FS( 15 ),2606526.199999999720603,2673645.759999999776483,2663702.320000000298023,2545583.290000000037253,10489457.570000000298023
FS( 16 ),2657191.099999999627471,2641048.000000000000000,2658861.660000000149012,2594145.879999999888241,10551246.640000000596046
FS( 17 ),2650955.419999999925494,2659227.520000000018626,2610895.120000000111759,2561373.580000000074506,10482451.640000000596046
FS( 18 ),2652774.159999999683350,2692452.160000000149012,2622776.740000000223517,2542603.990000000223517,10510607.050000000745058
FS( 19 ),2695644.459999999962747,2741975.680000000167638,2637298.720000000204891,2548264.660000000149012,10623183.520000001415610
