代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10429758.590000001713634
真實報酬,429758.590000001713634

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25434.934178137602430
風險,33566.665992777583597
起點值,0.757743833826402
找到最佳解世代,2340
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
HD[9](4),MCD[15](5),MRK[17](6),PFE[20](11),TRV[22](9),WBA[27](25),
Stock#,HD[9](4),MCD[15](5),MRK[17](6),PFE[20](11),TRV[22](9),WBA[27](25),
張數,29347,18716,38535,70086,25783,46685,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,49.870000000111759,6.199999999953434,27.250000000000000,20.919999999925494,52.879999999888241,11.499999999767169,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1659329.250000000000000,1666853.159999999916181,1673987.649999999906868,1676478.040000000037253,1663829.869999999878928,1675069.299999999813735,10015551.269999999552965
FS( 3 ),1691904.420000000158325,1696985.919999999925494,1704815.650000000139698,1705914.159999999916181,1684714.099999999860302,1643323.500000000000000,10127661.750000000000000
FS( 4 ),1680459.090000000083819,1703536.519999999785796,1697494.000000000000000,1698905.559999999823049,1681362.309999999823049,1631185.399999999674037,10092946.879999998956919
FS( 5 ),1681632.969999999972060,1708777.000000000000000,1705586.349999999860302,1689093.520000000018626,1683940.609999999869615,1640522.399999999906868,10109556.849999999627471
FS( 6 ),1664611.709999999962747,1706905.399999999906868,1708283.800000000046566,1693999.540000000037253,1726224.729999999981374,1639121.849999999627471,10139151.029999999329448
FS( 7 ),1674296.219999999972060,1699793.319999999832362,1715990.800000000046566,1686990.939999999944121,1741436.699999999953434,1650793.099999999627471,10169305.079999998211861
FS( 8 ),1710979.969999999972060,1713830.319999999832362,1721000.349999999860302,1699606.419999999925494,1764899.229999999981374,1681605.199999999953434,10291925.489999998360872
FS( 9 ),1745022.490000000223517,1716263.399999999906868,1680923.949999999953434,1668067.719999999972060,1768251.019999999785796,1681605.199999999953434,10260137.779999999329448
FS( 10 ),1728881.639999999897555,1724498.439999999944121,1695567.250000000000000,1683486.639999999897555,1765672.719999999972060,1666666.000000000000000,10264776.689999999478459
FS( 11 ),1727414.290000000037253,1742091.479999999981374,1698650.050000000046566,1682785.780000000027940,1765157.059999999823049,1664798.599999999627471,10280901.259999999776483
FS( 12 ),1745315.959999999962747,1737412.479999999981374,1715220.099999999860302,1693298.679999999934807,1759226.969999999972060,1671801.349999999860302,10322279.539999999105930
FS( 13 ),1739740.030000000260770,1743401.600000000093132,1729863.399999999906868,1710820.179999999934807,1764899.229999999981374,1659663.249999999534339,10348391.689999999478459
FS( 14 ),1743848.610000000102445,1753882.559999999823049,1730634.099999999860302,1718529.639999999897555,1769024.509999999776483,1639121.849999999627471,10355045.269999997690320
FS( 15 ),1742968.200000000186265,1753882.559999999823049,1739497.149999999906868,1734649.419999999925494,1764125.739999999990687,1665265.449999999953434,10400392.519999999552965
FS( 16 ),1752652.709999999962747,1737973.959999999962747,1738341.100000000093132,1740957.159999999916181,1765672.719999999972060,1683939.449999999720603,10419541.099999999627471
FS( 17 ),1736511.860000000102445,1744337.399999999906868,1734487.599999999860302,1740256.299999999813735,1747624.619999999878928,1672268.199999999720603,10375489.979999998584390
FS( 18 ),1757348.230000000214204,1745647.519999999785796,1742965.299999999813735,1749367.479999999981374,1763867.909999999916181,1708682.499999999767169,10467882.939999999478459
FS( 19 ),1771728.260000000009313,1717199.199999999953434,1737955.750000000000000,1741658.020000000018626,1760000.459999999962747,1701212.899999999674037,10429758.590000001713634
