代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10930875.330000000074506
真實報酬,930875.330000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,52281.918512195137737
風險,113623.515580969527946
起點值,0.460132906862386
找到最佳解世代,2004
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CSCO[4](4),DD[7](2),MMM[16](1),UTX[24](6),XOM[29](3),
Stock#,CSCO[4](4),DD[7](2),MMM[16](1),UTX[24](6),XOM[29](3),
張數,85178,32981,13447,22841,26215,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,20.560000000055879,32.159999999916181,27.690000000176951,42.040000000037253,57.649999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1944634.299999999813735,2115103.689999999478459,1988435.580000000307336,1951120.260000000009313,1955434.500000000000000,9954728.329999998211861
FS( 3 ),1967632.360000000102445,2195247.519999999552965,2050964.130000000353903,1963454.399999999906868,2057410.850000000093132,10234709.259999999776483
FS( 4 ),2005110.679999999934807,2225919.849999999627471,2063335.370000000111759,2012790.960000000195578,2092801.099999999860302,10399957.959999999031425
FS( 5 ),1949744.980000000214204,2192938.849999999627471,2063738.780000000260770,2006395.480000000214204,2099354.850000000093132,10312172.940000001341105
FS( 6 ),1953152.100000000093132,2171501.200000000186265,2069520.990000000223517,1982184.020000000018626,2127667.049999999813735,10304025.359999999403954
FS( 7 ),1929302.260000000009313,2188651.320000000298023,2080816.470000000204891,1992690.879999999888241,2099354.850000000093132,10290815.780000001192093
FS( 8 ),1917377.340000000083819,2168203.099999999627471,2050022.840000000083819,1986295.399999999906868,2080217.899999999674037,10202116.580000000074506
FS( 9 ),2102213.600000000093132,2104219.959999999962747,2026087.179999999934807,1933761.099999999860302,2086771.649999999674037,10253053.490000000223517
FS( 10 ),2138840.140000000130385,2160947.279999999329448,2070327.810000000288710,1963225.989999999990687,2124259.100000000093132,10457600.320000000298023
FS( 11 ),2201020.080000000074506,2199535.049999999813735,2091439.600000000093132,1975331.720000000204891,2129239.949999999720603,10596566.400000000372529
FS( 12 ),2253830.439999999944121,2253953.700000000186265,2106096.830000000074506,2012790.960000000195578,2149687.649999999906868,10776359.580000001937151
FS( 13 ),2251275.100000000093132,2234165.099999999627471,2108248.350000000558794,2018272.800000000046566,2161484.399999999906868,10773445.750000000000000
FS( 14 ),2261496.459999999962747,2211408.209999999962747,2103810.839999999850988,2015303.470000000204891,2162795.149999999906868,10754814.130000000819564
FS( 15 ),2268310.700000000186265,2249336.360000000335276,2120619.589999999850988,2109865.209999999962747,2159911.500000000000000,10908043.359999999403954
FS( 16 ),2224869.919999999925494,2206461.060000000521541,2100045.679999999701977,2092277.639999999897555,2129502.100000000093132,10753156.400000000372529
FS( 17 ),2241905.520000000018626,2216355.360000000335276,2114165.030000000260770,2138188.049999999813735,2137104.449999999720603,10847718.410000000149012
FS( 18 ),2265755.360000000335276,2259230.660000000149012,2137966.220000000670552,2240058.909999999683350,2149949.799999999813735,11052960.949999999254942
FS( 19 ),2249571.540000000037253,2289243.370000000111759,2128284.379999999888241,2231379.330000000074506,2143133.899999999906868,11041612.520000001415610
FS( 20 ),2229980.600000000093132,2283306.790000000037253,2109458.580000000074506,2206939.459999999962747,2101189.899999999906868,10930875.330000000074506
